SURVEY: DES   
SNID:   689889   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.32254 +- 0.02600  (Helio, z_best) 
REDSHIFT_FINAL:   0.32254 +- 0.02600  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15249 
HOST_GALAXY_PHOTO-Z:   0.3225  +- 0.0260  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3240  
SIM_HOSTLIB_TRUEZ:  0.3200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15249  
SIM_DLMU:      41.149139  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0791   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.99  22.07  21.39  21.26  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56168.128906  days 
SIM_SALT2x0:   3.470e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     7.63   days 
SIM_TRESTMAX:    68.09   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56167.285  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 75 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   2.322e+01   1.051e+01   2.21   24.085    0.654   24.321
OBS:  56178.250  r NULL   6.621e+01   7.966e+00   8.31   22.948    0.140   22.658
OBS:  56178.266  i NULL   1.864e+02   9.978e+00  18.68   21.824    0.060   21.754
OBS:  56179.211  z NULL   2.359e+02   6.931e+00  34.04   21.568    0.033   21.554
OBS:  56180.219  g NULL   1.015e+01   3.252e+00   3.12   24.983    0.420   24.590
OBS:  56180.234  r NULL   7.301e+01   2.841e+00  25.70   22.842    0.043   22.801
OBS:  56180.250  i NULL   1.778e+02   5.501e+00  32.31   21.875    0.034   21.872
OBS:  56188.191  z NULL   1.462e+02   2.748e+01   5.32   22.087    0.226   22.000
OBS:  56188.340  g NULL   3.105e+01   2.560e+01   1.21   23.770    1.887   25.554
OBS:  56188.355  r NULL   4.489e+01   4.275e+00  10.50   23.370    0.109   23.373
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.195  i NULL   9.496e+01   3.105e+01   3.06   22.556    0.430   22.369
OBS:  56194.215  g NULL   6.505e+00   4.775e+00   1.36   25.467    1.437   25.941
OBS:  56194.223  r NULL   3.429e+01   5.472e+00   6.27   23.662    0.189   23.712
OBS:  56194.227  z NULL   1.360e+02   7.040e+00  19.31   22.166    0.057   22.223
OBS:  56200.234  i NULL   6.851e+01   1.206e+01   5.68   22.911    0.210   22.880
OBS:  56208.160  g NULL   6.390e+00   2.987e+00   2.14   25.486    0.684   25.983
OBS:  56208.176  r NULL   2.535e+01   2.495e+00  10.16   23.990    0.112   24.164
OBS:  56208.191  z NULL   8.483e+01   5.199e+00  16.32   22.679    0.069   22.673
OBS:  56210.156  i NULL   6.061e+01   7.131e+00   8.50   23.044    0.136   23.164
OBS:  56216.164  g NULL   4.849e+00   2.703e+00   1.79   25.786    0.885   25.835
OBS:  56216.176  r NULL   1.876e+01   2.086e+00   8.99   24.317    0.128   24.283
OBS:  56216.191  z NULL   7.770e+01   4.312e+00  18.02   22.774    0.062   22.782
