SURVEY: DES   
SNID:   690010   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.77089 +- 0.04150  (Helio, z_best) 
REDSHIFT_FINAL:   0.77089 +- 0.04150  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16770 
HOST_GALAXY_PHOTO-Z:   0.7709  +- 0.0415  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7836  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16770  
SIM_DLMU:      43.447262  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0283   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.20  23.95  23.33  23.60  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56365.175781  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.085e-06   
SIM_SALT2x1:   -1.8634   
SIM_SALT2c:    -0.0563   
SIM_SALT2mB:   24.1069   
SIM_MAGDIM:    1.143  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.20   days 
SIM_TRESTMAX:    -7.95   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56366.488  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 27 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56297.039  g NULL  -3.816e+00   1.581e+00  -2.41   99.000    5.000   99.663
OBS:  56297.047  r NULL   2.530e+00   1.220e+00   2.07   99.000    5.000   98.953
OBS:  56297.062  i NULL  -2.198e+00   1.862e+00  -1.18   99.000    5.000   98.974
OBS:  56297.090  z NULL   2.803e+00   2.120e+00   1.32   99.000    5.000   98.981
OBS:  56305.094  g NULL   3.060e-01   1.644e+00   0.19   99.000    5.000   99.663
OBS:  56305.102  r NULL   9.414e-02   1.300e+00   0.07   99.000    5.000   98.953
OBS:  56305.113  i NULL   9.533e-01   2.190e+00   0.44   99.000    5.000   98.974
OBS:  56306.043  z NULL  -3.342e-01   2.710e+00  -0.12   99.000    5.000   98.981
OBS:  56313.047  g NULL   4.180e+00   5.961e+00   0.70   99.000    5.000   99.663
OBS:  56313.055  r NULL   6.794e-01   2.524e+00   0.27   99.000    5.000   98.953
OBS:  56313.090  i NULL  -3.750e+00   3.079e+00  -1.22   99.000    5.000   98.974
OBS:  56317.066  z NULL  -1.500e+00   4.249e+00  -0.35   99.000    5.000   98.981
OBS:  56321.035  g NULL   5.280e+00   2.915e+00   1.81   99.000    5.000   99.663
OBS:  56321.043  r NULL  -9.698e-01   1.365e+00  -0.71   99.000    5.000   98.953
OBS:  56321.066  i NULL  -4.231e-01   3.215e+00  -0.13   99.000    5.000   98.974
OBS:  56326.039  z NULL   7.045e-01   2.606e+00   0.27   99.000    5.000   98.981
OBS:  56333.043  g NULL  -9.731e-01   1.816e+00  -0.54   99.000    5.000   99.663
OBS:  56333.051  r NULL  -2.108e+00   1.383e+00  -1.52   99.000    5.000   98.953
OBS:  56334.043  i NULL  -9.237e-01   2.176e+00  -0.42  128.000    0.000   29.920
OBS:  56335.043  z NULL   4.472e-01   3.380e+00   0.13   28.374   99.626   28.642
OBS:  56344.992  g NULL   2.269e-01   4.326e+00   0.05   99.000    5.000   99.663
OBS:  56345.000  r NULL  -1.586e+00   1.863e+00  -0.85  128.000    0.000   26.162
OBS:  56345.016  i NULL   6.887e+00   3.454e+00   1.99   25.405    0.756   25.399
OBS:  56345.992  z NULL   4.903e+00   3.700e+00   1.33   25.774    1.527   25.214
OBS:  56349.996  g NULL   2.622e+00   3.964e+00   0.66   26.454  101.546   27.712
OBS:  56350.004  r NULL   1.276e+01   2.076e+00   6.15   24.735    0.193   24.795
OBS:  56350.996  i NULL   2.969e+01   3.076e+00   9.65   23.818    0.118   24.063
END: 
