SURVEY: DES   
SNID:   691548   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.92614 +- 0.03560  (Helio, z_best) 
REDSHIFT_FINAL:   0.92614 +- 0.03560  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10625 
HOST_GALAXY_PHOTO-Z:   0.9261  +- 0.0356  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.9273  
SIM_HOSTLIB_TRUEZ:  0.9300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10625  
SIM_DLMU:      43.897846  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0723   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.29  24.36  23.78  23.69  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56214.292969  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.371e-06   
SIM_SALT2x1:    1.0301   
SIM_SALT2c:    -0.0325   
SIM_SALT2mB:   24.3155   
SIM_STRETCH:    2.030  
SIM_MAGDIM:    0.901  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.71   days 
SIM_TRESTMAX:    69.39   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56214.570  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   3.088e+00   1.048e+01   0.29   26.276  101.724   31.685
OBS:  56178.250  r NULL   2.519e+00   7.841e+00   0.32   26.497  101.503   29.334
OBS:  56178.266  i NULL   7.617e-01   9.311e+00   0.08   27.796  100.204   28.668
OBS:  56179.211  z NULL  -1.083e+00   5.328e+00  -0.20  128.000    0.000   28.078
OBS:  56180.219  g NULL   5.312e+00   3.206e+00   1.66   25.687    1.004   30.481
OBS:  56180.234  r NULL  -4.401e+00   2.427e+00  -1.81  128.000    0.000   28.136
OBS:  56180.250  i NULL   2.766e+00   4.311e+00   0.64   26.395  101.605   27.476
OBS:  56188.191  z NULL   1.085e+01   2.733e+01   0.40   24.911  103.089   25.292
OBS:  56188.340  g NULL   4.407e+01   2.559e+01   1.72   23.390    0.942   28.320
OBS:  56188.355  r NULL   5.099e+00   4.157e+00   1.23   25.731    1.833   25.858
OBS:  56189.195  i NULL   1.699e+01   3.096e+01   0.55   24.424  103.576   25.103
OBS:  56194.215  g NULL   3.879e+00   4.765e+00   0.81   26.028  101.972   28.157
OBS:  56194.223  r NULL   4.546e+00   5.411e+00   0.84   25.856  102.144   24.969
OBS:  56194.227  z NULL   1.089e+01   6.548e+00   1.66   24.907    0.999   24.490
OBS:  56200.234  i NULL   1.974e+01   1.199e+01   1.65   24.262    1.016   23.984
OBS:  56208.160  g NULL  -7.103e-01   2.973e+00  -0.24  128.000    0.000   29.164
OBS:  56208.176  r NULL   1.830e+01   2.472e+00   7.40   24.344    0.158   24.221
OBS:  56208.191  z NULL   3.346e+01   4.983e+00   6.72   23.689    0.175   23.776
OBS:  56210.156  i NULL   2.776e+01   7.053e+00   3.94   23.892    0.319   23.757
OBS:  56216.164  g NULL  -2.714e-01   2.687e+00  -0.10  128.000    0.000   28.229
OBS:  56216.176  r NULL   1.515e+01   2.073e+00   7.31   24.549    0.160   24.428
OBS:  56216.191  z NULL   3.586e+01   4.107e+00   8.73   23.614    0.132   23.696
OBS:  56219.211  i NULL   2.929e+01   3.056e+00   9.58   23.833    0.120   23.863
OBS:  56221.148  g NULL   1.727e+01   1.592e+01   1.08   24.407    2.765   28.407
OBS:  56221.160  r NULL   1.829e+01   6.068e+00   3.01   24.345    0.437   24.665
OBS:  56221.176  z NULL   2.888e+01   1.541e+01   1.87   23.849    0.828   23.764
