SURVEY: DES   
SNID:   692405   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   1.03238 +- 0.06090  (Helio, z_best) 
REDSHIFT_FINAL:   1.03238 +- 0.06090  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17432 
HOST_GALAXY_PHOTO-Z:   1.0324  +- 0.0609  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  1.0305  
SIM_HOSTLIB_TRUEZ:  1.0300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17432  
SIM_DLMU:      44.180859  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0394   (MilkyWay E(B-V)) 
SIM_PEAKMAG:  100.09  25.59  24.40  24.22  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56231.093750  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.745e-06   
SIM_SALT2x1:    0.7845   
SIM_SALT2c:     0.0940   
SIM_SALT2mB:   25.0305   
SIM_STRETCH:    1.785  
SIM_MAGDIM:    1.333  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -26.06   days 
SIM_TRESTMAX:    58.07   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56229.184  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL  -5.888e-01   9.404e+00  -0.06   99.000    5.000  100.088
OBS:  56178.195  r NULL   7.624e+00   7.174e+00   1.06   99.000    5.000   99.053
OBS:  56178.203  i NULL  -1.303e+01   6.837e+00  -1.91   99.000    5.000   98.958
OBS:  56178.211  z NULL  -2.179e-01   7.919e+00  -0.03   99.000    5.000   98.997
OBS:  56180.172  g NULL   1.975e+00   4.012e+00   0.49   99.000    5.000  100.088
OBS:  56180.188  r NULL   2.032e-01   3.174e+00   0.06   99.000    5.000   99.053
OBS:  56180.195  i NULL   6.405e+00   4.397e+00   1.46   99.000    5.000   98.958
OBS:  56180.203  z NULL   1.620e+00   4.963e+00   0.33   99.000    5.000   98.997
OBS:  56188.148  g NULL   9.928e+00   1.795e+01   0.55   99.000    5.000  100.088
OBS:  56188.289  r NULL   7.981e+00   3.997e+00   2.00   99.000    5.000   99.053
OBS:  56188.297  i NULL  -1.417e+01   8.136e+00  -1.74   99.000    5.000   98.958
OBS:  56188.312  z NULL  -1.848e+00   5.393e+00  -0.34   99.000    5.000   98.997
OBS:  56194.145  g NULL   3.390e+00   4.679e+00   0.72   99.000    5.000  100.088
OBS:  56194.156  r NULL   4.260e+00   2.752e+00   1.55   25.926    1.127   29.730
OBS:  56194.172  i NULL  -7.606e+00   4.630e+00  -1.64  128.000    0.000   28.905
OBS:  56194.188  z NULL   2.068e+00   4.463e+00   0.46   26.711  101.289   28.623
OBS:  56207.188  g NULL  -3.921e+00   4.366e+00  -0.90   99.000    5.000  100.088
OBS:  56207.195  r NULL   5.032e+00   3.462e+00   1.45   25.746    1.264   26.455
OBS:  56207.203  i NULL   5.041e+00   6.249e+00   0.81   25.744  102.256   25.520
OBS:  56207.219  z NULL   1.004e+01   5.956e+00   1.69   24.996    0.976   25.351
OBS:  56215.195  g NULL  -3.435e+00   2.682e+00  -1.28   99.000    5.000  100.088
OBS:  56215.203  r NULL   6.842e+00   2.181e+00   3.14   25.412    0.416   25.708
OBS:  56215.211  i NULL   1.398e+01   2.656e+00   5.26   24.636    0.229   24.634
OBS:  56215.227  z NULL   1.661e+01   3.444e+00   4.82   24.449    0.252   24.598
OBS:  56221.090  g NULL  -3.742e+00   6.268e+00  -0.60   99.000    5.000  100.088
