SURVEY: DES   
SNID:   696313   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.82845 +- 0.02870  (Helio, z_best) 
REDSHIFT_FINAL:   0.82845 +- 0.02870  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13903 
HOST_GALAXY_PHOTO-Z:   0.8284  +- 0.0287  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.8604  
SIM_HOSTLIB_TRUEZ:  0.8600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13903  
SIM_DLMU:      43.697296  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0175   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.68  25.03  23.91  24.13  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56207.250000  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.520e-06   
SIM_SALT2x1:   -2.8137   
SIM_SALT2c:    -0.0033   
SIM_SALT2mB:   24.6313   
SIM_MAGDIM:    1.417  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.17   days 
SIM_TRESTMAX:    68.69   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56206.645  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 128 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   3.103e+00   4.787e+00   0.65   99.000    5.000   98.754
OBS:  56177.188  r NULL   5.357e+00   5.335e+00   1.00   99.000    5.000   99.175
OBS:  56177.203  i NULL  -8.625e+00   5.438e+00  -1.59   99.000    5.000   99.080
OBS:  56177.234  z NULL   5.791e+00   4.692e+00   1.23   99.000    5.000   99.088
OBS:  56179.172  g NULL   1.662e+00   2.238e+00   0.74   99.000    5.000   98.754
OBS:  56179.312  r NULL   4.354e+00   3.030e+00   1.44   99.000    5.000   99.175
OBS:  56179.328  i NULL   4.724e+00   4.200e+00   1.12   99.000    5.000   99.080
OBS:  56179.359  z NULL  -3.346e+00   3.517e+00  -0.95   99.000    5.000   99.088
OBS:  56187.156  g NULL  -9.816e-01   1.702e+00  -0.58   99.000    5.000   98.754
OBS:  56187.172  r NULL   7.205e-01   1.251e+00   0.58   99.000    5.000   99.175
OBS:  56187.188  i NULL   5.643e+00   1.901e+00   2.97   25.621    0.446   26.172
OBS:  56187.211  z NULL   5.169e+00   2.178e+00   2.37   25.716    0.593   26.410
OBS:  56189.148  g NULL  -1.901e+00   9.760e+00  -0.19   99.000    5.000   98.754
OBS:  56189.160  r NULL  -5.998e-01   3.876e+00  -0.15  128.000    0.000   27.212
OBS:  56189.176  i NULL  -1.016e+00   8.071e+00  -0.13  128.000    0.000   25.448
OBS:  56189.203  z NULL   6.170e+00   4.694e+00   1.31   25.524    1.553   25.650
OBS:  56194.121  g NULL  -5.875e-01   3.771e+00  -0.16  128.000    0.000   28.564
OBS:  56194.129  r NULL   4.702e+00   2.353e+00   2.00   25.819    0.754   25.602
OBS:  56200.156  i NULL   1.694e+01   8.074e+00   2.10   24.427    0.703   24.043
OBS:  56200.180  z NULL   1.987e+01   5.648e+00   3.52   24.254    0.363   24.278
OBS:  56207.156  g NULL  -2.280e+00   2.281e+00  -1.00  128.000    0.000   27.673
OBS:  56207.172  r NULL   9.756e+00   1.618e+00   6.03   25.027    0.197   25.024
OBS:  56209.191  i NULL   2.755e+01   2.209e+00  12.48   23.900    0.091   23.925
OBS:  56209.215  z NULL   2.276e+01   2.243e+00  10.14   24.107    0.113   24.129
OBS:  56215.164  g NULL   1.984e+00   1.597e+00   1.24   26.756    1.773   28.176
OBS:  56215.180  r NULL   6.307e+00   1.106e+00   5.70   25.500    0.209   25.650
OBS:  56217.152  i NULL   1.856e+01   1.448e+00  12.81   24.329    0.089   24.217
OBS:  56217.191  z NULL   2.370e+01   1.873e+00  12.66   24.063    0.089   24.238
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56221.062  g NULL   2.438e+00   4.489e+00   0.54   26.532  101.468   28.552
OBS:  56221.074  r NULL   3.948e+00   3.583e+00   1.10   26.009    2.585   26.002
OBS:  56221.195  i NULL  -8.389e+00   1.346e+01  -0.62  128.000    0.000   24.496
OBS:  56221.227  z NULL   1.739e+01   4.028e+00   4.32   24.399    0.286   24.350
