SURVEY: DES   
SNID:   696505   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.92134 +- 0.04880  (Helio, z_best) 
REDSHIFT_FINAL:   0.92134 +- 0.04880  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18528 
HOST_GALAXY_PHOTO-Z:   0.9213  +- 0.0488  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.8964  
SIM_HOSTLIB_TRUEZ:  0.9000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18528  
SIM_DLMU:      43.807030  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0880   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.71  24.61  23.83  23.76  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56283.097656  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.874e-06   
SIM_SALT2x1:    0.7010   
SIM_SALT2c:     0.0387   
SIM_SALT2mB:   24.4888   
SIM_STRETCH:    1.701  
SIM_MAGDIM:    1.165  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.51   days 
SIM_TRESTMAX:    35.82   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56282.859  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56208.160  g NULL  -5.304e+00   2.974e+00  -1.78   99.000    5.000   99.793
OBS:  56208.176  r NULL   5.844e-04   2.428e+00   0.00   99.000    5.000   98.875
OBS:  56208.191  z NULL   5.156e+00   4.939e+00   1.04   99.000    5.000   98.915
OBS:  56210.156  i NULL   3.193e+00   7.025e+00   0.45   99.000    5.000   98.930
OBS:  56216.164  g NULL  -5.951e+00   2.688e+00  -2.21   99.000    5.000   99.793
OBS:  56216.176  r NULL  -5.888e-01   2.036e+00  -0.29   99.000    5.000   98.875
OBS:  56216.191  z NULL  -3.201e+00   4.045e+00  -0.79   99.000    5.000   98.915
OBS:  56219.211  i NULL  -2.072e+00   2.987e+00  -0.69   99.000    5.000   98.930
OBS:  56221.148  g NULL   1.643e+01   1.592e+01   1.03   99.000    5.000   99.793
OBS:  56221.160  r NULL  -1.044e+01   6.051e+00  -1.72   99.000    5.000   98.875
OBS:  56221.176  z NULL   3.351e+00   1.539e+01   0.22   99.000    5.000   98.915
OBS:  56222.105  i NULL  -1.347e+01   9.193e+00  -1.46   99.000    5.000   98.930
OBS:  56222.312  g NULL   7.156e+00   4.103e+00   1.74   99.000    5.000   99.793
OBS:  56222.324  r NULL  -4.353e+00   1.516e+01  -0.29   99.000    5.000   98.875
OBS:  56222.340  z NULL  -2.734e+01   4.086e+01  -0.67   99.000    5.000   98.915
OBS:  56228.297  g NULL  -3.200e+01   1.504e+01  -2.13   99.000    5.000   99.793
OBS:  56228.305  r NULL  -3.630e+00   5.493e+00  -0.66   99.000    5.000   98.875
OBS:  56228.312  i NULL  -2.123e+01   9.420e+00  -2.25   99.000    5.000   98.930
OBS:  56228.320  z NULL  -1.598e+00   5.800e+00  -0.28   99.000    5.000   98.915
OBS:  56229.320  g NULL  -1.654e+01   1.406e+01  -1.18   99.000    5.000   99.793
OBS:  56229.332  r NULL   1.255e+00   7.251e+00   0.17   99.000    5.000   98.875
OBS:  56229.348  i NULL   1.329e+01   1.295e+01   1.03   99.000    5.000   98.930
OBS:  56230.070  z NULL   5.105e+00   7.134e+00   0.72   99.000    5.000   98.915
OBS:  56230.316  g NULL  -1.896e+01   1.368e+01  -1.39   99.000    5.000   99.793
OBS:  56230.328  r NULL   8.191e-01   6.672e+00   0.12   99.000    5.000   98.875
