SURVEY: DES   
SNID:   698432   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.44932 +- 0.02600  (Helio, z_best) 
REDSHIFT_FINAL:   0.44932 +- 0.02600  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18469 
HOST_GALAXY_PHOTO-Z:   0.4493  +- 0.0260  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      4   (non1a index) 
SIM_COMMENT:  SN Type = IIL , MODEL = NUGENT2L  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.4657  
SIM_HOSTLIB_TRUEZ:  0.4700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18469  
SIM_DLMU:      42.076618  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0118   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.55  23.95  23.58  23.42  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56189.929688  days 
SIM_SALT2x0:   1.477e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -9.37   days 
SIM_TRESTMAX:    69.76   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56192.855  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   2.018e+01   4.788e+00   4.21   24.238    0.293   24.699
OBS:  56176.199  r NULL   4.186e+01   2.280e+00  18.36   23.445    0.060   23.529
OBS:  56176.215  i NULL   4.912e+01   3.285e+00  14.95   23.272    0.075   23.342
OBS:  56176.238  z NULL   5.116e+01   2.664e+00  19.20   23.228    0.058   23.216
OBS:  56179.188  g NULL   1.373e+01   2.616e+00   5.25   24.656    0.230   24.463
OBS:  56179.195  r NULL   5.215e+01   1.986e+00  26.26   23.207    0.043   23.152
OBS:  56179.234  i NULL   6.553e+01   2.347e+00  27.92   22.959    0.040   22.945
OBS:  56179.266  z NULL   7.446e+01   3.984e+00  18.69   22.820    0.060   22.823
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   1.327e+01   2.582e+00   5.14   24.693    0.235   24.482
OBS:  56180.281  r NULL   5.621e+01   1.695e+00  33.15   23.126    0.033   23.156
OBS:  56180.297  i NULL   7.143e+01   3.928e+00  18.18   22.865    0.061   22.942
OBS:  56180.328  z NULL   7.006e+01   4.677e+00  14.98   22.886    0.075   22.818
OBS:  56188.160  g NULL   9.115e+00   5.695e+00   1.60   25.101    1.064   25.332
OBS:  56188.176  r NULL   4.099e+01   5.634e+00   7.28   23.468    0.160   23.830
OBS:  56188.211  i NULL   4.011e+01   4.591e+00   8.74   23.492    0.132   23.491
OBS:  56188.238  z NULL   4.125e+01   3.489e+00  11.82   23.461    0.097   23.331
OBS:  56189.254  g NULL   4.302e+00   2.296e+00   1.87   25.916    0.829   25.461
OBS:  56189.270  r NULL   2.851e+01   3.324e+00   8.58   23.862    0.134   23.905
OBS:  56189.281  i NULL   5.227e+01   9.107e+00   5.74   23.204    0.207   23.544
OBS:  56189.312  z NULL   4.627e+01   3.092e+00  14.96   23.337    0.075   23.384
OBS:  56194.258  g NULL   5.110e+00   2.642e+00   1.93   25.729    0.790   26.216
OBS:  56194.270  r NULL   1.980e+01   1.544e+00  12.82   24.258    0.088   24.249
OBS:  56194.285  i NULL   2.898e+01   2.366e+00  12.25   23.845    0.093   23.789
OBS:  56194.305  z NULL   3.312e+01   2.467e+00  13.43   23.700    0.084   23.633
OBS:  56202.160  g NULL   9.785e+00   4.794e+00   2.04   25.024    0.730   27.858
OBS:  56202.176  r NULL   7.728e+00   2.331e+00   3.32   25.280    0.391   24.831
OBS:  56202.191  i NULL   1.859e+01   4.180e+00   4.45   24.327    0.277   24.178
OBS:  56202.215  z NULL   2.405e+01   2.750e+00   8.75   24.047    0.132   24.009
OBS:  56210.172  g NULL  -1.395e+00   3.690e+00  -0.38  128.000    0.000   28.549
OBS:  56210.188  r NULL   7.933e+00   3.220e+00   2.46   25.251    0.565   25.223
OBS:  56210.203  i NULL   1.310e+01   3.221e+00   4.07   24.707    0.307   24.468
OBS:  56210.234  z NULL   2.103e+01   3.866e+00   5.44   24.193    0.220   24.268
OBS:  56218.172  g NULL   3.839e+00   1.254e+00   3.06   26.039    0.428   27.639
OBS:  56218.191  r NULL   8.954e+00   9.763e-01   9.17   25.120    0.125   25.401
OBS:  56218.211  i NULL   1.198e+01   1.522e+00   7.87   24.804    0.148   24.676
OBS:  56219.156  z NULL   1.580e+01   1.957e+00   8.07   24.504    0.144   24.476
OBS:  56221.273  g NULL  -2.260e+00   3.911e+00  -0.58  128.000    0.000   27.967
OBS:  56221.281  r NULL   3.605e+00   5.583e+00   0.65   26.108  101.892   25.603
OBS:  56221.297  i NULL   1.115e+01   4.490e+00   2.48   24.882    0.559   24.815
OBS:  56221.324  z NULL   3.097e+01   1.441e+01   2.15   23.773    0.679   24.564
OBS:  56222.074  g NULL  -7.333e+00   5.910e+00  -1.24  128.000    0.000   28.061
OBS:  56222.090  r NULL   6.320e+00   2.630e+00   2.40   25.498    0.584   25.658
OBS:  56222.113  i NULL   1.117e+01   3.332e+00   3.35   24.880    0.385   24.852
OBS:  56222.133  z NULL   1.924e+01   5.069e+00   3.80   24.289    0.332   24.597
OBS:  56228.059  g NULL   2.151e+01   7.703e+00   2.79   24.168    0.481   28.930
OBS:  56228.066  r NULL  -6.871e-01   2.391e+00  -0.29  128.000    0.000   26.090
OBS:  56228.086  i NULL   1.010e+01   5.113e+00   1.97   24.990    0.767   25.134
OBS:  56228.109  z NULL   1.599e+01   4.145e+00   3.86   24.491    0.325   24.848
OBS:  56229.047  g NULL   1.225e+01   2.392e+01   0.51   24.779  103.221   29.111
OBS:  56229.059  r NULL   5.583e+00   3.852e+00   1.45   25.633    1.271   26.164
OBS:  56229.074  i NULL   7.314e+00   5.427e+00   1.35   25.340    1.471   25.181
OBS:  56229.102  z NULL   1.256e+01   4.854e+00   2.59   24.753    0.530   24.890
OBS:  56230.059  g NULL  -8.042e+00   6.572e+00  -1.22  128.000    0.000   29.316
OBS:  56230.102  r NULL   6.515e+00   2.919e+00   2.23   25.465    0.645   26.243
OBS:  56230.113  i NULL   4.211e+00   5.176e+00   0.81   25.939  102.061   25.231
OBS:  56230.145  z NULL   1.176e+01   2.675e+00   4.40   24.824    0.280   24.934
OBS:  56231.043  g NULL   2.965e+00   6.045e+00   0.49   26.320  101.680   29.542
OBS:  56231.059  r NULL   7.714e-01   2.551e+00   0.30   27.782  100.218   26.317
OBS:  56231.070  i NULL   8.650e+00   4.244e+00   2.04   25.157    0.732   25.277
OBS:  56231.102  z NULL   1.265e+01   3.287e+00   3.85   24.745    0.326   24.975
OBS:  56235.039  g NULL   4.963e+00   5.184e+00   0.96   25.761  102.239   30.721
OBS:  56235.047  r NULL   7.664e+00   3.709e+00   2.07   25.289    0.718   26.615
OBS:  56235.062  i NULL   3.157e+00   4.193e+00   0.75   26.252  101.748   25.465
OBS:  56235.090  z NULL   1.622e+01   8.238e+00   1.97   24.475    0.769   25.143
OBS:  56236.047  g NULL   2.752e+00   4.872e+00   0.56   26.401  101.599   31.034
OBS:  56236.062  r NULL   8.568e-01   2.660e+00   0.32   27.668  100.332   26.686
OBS:  56236.074  i NULL   6.850e+00   5.224e+00   1.31   25.411    1.561   25.511
OBS:  56236.105  z NULL  -3.751e+00   5.320e+00  -0.71  128.000    0.000   25.185
OBS:  56237.039  g NULL   4.812e+00   3.165e+00   1.52   25.794    1.163   31.330
OBS:  56237.051  r NULL   3.380e+00   2.213e+00   1.53   26.178    1.154   26.753
OBS:  56237.094  i NULL   4.445e+00   2.494e+00   1.78   25.880    0.895   25.557
OBS:  56237.125  z NULL   1.023e+01   3.701e+00   2.76   24.975    0.487   25.227
OBS:  56238.074  g NULL  -1.193e+00   2.522e+00  -0.47  128.000    0.000   31.531
OBS:  56238.094  r NULL   1.307e+00   1.589e+00   0.82   27.210  100.790   26.818
OBS:  56238.109  i NULL   7.551e+00   2.727e+00   2.77   25.305    0.486   25.602
OBS:  56238.129  z NULL   4.842e+00   3.108e+00   1.56   25.787    1.116   25.267
OBS:  56243.098  g NULL   1.339e+00   2.168e+00   0.62   27.183  100.817   31.606
OBS:  56243.109  r NULL   1.896e+00   1.655e+00   1.15   26.806    2.239   27.028
OBS:  56243.125  i NULL   6.107e+00   2.568e+00   2.38   25.535    0.592   25.795
OBS:  56243.152  z NULL   5.546e+00   2.552e+00   2.17   25.640    0.670   25.451
OBS:  56244.082  g NULL  -4.874e+00   2.192e+00  -2.22  128.000    0.000   31.402
OBS:  56244.098  r NULL   1.916e+00   1.635e+00   1.17   26.794    2.084   27.044
OBS:  56244.109  i NULL   3.696e+00   2.590e+00   1.43   26.081    1.311   25.827
OBS:  56244.133  z NULL   1.429e+01   2.994e+00   4.77   24.612    0.254   25.483
