SURVEY: DES   
SNID:   698644   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.36163 +- 0.07100  (Helio, z_best) 
REDSHIFT_FINAL:   0.36163 +- 0.07100  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12068 
HOST_GALAXY_PHOTO-Z:   0.3616  +- 0.0710  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      11   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SNLS-04D4jv  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.4274  
SIM_HOSTLIB_TRUEZ:  0.4300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12068  
SIM_DLMU:      41.854919  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0173   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.04  25.55  24.64  24.50  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56201.261719  days 
SIM_SALT2x0:   1.811e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.88   days 
SIM_TRESTMAX:    67.13   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56201.715  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.779e+00   4.787e+00   0.37   26.875  101.125   30.748
OBS:  56177.188  r NULL   8.348e+00   5.336e+00   1.56   25.196    1.106   28.514
OBS:  56177.203  i NULL   4.074e+00   5.436e+00   0.75   25.975  102.025   27.620
OBS:  56177.234  z NULL   4.549e+00   4.692e+00   0.97   25.855  102.145   27.434
OBS:  56179.172  g NULL   1.749e+00   2.238e+00   0.78   26.893  101.107   30.170
OBS:  56179.312  r NULL  -1.257e+00   3.030e+00  -0.41  128.000    0.000   28.075
OBS:  56179.328  i NULL  -2.332e+00   4.200e+00  -0.56  128.000    0.000   27.231
OBS:  56179.359  z NULL   4.838e+00   3.518e+00   1.38   25.788    1.410   27.187
OBS:  56187.156  g NULL   1.570e+00   1.703e+00   0.92   27.010  100.990   28.195
OBS:  56187.172  r NULL   9.340e-01   1.253e+00   0.75   27.574  100.426   26.494
OBS:  56187.188  i NULL   7.112e+00   1.903e+00   3.74   25.370    0.338   25.659
OBS:  56187.211  z NULL   1.729e+00   2.176e+00   0.79   26.906  101.094   25.661
OBS:  56189.148  g NULL   3.440e-01   9.761e+00   0.04   28.659   99.341   27.952
OBS:  56189.160  r NULL   1.063e+01   3.882e+00   2.74   24.934    0.493   26.182
OBS:  56189.176  i NULL   1.585e+01   8.077e+00   1.96   24.500    0.773   25.323
OBS:  56189.203  z NULL   1.593e+01   4.702e+00   3.39   24.495    0.379   25.316
OBS:  56194.121  g NULL  -5.370e+00   3.773e+00  -1.42  128.000    0.000   27.708
OBS:  56194.129  r NULL   9.711e+00   2.358e+00   4.12   25.032    0.301   25.704
OBS:  56200.156  i NULL   1.927e+01   8.075e+00   2.39   24.288    0.589   24.628
OBS:  56200.180  z NULL   2.686e+01   5.658e+00   4.75   23.927    0.256   24.509
OBS:  56207.156  g NULL   3.005e+00   2.281e+00   1.32   26.305    1.543   28.784
OBS:  56207.172  r NULL   3.593e+00   1.607e+00   2.24   26.111    0.644   25.742
OBS:  56209.191  i NULL   1.110e+01   2.153e+00   5.15   24.887    0.234   24.840
OBS:  56209.215  z NULL   1.463e+01   2.219e+00   6.59   24.587    0.179   24.550
OBS:  56215.164  g NULL   2.112e+00   1.596e+00   1.32   26.688    1.529   29.786
OBS:  56215.180  r NULL   4.219e+00   1.101e+00   3.83   25.937    0.328   26.257
OBS:  56217.152  i NULL   8.445e+00   1.409e+00   5.99   25.184    0.198   25.127
OBS:  56217.191  z NULL   8.687e+00   1.826e+00   4.76   25.153    0.258   24.718
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56221.062  g NULL   5.640e-01   4.488e+00   0.13   28.122   99.878   30.515
OBS:  56221.074  r NULL   1.519e+00   3.581e+00   0.42   27.046  100.954   26.719
OBS:  56221.195  i NULL  -1.426e+01   1.346e+01  -1.06  128.000    0.000   25.270
OBS:  56221.227  z NULL   1.295e+01   4.022e+00   3.22   24.719    0.404   24.816
OBS:  56222.047  g NULL   6.052e+00   6.420e+00   0.94   25.545  102.455   30.654
OBS:  56222.062  r NULL  -2.263e+00   3.126e+00  -0.72  128.000    0.000   26.801
OBS:  56222.191  i NULL   3.849e-01   9.793e+00   0.04   28.537   99.463   25.307
