SURVEY: DES   
SNID:   703729   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.88091 +- 0.02830  (Helio, z_best) 
REDSHIFT_FINAL:   0.88091 +- 0.02830  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13194 
HOST_GALAXY_PHOTO-Z:   0.8809  +- 0.0283  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.8410  
SIM_HOSTLIB_TRUEZ:  0.8400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13194  
SIM_DLMU:      43.636181  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0089   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.99  24.91  23.95  24.03  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56188.285156  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.216e-06   
SIM_SALT2x1:   -0.6568   
SIM_SALT2c:     0.1336   
SIM_SALT2mB:   24.7711   
SIM_STRETCH:    0.343  
SIM_MAGDIM:    1.618  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.57   days 
SIM_TRESTMAX:    69.99   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56188.152  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 135 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   4.794e+00   4.766e+00   1.01   25.798    5.567   26.953
OBS:  56176.199  r NULL   9.364e+00   2.140e+00   4.38   25.071    0.282   25.065
OBS:  56176.215  i NULL   1.914e+01   3.170e+00   6.04   24.295    0.197   24.297
OBS:  56176.238  z NULL   1.929e+01   2.510e+00   7.68   24.287    0.151   24.372
OBS:  56179.188  g NULL   1.068e+00   2.586e+00   0.41   27.429  100.571   26.836
OBS:  56179.195  r NULL   1.076e+01   1.725e+00   6.23   24.921    0.190   24.920
OBS:  56179.234  i NULL   2.325e+01   2.038e+00  11.41   24.084    0.099   24.115
OBS:  56179.266  z NULL   1.829e+01   3.746e+00   4.88   24.344    0.249   24.227
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   2.389e-01   2.552e+00   0.09   29.054   98.946   26.818
OBS:  56180.281  r NULL   1.209e+01   1.327e+00   9.11   24.794    0.126   24.889
OBS:  56180.297  i NULL   2.568e+01   3.719e+00   6.91   23.976    0.170   24.071
OBS:  56180.328  z NULL   2.398e+01   4.510e+00   5.32   24.050    0.226   24.188
OBS:  56188.160  g NULL  -1.079e+01   5.689e+00  -1.90  128.000    0.000   26.984
OBS:  56188.176  r NULL   3.654e+00   5.574e+00   0.66   26.093  101.907   24.910
OBS:  56188.211  i NULL   2.777e+01   4.556e+00   6.10   23.891    0.194   23.955
OBS:  56188.238  z NULL   2.121e+01   3.424e+00   6.19   24.184    0.192   24.035
OBS:  56189.254  g NULL   2.384e-01   2.286e+00   0.10   29.057   98.943   27.031
OBS:  56189.270  r NULL   7.961e+00   3.276e+00   2.43   25.248    0.576   24.953
OBS:  56189.281  i NULL   1.941e+01   9.059e+00   2.14   24.280    0.683   23.963
OBS:  56189.312  z NULL   3.017e+01   3.020e+00   9.99   23.801    0.114   24.035
OBS:  56194.258  g NULL   4.454e-01   2.638e+00   0.17   28.378   99.622   27.301
OBS:  56194.270  r NULL   1.048e+01   1.504e+00   6.97   24.949    0.168   25.207
OBS:  56194.285  i NULL   2.542e+01   2.349e+00  10.82   23.987    0.105   24.054
OBS:  56194.305  z NULL   2.336e+01   2.426e+00   9.63   24.079    0.119   24.072
OBS:  56202.160  g NULL  -2.645e+00   4.791e+00  -0.55  128.000    0.000   27.979
