SURVEY: DES   
SNID:   706351   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  21 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.78044 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.78044 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.78044 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14430 
HOST_GALAXY_PHOTO-Z:   0.7513  +- 0.0330  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.7729  
SIM_HOSTLIB_TRUEZ:  0.7700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14430  
SIM_DLMU:      43.410473  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0115   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.38  23.24  23.19  23.36  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56154.839844  days 
SIM_SALT2x0:   4.323e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     9.14   days 
SIM_TRESTMAX:    69.56   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56156.695  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 81 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL  -4.664e+01   7.810e+01  -0.60  128.000    0.000   23.829
OBS:  56172.039  r NULL   6.049e+01   1.763e+01   3.43   23.046    0.374   23.542
OBS:  56172.051  i NULL  -3.444e+01   4.996e+01  -0.69  128.000    0.000   23.425
OBS:  56176.160  z NULL   2.905e+01   3.630e+00   8.00   23.842    0.146   23.639
OBS:  56179.023  g NULL   2.564e+01   6.432e+00   3.99   23.978    0.314   23.989
OBS:  56179.031  r NULL   4.436e+01   4.428e+00  10.02   23.382    0.113   23.700
OBS:  56179.047  i NULL   3.868e+01   7.187e+00   5.38   23.531    0.223   23.583
OBS:  56179.062  z NULL   3.241e+01   8.164e+00   3.97   23.723    0.315   23.694
OBS:  56180.031  g NULL   3.031e+01   5.743e+00   5.28   23.796    0.228   24.020
OBS:  56180.047  r NULL   3.646e+01   4.561e+00   7.99   23.595    0.145   23.726
OBS:  56180.062  i NULL   3.036e+01   6.773e+00   4.48   23.794    0.275   23.606
OBS:  56180.078  z NULL   4.555e+01   1.020e+01   4.46   23.354    0.275   23.714
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.004  g NULL   2.342e+01   5.726e+00   4.09   24.076    0.304   24.307
OBS:  56188.016  r NULL   3.251e+01   4.425e+00   7.35   23.720    0.158   23.958
OBS:  56188.027  i NULL   3.435e+01   6.504e+00   5.28   23.660    0.228   23.806
OBS:  56188.035  z NULL   1.828e+01   6.484e+00   2.82   24.345    0.477   23.892
OBS:  56189.004  g NULL   1.874e+01   5.689e+00   3.29   24.318    0.393   24.349
OBS:  56189.016  r NULL   2.582e+01   4.371e+00   5.91   23.970    0.201   23.991
OBS:  56189.027  i NULL   3.483e+01   6.449e+00   5.40   23.645    0.222   23.835
OBS:  56189.035  z NULL   2.625e+01   6.429e+00   4.08   23.952    0.305   23.918
OBS:  56194.012  g NULL   1.742e+01   6.233e+00   2.80   24.397    0.480   24.590
OBS:  56194.016  r NULL   2.178e+01   3.627e+00   6.01   24.155    0.198   24.181
