SURVEY: DES   
SNID:   712146   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.26073 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.26073 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.26073 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19566 
HOST_GALAXY_PHOTO-Z:   0.2821  +- 0.0371  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      33   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-018297  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.2551  
SIM_HOSTLIB_TRUEZ:  0.2600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19566  
SIM_DLMU:      40.552273  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0126   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.76  23.43  22.95  23.32  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56310.007812  days 
SIM_SALT2x0:   6.013e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.99   days 
SIM_TRESTMAX:     6.40   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56308.945  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 24 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56261.066  g NULL   4.775e+00   6.914e+00   0.69   99.000    5.000   98.923
OBS:  56261.082  r NULL  -2.228e+00   4.055e+00  -0.55   99.000    5.000   99.018
OBS:  56261.090  i NULL  -2.904e+00   8.210e+00  -0.35   99.000    5.000   99.022
OBS:  56266.156  z NULL   1.880e+00   5.281e+00   0.36   99.000    5.000   99.045
OBS:  56276.152  g NULL  -2.095e+00   4.036e+00  -0.52  128.000    0.000   44.368
OBS:  56276.172  r NULL   3.646e+00   2.884e+00   1.26   26.095    1.698   44.446
OBS:  56277.164  i NULL  -1.553e+00   3.541e+00  -0.44  128.000    0.000   44.889
OBS:  56278.164  z NULL  -7.597e+00   4.286e+00  -1.77  128.000    0.000   45.792
OBS:  56288.035  g NULL  -1.093e+01   1.451e+01  -0.75  128.000    0.000   28.785
OBS:  56288.043  r NULL  -3.468e+00   5.400e+00  -0.64  128.000    0.000   28.169
OBS:  56288.051  i NULL   1.065e+01   5.983e+00   1.78   24.932    0.896   27.177
OBS:  56288.066  z NULL   4.800e+00   6.735e+00   0.71   25.797  102.203   27.769
OBS:  56292.109  g NULL   3.221e+00   7.766e+00   0.41   26.230  101.770   26.408
OBS:  56292.125  r NULL   6.468e+00   3.874e+00   1.67   25.473    0.992   25.690
OBS:  56296.039  i NULL   3.574e+01   3.557e+00  10.05   23.617    0.113   23.736
OBS:  56296.051  z NULL   1.770e+01   4.476e+00   3.95   24.380    0.316   24.636
OBS:  56305.043  g NULL   1.187e+02   3.943e+00  30.11   22.314    0.036   22.336
OBS:  56305.051  r NULL   4.813e+01   2.400e+00  20.05   23.294    0.055   23.338
OBS:  56305.055  i NULL   6.892e+01   3.352e+00  20.56   22.904    0.054   22.932
OBS:  56305.070  z NULL   4.128e+01   3.753e+00  11.00   23.461    0.103   23.488
OBS:  56317.035  g NULL   4.718e+01   1.485e+01   3.18   23.316    0.410   23.427
OBS:  56317.043  r NULL   5.121e+01   6.274e+00   8.16   23.227    0.141   23.436
OBS:  56317.051  i NULL   6.202e+01   7.021e+00   8.83   23.019    0.130   23.055
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56318.035  z NULL   5.502e+01   1.350e+01   4.08   23.149    0.306   23.178
END: 
