SURVEY: DES   
SNID:   716290   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.81620 +- 0.02470  (Helio, z_best) 
REDSHIFT_FINAL:   0.81620 +- 0.02470  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16998 
HOST_GALAXY_PHOTO-Z:   0.8162  +- 0.0247  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.8272  
SIM_HOSTLIB_TRUEZ:  0.8300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16998  
SIM_DLMU:      43.591911  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0080   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.140  mag  (host extinction at 5510 A)
SIM_RV:         3.560   (CCM89 extinction parameter) 
SIM_PEAKMAG:   26.74  24.53  23.82  24.01  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56227.890625  days 
SIM_DELTA:      0.259  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.741  
SIM_MAGDIM:    0.480  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -28.29   days 
SIM_TRESTMAX:    67.43   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56226.836  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 161 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   5.864e+00   4.765e+00   1.23   99.000    5.000   99.000
OBS:  56176.199  r NULL   8.538e-02   2.129e+00   0.04   99.000    5.000   99.000
OBS:  56176.215  i NULL   8.639e-01   3.145e+00   0.27   99.000    5.000   99.000
OBS:  56176.238  z NULL   2.250e+00   2.483e+00   0.91   99.000    5.000   99.000
OBS:  56179.188  g NULL   3.691e+00   2.585e+00   1.43   99.000    5.000   99.000
OBS:  56179.195  r NULL  -9.992e-01   1.709e+00  -0.58   99.000    5.000   99.000
OBS:  56179.234  i NULL  -1.488e-01   1.984e+00  -0.08   99.000    5.000   99.000
OBS:  56179.266  z NULL   2.172e+00   3.729e+00   0.58   99.000    5.000   99.000
OBS:  56180.266  g NULL  -7.894e-02   2.550e+00  -0.03   99.000    5.000   99.000
OBS:  56180.281  r NULL  -1.839e+00   1.301e+00  -1.41   99.000    5.000   99.000
OBS:  56180.297  i NULL   3.979e+00   3.683e+00   1.08   99.000    5.000   99.000
OBS:  56180.328  z NULL  -6.096e-01   4.486e+00  -0.14   99.000    5.000   99.000
OBS:  56188.160  g NULL  -1.145e+01   5.687e+00  -2.01   99.000    5.000   99.000
OBS:  56188.176  r NULL   1.812e+00   5.569e+00   0.33   99.000    5.000   99.000
OBS:  56188.211  i NULL  -2.282e+00   4.519e+00  -0.50   99.000    5.000   99.000
OBS:  56188.238  z NULL   1.943e+00   3.399e+00   0.57   99.000    5.000   99.000
OBS:  56189.254  g NULL  -4.489e-01   2.284e+00  -0.20   99.000    5.000   99.000
OBS:  56189.270  r NULL   3.975e+00   3.268e+00   1.22   99.000    5.000   99.000
OBS:  56189.281  i NULL   5.743e+00   9.046e+00   0.63   99.000    5.000   99.000
OBS:  56189.312  z NULL   2.613e+00   2.964e+00   0.88   99.000    5.000   99.000
OBS:  56194.258  g NULL  -3.342e+00   2.637e+00  -1.27  128.000    0.000   34.338
OBS:  56194.270  r NULL   3.224e-01   1.486e+00   0.22   28.729   99.271   30.683
OBS:  56194.285  i NULL  -4.311e-02   2.291e+00  -0.02  128.000    0.000   29.882
OBS:  56194.305  z NULL   2.473e-01   2.384e+00   0.10   29.017   98.983   29.871
OBS:  56202.160  g NULL   8.854e+00   4.793e+00   1.85   25.132    0.846   30.183
OBS:  56202.176  r NULL   4.017e+00   2.324e+00   1.73   25.990    0.937   27.659
