SURVEY: DES   
SNID:   724171   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.49833 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.49833 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.49833 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13952 
HOST_GALAXY_PHOTO-Z:   0.4172  +- 0.0605  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.5007  
SIM_HOSTLIB_TRUEZ:  0.5000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13952  
SIM_DLMU:      42.264980  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0116   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.43  22.94  22.98  22.85  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56192.691406  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   7.025e-06   
SIM_SALT2x1:   -0.8186   
SIM_SALT2c:     0.1651   
SIM_SALT2mB:   23.5184   
SIM_STRETCH:    0.181  
SIM_MAGDIM:    1.736  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.42   days 
SIM_TRESTMAX:    68.87   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56191.957  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 89 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   3.584e+01   7.809e+01   0.46   23.614  104.386   28.006
OBS:  56172.039  r NULL   6.458e-01   1.759e+01   0.04   27.975  100.025   25.411
OBS:  56172.051  i NULL   1.682e+01   4.995e+01   0.34   24.435  103.565   25.371
OBS:  56176.160  z NULL   2.313e+01   3.612e+00   6.40   24.089    0.184   24.216
OBS:  56179.023  g NULL   1.818e+01   6.401e+00   2.84   24.351    0.471   24.963
OBS:  56179.031  r NULL   2.416e+01   4.373e+00   5.52   24.042    0.218   23.754
OBS:  56179.047  i NULL   4.244e+01   7.193e+00   5.90   23.430    0.201   23.785
OBS:  56179.062  z NULL   3.963e+01   8.176e+00   4.85   23.505    0.251   23.658
OBS:  56180.031  g NULL   1.600e+00   5.693e+00   0.28   26.990  101.010   24.790
OBS:  56180.047  r NULL   3.804e+01   4.568e+00   8.33   23.549    0.139   23.603
OBS:  56180.062  i NULL   4.129e+01   6.792e+00   6.08   23.460    0.195   23.643
OBS:  56180.078  z NULL   2.258e+01   1.018e+01   2.22   24.116    0.652   23.517
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.004  g NULL   1.898e+01   5.721e+00   3.32   24.304    0.389   24.308
OBS:  56188.016  r NULL   6.449e+01   4.565e+00  14.13   22.976    0.080   22.985
OBS:  56188.027  i NULL   5.549e+01   6.564e+00   8.45   23.139    0.137   23.076
OBS:  56188.035  z NULL   7.809e+01   6.642e+00  11.76   22.768    0.096   22.949
OBS:  56189.004  g NULL   1.922e+01   5.691e+00   3.38   24.291    0.381   24.314
OBS:  56189.016  r NULL   6.453e+01   4.530e+00  14.24   22.976    0.079   22.962
OBS:  56189.027  i NULL   6.221e+01   6.530e+00   9.53   23.015    0.120   23.046
OBS:  56189.035  z NULL   7.574e+01   6.569e+00  11.53   22.802    0.098   22.919
OBS:  56194.012  g NULL   1.202e+01   6.230e+00   1.93   24.800    0.794   24.525
OBS:  56194.016  r NULL   7.026e+01   3.872e+00  18.14   22.883    0.061   22.951
OBS:  56194.023  i NULL   7.822e+01   6.353e+00  12.31   22.767    0.091   22.981
OBS:  56194.031  z NULL   9.033e+01   1.519e+01   5.95   22.610    0.199   22.842
OBS:  56198.992  g NULL  -1.367e+01   1.869e+01  -0.73  128.000    0.000   24.949
