SURVEY: DES   
SNID:   727454   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.54537 +- 0.02040  (Helio, z_best) 
REDSHIFT_FINAL:   0.54537 +- 0.02040  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13038 
HOST_GALAXY_PHOTO-Z:   0.5454  +- 0.0204  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      38   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-018596  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.5698  
SIM_HOSTLIB_TRUEZ:  0.5700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13038  
SIM_DLMU:      42.602940  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0104   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.24  24.37  24.54  24.71  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56163.683594  days 
SIM_SALT2x0:   9.095e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     7.97   days 
SIM_TRESTMAX:    69.78   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56161.934  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 110 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL  -2.652e+00   4.766e+00  -0.56  128.000    0.000   26.584
OBS:  56176.199  r NULL   9.035e+00   2.140e+00   4.22   25.110    0.294   24.907
OBS:  56176.215  i NULL   9.921e+00   3.153e+00   3.15   25.009    0.416   24.756
OBS:  56176.238  z NULL   1.231e+01   2.494e+00   4.93   24.775    0.246   24.813
OBS:  56179.188  g NULL   1.639e+00   2.586e+00   0.63   26.964  101.036   26.870
OBS:  56179.195  r NULL   1.149e+01   1.727e+00   6.65   24.849    0.176   25.034
OBS:  56179.234  i NULL   1.277e+01   2.002e+00   6.38   24.735    0.185   24.797
OBS:  56179.266  z NULL   1.182e+01   3.736e+00   3.16   24.818    0.412   24.839
OBS:  56180.266  g NULL   3.994e+00   2.553e+00   1.56   25.996    1.106   26.959
OBS:  56180.281  r NULL   9.597e+00   1.318e+00   7.28   25.045    0.160   25.082
OBS:  56180.297  i NULL   9.665e+00   3.690e+00   2.62   25.037    0.522   24.812
OBS:  56180.328  z NULL   1.527e+01   4.496e+00   3.40   24.541    0.378   24.848
OBS:  56188.160  g NULL   4.993e+00   5.685e+00   0.88   25.754  102.246   27.534
OBS:  56188.176  r NULL   1.190e+00   5.572e+00   0.21   27.311  100.689   25.409
OBS:  56188.211  i NULL   5.650e+00   4.523e+00   1.25   25.620    1.753   24.905
OBS:  56188.238  z NULL   1.121e+01   3.407e+00   3.29   24.876    0.393   24.902
OBS:  56189.254  g NULL  -1.585e+00   2.285e+00  -0.69  128.000    0.000   27.605
OBS:  56189.270  r NULL   9.241e+00   3.275e+00   2.82   25.086    0.475   25.451
OBS:  56189.281  i NULL   3.142e+01   9.067e+00   3.47   23.757    0.369   24.916
OBS:  56189.312  z NULL   7.950e+00   2.969e+00   2.68   25.249    0.508   24.908
OBS:  56194.258  g NULL  -2.812e+00   2.637e+00  -1.07  128.000    0.000   27.932
OBS:  56194.270  r NULL   5.295e+00   1.493e+00   3.55   25.690    0.360   25.642
OBS:  56194.285  i NULL   5.798e+00   2.298e+00   2.52   25.592    0.550   24.967
OBS:  56194.305  z NULL   8.731e+00   2.391e+00   3.65   25.147    0.348   24.936
OBS:  56202.160  g NULL   4.930e+00   4.792e+00   1.03   25.768    3.870   28.371
OBS:  56202.176  r NULL   4.188e+00   2.325e+00   1.80   25.945    0.880   25.890
OBS:  56202.191  i NULL   1.582e+01   4.174e+00   3.79   24.502    0.332   25.041
OBS:  56202.215  z NULL   9.259e+00   2.717e+00   3.41   25.084    0.377   24.979
OBS:  56210.172  g NULL   9.146e-01   3.690e+00   0.25   27.597  100.403   28.761
OBS:  56210.188  r NULL   6.057e+00   3.218e+00   1.88   25.544    0.822   26.100
OBS:  56210.203  i NULL   1.169e+01   3.217e+00   3.63   24.831    0.349   25.104
