SURVEY: DES   
SNID:   730658   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   1.02358 +- 0.03730  (Helio, z_best) 
REDSHIFT_FINAL:   1.02358 +- 0.03730  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15571 
HOST_GALAXY_PHOTO-Z:   1.0236  +- 0.0373  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  3  
SIM_REDSHIFT:  1.0123  
SIM_HOSTLIB_TRUEZ:  1.0100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15571  
SIM_DLMU:      44.132996  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0628   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.95  24.52  24.45  24.45  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56177.382812  days 
SIM_SALT2x0:   2.222e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     0.42   days 
SIM_TRESTMAX:    66.95   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56177.992  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 103 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   4.859e-01   1.049e+01   0.05   28.284   99.716   24.990
OBS:  56178.250  r NULL   4.753e+00   7.847e+00   0.61   25.808  102.192   24.546
OBS:  56178.266  i NULL   1.257e+01   9.318e+00   1.35   24.751    1.468   24.458
OBS:  56179.211  z NULL   2.172e+01   5.346e+00   4.06   24.158    0.306   24.462
OBS:  56180.219  g NULL   7.701e+00   3.234e+00   2.38   25.284    0.592   25.081
OBS:  56180.234  r NULL   1.432e+01   2.453e+00   5.84   24.610    0.204   24.593
OBS:  56180.250  i NULL   2.474e+01   4.342e+00   5.70   24.017    0.209   24.484
OBS:  56188.191  z NULL   2.940e+01   2.733e+01   1.08   23.829    2.877   24.537
OBS:  56188.340  g NULL  -6.542e-01   2.560e+01  -0.03  128.000    0.000   25.337
OBS:  56188.355  r NULL   1.540e+01   4.173e+00   3.69   24.531    0.343   24.739
OBS:  56189.195  i NULL   1.527e+01   3.096e+01   0.49   24.541  103.459   24.595
OBS:  56194.215  g NULL   8.831e+00   4.781e+00   1.85   25.135    0.846   25.471
OBS:  56194.223  r NULL   2.746e-02   5.412e+00   0.01   31.403   96.597   24.843
OBS:  56194.227  z NULL   1.598e+01   6.551e+00   2.44   24.491    0.573   24.619
OBS:  56200.234  i NULL   8.646e+00   1.199e+01   0.72   25.158  102.842   24.786
OBS:  56208.160  g NULL   2.640e+00   2.988e+00   0.88   26.446  101.554   25.738
OBS:  56208.176  r NULL   6.898e+00   2.440e+00   2.83   25.403    0.475   25.128
OBS:  56208.191  z NULL   2.087e+01   4.955e+00   4.21   24.201    0.294   24.889
OBS:  56210.156  i NULL   1.232e+01   7.031e+00   1.75   24.773    0.917   24.998
OBS:  56216.164  g NULL   5.040e+00   2.700e+00   1.87   25.744    0.833   26.032
OBS:  56216.176  r NULL   8.874e+00   2.050e+00   4.33   25.130    0.285   25.364
OBS:  56216.191  z NULL   6.729e+00   4.049e+00   1.66   25.430    1.000   25.069
OBS:  56219.211  i NULL   6.200e+00   2.995e+00   2.07   25.519    0.717   25.246
OBS:  56221.148  g NULL   2.218e+00   1.592e+01   0.14   26.635  101.365   26.262
OBS:  56221.160  r NULL   1.204e+01   6.057e+00   1.99   24.799    0.759   25.547
OBS:  56221.176  z NULL   2.242e+01   1.540e+01   1.46   24.123    1.260   25.204
OBS:  56222.105  i NULL   7.854e-01   9.193e+00   0.09   27.762  100.238   25.342
OBS:  56222.312  g NULL  -8.282e+00   4.112e+00  -2.01  128.000    0.000   26.323
OBS:  56222.324  r NULL   9.933e+00   1.517e+01   0.65   25.007  102.993   25.594
OBS:  56222.340  z NULL  -9.107e-01   4.086e+01  -0.02  128.000    0.000   25.239
OBS:  56228.297  g NULL  -2.325e+01   1.504e+01  -1.55  128.000    0.000   26.705
OBS:  56228.305  r NULL   4.723e+00   5.495e+00   0.86   25.814  102.186   25.884
OBS:  56228.312  i NULL   2.818e+00   9.413e+00   0.30   26.375  101.625   25.589
OBS:  56228.320  z NULL   4.788e+00   5.802e+00   0.83   25.800  102.200   25.443
OBS:  56229.320  g NULL   1.452e+01   1.406e+01   1.03   24.595    3.740   26.786
OBS:  56229.332  r NULL   4.312e+00   7.253e+00   0.59   25.913  102.087   25.943
OBS:  56229.348  i NULL  -1.005e+01   1.295e+01  -0.78  128.000    0.000   25.638
OBS:  56230.070  z NULL   1.057e+01   7.137e+00   1.48   24.940    1.220   25.512
OBS:  56230.316  g NULL   1.655e+01   1.368e+01   1.21   24.453    1.903   26.870
OBS:  56230.328  r NULL   8.985e+00   6.676e+00   1.35   25.116    1.474   26.004
OBS:  56230.344  i NULL   4.052e+00   1.239e+01   0.33   25.981  102.019   25.686
OBS:  56231.301  g NULL  -6.974e+00   1.166e+01  -0.60  128.000    0.000   26.961
OBS:  56231.316  r NULL   6.037e+00   6.021e+00   1.00   25.548    6.364   26.069
OBS:  56231.328  i NULL  -3.970e+00   1.047e+01  -0.38  128.000    0.000   25.737
OBS:  56231.344  z NULL  -1.093e+00   5.791e+00  -0.19  128.000    0.000   25.566
OBS:  56235.297  g NULL  -4.031e-01   9.638e+00  -0.04  128.000    0.000   27.243
OBS:  56235.312  r NULL   5.001e+00   4.662e+00   1.07   25.752    2.923   26.265
OBS:  56235.324  i NULL   5.926e-01   6.642e+00   0.09   28.068   99.932   25.894
OBS:  56235.340  z NULL   5.046e+00   6.750e+00   0.75   25.743  102.257   25.698
OBS:  56236.312  g NULL   5.793e+00   7.811e+00   0.74   25.593  102.407   27.315
OBS:  56236.324  r NULL   6.006e+00   3.732e+00   1.61   25.553    1.054   26.314
