SURVEY: DES   
SNID:   731659   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.08043 +- 0.02840  (Helio, z_best) 
REDSHIFT_FINAL:   0.08043 +- 0.02840  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14892 
HOST_GALAXY_PHOTO-Z:   0.0804  +- 0.0284  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      1   (non1a index) 
SIM_COMMENT:  SN Type = Ibc , MODEL = NUGENT1bc  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.1083  
SIM_HOSTLIB_TRUEZ:  0.1100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14892  
SIM_DLMU:      38.501060  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0093   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   21.33  20.96  21.05  21.22  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56309.808594  days 
SIM_SALT2x0:   3.977e-16   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.39   days 
SIM_TRESTMAX:     7.42   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56307.910  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 21 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56266.156  z NULL  -9.937e-01   5.281e+00  -0.19   99.000    5.000   98.523
OBS:  56276.152  g NULL  -4.729e+00   4.037e+00  -1.17   99.000    5.000   98.478
OBS:  56276.172  r NULL  -3.337e-01   2.883e+00  -0.12   99.000    5.000   98.549
OBS:  56277.164  i NULL  -3.988e+00   3.541e+00  -1.13   99.000    5.000   98.615
OBS:  56278.164  z NULL  -4.276e+00   4.285e+00  -1.00   99.000    5.000   98.523
OBS:  56288.035  g NULL   1.261e+01   1.451e+01   0.87   99.000    5.000   98.478
OBS:  56288.043  r NULL   5.569e+00   5.401e+00   1.03   99.000    5.000   98.549
OBS:  56288.051  i NULL   4.294e+00   5.980e+00   0.72   99.000    5.000   98.615
OBS:  56288.066  z NULL  -2.626e+00   6.735e+00  -0.39   99.000    5.000   98.523
OBS:  56292.109  g NULL   3.761e+01   7.833e+00   4.80   23.562    0.253   24.329
OBS:  56292.125  r NULL   3.676e+01   3.956e+00   9.29   23.587    0.123   23.784
OBS:  56296.039  i NULL   1.194e+02   4.188e+00  28.50   22.308    0.039   22.322
OBS:  56296.051  z NULL   8.486e+01   4.750e+00  17.87   22.678    0.063   22.646
OBS:  56305.043  g NULL   2.811e+02   6.459e+00  43.52   21.378    0.026   21.325
OBS:  56305.051  r NULL   3.698e+02   7.339e+00  50.38   21.080    0.021   21.103
OBS:  56305.055  i NULL   3.341e+02   7.028e+00  47.54   21.190    0.022   21.238
OBS:  56305.070  z NULL   2.636e+02   6.162e+00  42.78   21.448    0.026   21.444
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56317.035  g NULL   2.174e+02   1.550e+01  14.03   21.657    0.080   21.753
OBS:  56317.043  r NULL   3.645e+02   9.276e+00  39.30   21.096    0.028   21.064
OBS:  56317.051  i NULL   3.804e+02   9.948e+00  38.24   21.049    0.029   21.067
OBS:  56318.035  z NULL   2.957e+02   1.456e+01  20.31   21.323    0.056   21.233
END: 
