SURVEY: DES   
SNID:   736697   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.06289 +- 0.08950  (Helio, z_best) 
REDSHIFT_FINAL:   0.06289 +- 0.08950  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17294 
HOST_GALAXY_PHOTO-Z:   0.0629  +- 0.0895  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      13   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = SDSS-000020  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.0956  
SIM_HOSTLIB_TRUEZ:  0.1000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17294  
SIM_DLMU:      38.210804  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0099   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   21.36  20.86  21.05  21.14  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56354.410156  days 
SIM_SALT2x0:   5.196e-16   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.58   days 
SIM_TRESTMAX:    -3.02   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56355.641  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 32 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56311.043  g NULL  -5.219e-01   2.670e+00  -0.20   99.000    5.000   98.993
OBS:  56311.055  r NULL   1.285e+00   1.496e+00   0.86   99.000    5.000   99.013
OBS:  56311.074  i NULL   4.636e+00   2.389e+00   1.94   99.000    5.000   98.980
OBS:  56311.098  z NULL   1.660e+00   2.434e+00   0.68   99.000    5.000   99.048
OBS:  56317.125  g NULL  -8.766e+00   4.219e+00  -2.08   99.000    5.000   98.993
OBS:  56317.141  r NULL  -2.633e+00   1.860e+00  -1.42   99.000    5.000   99.013
OBS:  56318.109  i NULL   2.448e+00   2.781e+00   0.88   99.000    5.000   98.980
OBS:  56318.141  z NULL   1.051e+00   2.975e+00   0.35   99.000    5.000   99.048
OBS:  56321.090  g NULL  -8.964e-01   6.627e+00  -0.14   99.000    5.000   98.993
OBS:  56321.098  r NULL   3.962e+00   2.888e+00   1.37   99.000    5.000   99.013
OBS:  56321.109  i NULL  -4.360e+00   3.402e+00  -1.28   99.000    5.000   98.980
OBS:  56321.141  z NULL   3.254e+00   2.958e+00   1.10   99.000    5.000   99.048
OBS:  56332.039  g NULL  -6.320e-01   1.459e+00  -0.43  128.000    0.000   28.885
OBS:  56332.051  r NULL   7.608e-01   9.744e-01   0.78   27.797  100.203   27.926
OBS:  56332.070  i NULL   3.111e+00   1.582e+00   1.97   26.268    0.771   29.482
OBS:  56332.094  z NULL   5.036e+00   2.578e+00   1.95   25.745    0.778   27.734
OBS:  56340.043  g NULL   1.708e+01   2.789e+00   6.12   24.419    0.194   24.343
OBS:  56340.055  r NULL   4.209e+01   1.842e+00  22.85   23.440    0.048   23.475
OBS:  56340.074  i NULL   1.472e+01   2.737e+00   5.38   24.580    0.223   24.601
OBS:  56340.098  z NULL   3.028e+01   3.036e+00   9.97   23.797    0.115   23.823
OBS:  56348.055  g NULL   1.609e+02   4.555e+00  35.34   21.983    0.031   21.989
OBS:  56348.070  r NULL   2.428e+02   5.015e+00  48.41   21.537    0.022   21.564
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56349.004  i NULL   1.912e+02   4.300e+00  44.46   21.797    0.024   21.835
OBS:  56349.027  z NULL   1.883e+02   4.277e+00  44.03   21.813    0.025   21.784
OBS:  56350.043  g NULL   2.250e+02   5.808e+00  38.73   21.620    0.028   21.648
OBS:  56350.055  r NULL   3.323e+02   6.481e+00  51.26   21.196    0.020   21.248
OBS:  56350.070  i NULL   2.286e+02   5.327e+00  42.92   21.602    0.026   21.608
OBS:  56350.098  z NULL   2.250e+02   6.425e+00  35.03   21.619    0.032   21.605
OBS:  56351.043  g NULL   2.484e+02   5.854e+00  42.44   21.512    0.026   21.528
OBS:  56351.055  r NULL   3.577e+02   6.924e+00  51.65   21.116    0.021   21.122
OBS:  56351.070  i NULL   2.630e+02   5.800e+00  45.34   21.450    0.025   21.428
OBS:  56351.098  z NULL   2.629e+02   6.851e+00  38.38   21.450    0.029   21.462
END: 
