SURVEY: DES   
SNID:   737170   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.68284 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.68284 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.68284 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12198 
HOST_GALAXY_PHOTO-Z:   0.6947  +- 0.0125  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6866  
SIM_HOSTLIB_TRUEZ:  0.6900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12198  
SIM_DLMU:      43.095711  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0766   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.73  23.23  23.04  23.05  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56165.378906  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   7.664e-06   
SIM_SALT2x1:    0.4531   
SIM_SALT2c:    -0.0803   
SIM_SALT2mB:   23.4239   
SIM_STRETCH:    1.453  
SIM_MAGDIM:    0.811  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     7.62   days 
SIM_TRESTMAX:    69.87   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56166.102  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 87 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.033e+01   1.049e+01   0.99   24.965  103.035   25.724
OBS:  56178.250  r NULL   3.779e+01   7.883e+00   4.79   23.557    0.254   23.761
OBS:  56178.266  i NULL   3.852e+01   9.350e+00   4.12   23.536    0.302   23.308
OBS:  56179.211  z NULL   5.063e+01   5.419e+00   9.34   23.239    0.123   23.185
OBS:  56180.219  g NULL   1.643e+00   3.218e+00   0.51   26.961  101.039   25.875
OBS:  56180.234  r NULL   2.702e+01   2.503e+00  10.80   23.921    0.106   23.876
OBS:  56180.250  i NULL   4.346e+01   4.407e+00   9.86   23.405    0.116   23.387
OBS:  56188.191  z NULL   1.831e+01   2.733e+01   0.67   24.343  103.657   23.499
OBS:  56188.340  g NULL   2.160e+01   2.558e+01   0.84   24.164  103.836   26.487
OBS:  56188.355  r NULL   1.924e+01   4.183e+00   4.60   24.289    0.266   24.413
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.195  i NULL   2.916e+01   3.097e+01   0.94   23.838  104.162   23.822
OBS:  56194.215  g NULL  -5.592e+00   4.768e+00  -1.17  128.000    0.000   27.228
OBS:  56194.223  r NULL   1.567e+01   5.420e+00   2.89   24.512    0.460   24.844
OBS:  56194.227  z NULL   2.825e+01   6.569e+00   4.30   23.872    0.288   23.708
OBS:  56200.234  i NULL   3.246e+01   1.200e+01   2.70   23.722    0.501   24.416
OBS:  56208.160  g NULL   8.834e-01   2.972e+00   0.30   27.635  100.365   29.610
OBS:  56208.176  r NULL   5.982e+00   2.435e+00   2.46   25.558    0.567   25.843
OBS:  56208.191  z NULL   2.239e+01   4.960e+00   4.51   24.125    0.272   24.073
OBS:  56210.156  i NULL   1.162e+01   7.031e+00   1.65   24.837    1.008   24.925
OBS:  56216.164  g NULL   4.605e+00   2.689e+00   1.71   25.842    0.951   28.282
OBS:  56216.176  r NULL   5.314e+00   2.042e+00   2.60   25.687    0.526   26.109
OBS:  56216.191  z NULL   2.098e+01   4.068e+00   5.16   24.195    0.234   24.311
OBS:  56219.211  i NULL   3.294e+00   2.993e+00   1.10   26.206    2.606   25.321
OBS:  56221.148  g NULL  -1.310e+01   1.592e+01  -0.82  128.000    0.000   28.317
OBS:  56221.160  r NULL   1.367e+01   6.055e+00   2.26   24.661    0.635   26.259
