SURVEY: DES   
SNID:   745889   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.69055 +- 0.02660  (Helio, z_best) 
REDSHIFT_FINAL:   0.69055 +- 0.02660  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13920 
HOST_GALAXY_PHOTO-Z:   0.6906  +- 0.0266  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      1   (non1a index) 
SIM_COMMENT:  SN Type = Ibc , MODEL = NUGENT1bc  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7321  
SIM_HOSTLIB_TRUEZ:  0.7300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13920  
SIM_DLMU:      43.265938  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0247   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.12  24.51  23.94  23.57  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56208.980469  days 
SIM_SALT2x0:   4.939e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.36   days 
SIM_TRESTMAX:    67.58   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56209.852  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 124 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -5.308e+00   4.787e+00  -1.11   99.000    5.000   96.805
OBS:  56177.188  r NULL  -2.879e+00   5.334e+00  -0.54   99.000    5.000   96.789
OBS:  56177.203  i NULL  -1.651e+00   5.436e+00  -0.30   99.000    5.000   96.858
OBS:  56177.234  z NULL  -5.127e-01   4.691e+00  -0.11   99.000    5.000   96.807
OBS:  56179.172  g NULL   1.241e-01   2.239e+00   0.06   29.766   98.234   27.474
OBS:  56179.312  r NULL   4.262e+00   3.031e+00   1.41   25.926    1.348   27.401
OBS:  56179.328  i NULL   3.625e-01   4.200e+00   0.09   28.602   99.398   27.097
OBS:  56179.359  z NULL   6.687e+00   3.519e+00   1.90   25.437    0.811   27.000
OBS:  56187.156  g NULL   6.618e-01   1.703e+00   0.39   27.948  100.052   29.035
OBS:  56187.172  r NULL   3.623e+00   1.255e+00   2.89   26.102    0.462   26.040
OBS:  56187.188  i NULL   5.679e+00   1.903e+00   2.98   25.614    0.444   25.199
OBS:  56187.211  z NULL   1.612e+01   2.198e+00   7.33   24.482    0.158   24.803
OBS:  56189.148  g NULL   8.489e+00   9.762e+00   0.87   25.178  102.822   28.294
OBS:  56189.160  r NULL   6.437e+00   3.880e+00   1.66   25.478    1.002   25.545
OBS:  56189.176  i NULL   1.949e+01   8.081e+00   2.41   24.276    0.581   24.820
OBS:  56189.203  z NULL   1.732e+01   4.704e+00   3.68   24.404    0.344   24.498
OBS:  56194.121  g NULL   2.607e+00   3.773e+00   0.69   26.460  101.540   27.091
OBS:  56194.129  r NULL   1.021e+01   2.362e+00   4.32   24.977    0.286   24.792
OBS:  56200.156  i NULL   2.579e+01   8.082e+00   3.19   23.972    0.408   23.962
OBS:  56200.180  z NULL   4.166e+01   5.690e+00   7.32   23.451    0.159   23.717
OBS:  56207.156  g NULL   1.289e-01   2.282e+00   0.06   29.724   98.276   26.934
OBS:  56207.172  r NULL   1.441e+01   1.633e+00   8.82   24.604    0.131   24.428
OBS:  56209.191  i NULL   2.754e+01   2.209e+00  12.47   23.900    0.091   23.942
OBS:  56209.215  z NULL   3.403e+01   2.294e+00  14.83   23.670    0.076   23.571
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56215.164  g NULL   1.523e+00   1.597e+00   0.95   27.043  100.957   28.062
OBS:  56215.180  r NULL   1.204e+01   1.126e+00  10.69   24.798    0.106   24.944
OBS:  56217.152  i NULL   2.006e+01   1.456e+00  13.77   24.244    0.083   24.114
OBS:  56217.191  z NULL   3.570e+01   1.940e+00  18.40   23.618    0.061   23.614
OBS:  56221.062  g NULL   5.683e+00   4.490e+00   1.27   25.614    1.694   28.695
OBS:  56221.074  r NULL   6.593e+00   3.585e+00   1.84   25.452    0.852   25.416
OBS:  56221.195  i NULL   2.320e+01   1.347e+01   1.72   24.086    0.943   24.319
OBS:  56221.227  z NULL   2.959e+01   4.054e+00   7.30   23.822    0.160   23.775
OBS:  56222.047  g NULL  -1.312e+00   6.419e+00  -0.20  128.000    0.000   28.873
OBS:  56222.062  r NULL   1.238e+01   3.136e+00   3.95   24.768    0.316   25.497
OBS:  56222.191  i NULL   7.142e+00   9.797e+00   0.73   25.365  102.635   24.382
