SURVEY: DES   
SNID:   754333   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.94565 +- 0.02600  (Helio, z_best) 
REDSHIFT_FINAL:   0.94565 +- 0.02600  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14383 
HOST_GALAXY_PHOTO-Z:   0.9456  +- 0.0260  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.9490  
SIM_HOSTLIB_TRUEZ:  0.9500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14383  
SIM_DLMU:      43.959908  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0080   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.15  24.55  23.99  23.84  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56179.222656  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.829e-06   
SIM_SALT2x1:    1.1046   
SIM_SALT2c:     0.0102   
SIM_SALT2mB:   24.5060   
SIM_STRETCH:    2.105  
SIM_MAGDIM:    1.029  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -1.56   days 
SIM_TRESTMAX:    67.66   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56178.969  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL  -1.440e+00   4.764e+00  -0.30  128.000    0.000   28.689
OBS:  56176.199  r NULL   1.855e+01   2.163e+00   8.58   24.329    0.134   24.459
OBS:  56176.215  i NULL   2.041e+01   3.174e+00   6.43   24.225    0.184   23.975
OBS:  56176.238  z NULL   2.933e+01   2.545e+00  11.52   23.832    0.098   23.859
OBS:  56179.188  g NULL   2.280e-01   2.585e+00   0.09   29.105   98.895   28.150
OBS:  56179.195  r NULL   1.619e+01   1.742e+00   9.29   24.477    0.123   24.550
OBS:  56179.234  i NULL   2.585e+01   2.049e+00  12.61   23.969    0.090   23.992
OBS:  56179.266  z NULL   3.190e+01   3.778e+00   8.44   23.740    0.137   23.837
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL  -1.755e-01   2.551e+00  -0.07  128.000    0.000   28.082
OBS:  56180.281  r NULL   1.385e+01   1.335e+00  10.37   24.647    0.110   24.593
OBS:  56180.297  i NULL   2.603e+01   3.720e+00   7.00   23.961    0.167   24.005
OBS:  56180.328  z NULL   2.972e+01   4.522e+00   6.57   23.817    0.179   23.842
OBS:  56188.160  g NULL   8.481e+00   5.686e+00   1.49   25.179    1.204   28.494
OBS:  56188.176  r NULL   4.952e+00   5.574e+00   0.89   25.763  102.237   25.028
OBS:  56188.211  i NULL   2.909e+01   4.557e+00   6.38   23.841    0.184   24.155
OBS:  56188.238  z NULL   2.436e+01   3.432e+00   7.10   24.033    0.165   23.951
OBS:  56189.254  g NULL   5.006e+00   2.286e+00   2.19   25.751    0.662   28.733
OBS:  56189.270  r NULL   6.265e+00   3.274e+00   1.91   25.508    0.803   25.108
OBS:  56189.281  i NULL   2.155e+01   9.060e+00   2.38   24.166    0.592   24.181
OBS:  56189.312  z NULL   3.236e+01   3.028e+00  10.69   23.725    0.106   23.972
OBS:  56194.258  g NULL  -7.629e-01   2.636e+00  -0.29  128.000    0.000   31.100
OBS:  56194.270  r NULL   5.498e+00   1.494e+00   3.68   25.649    0.345   25.464
OBS:  56194.285  i NULL   1.630e+01   2.318e+00   7.03   24.470    0.167   24.330
OBS:  56194.305  z NULL   1.866e+01   2.412e+00   7.73   24.323    0.151   24.098
OBS:  56202.160  g NULL  -5.052e+00   4.791e+00  -1.05  128.000    0.000   32.994
