SURVEY: DES   
SNID:   762541   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.88477 +- 0.02900  (Helio, z_best) 
REDSHIFT_FINAL:   0.88477 +- 0.02900  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18550 
HOST_GALAXY_PHOTO-Z:   0.8848  +- 0.0290  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.9225  
SIM_HOSTLIB_TRUEZ:  0.9200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18550  
SIM_DLMU:      43.883736  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0790   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.24  24.13  23.54  23.57  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56342.988281  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.642e-06   
SIM_SALT2x1:    0.2618   
SIM_SALT2c:    -0.1630   
SIM_SALT2mB:   23.9683   
SIM_STRETCH:    1.262  
SIM_MAGDIM:    0.568  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -35.29   days 
SIM_TRESTMAX:     4.18   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56342.996  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56275.152  g NULL  -4.693e+00   3.311e+00  -1.42   99.000    5.000  100.058
OBS:  56275.172  r NULL   1.912e+00   2.240e+00   0.85   99.000    5.000   99.164
OBS:  56275.191  i NULL  -7.368e+00   4.494e+00  -1.64   99.000    5.000   99.217
OBS:  56275.203  z NULL  -1.099e+01   5.329e+00  -2.06   99.000    5.000   99.191
OBS:  56283.203  g NULL  -5.530e-01   6.285e+00  -0.09   99.000    5.000  100.058
OBS:  56283.211  r NULL   3.128e+00   3.326e+00   0.94   99.000    5.000   99.164
OBS:  56283.215  i NULL   5.012e+00   5.817e+00   0.86   99.000    5.000   99.217
OBS:  56283.223  z NULL   6.653e-01   5.042e+00   0.13   99.000    5.000   99.191
OBS:  56288.199  g NULL   1.285e+01   1.179e+01   1.09   99.000    5.000  100.058
OBS:  56288.215  r NULL   7.471e-01   6.180e+00   0.12   99.000    5.000   99.164
OBS:  56289.109  i NULL  -2.135e+00   7.080e+00  -0.30   99.000    5.000   99.217
OBS:  56289.125  z NULL   2.467e+00   5.422e+00   0.46   99.000    5.000   99.191
OBS:  56292.098  g NULL   2.468e+00   1.165e+01   0.21   99.000    5.000  100.058
OBS:  56292.102  r NULL   2.529e-02   4.826e+00   0.01   99.000    5.000   99.164
OBS:  56292.191  i NULL   3.759e-01   5.599e+00   0.07   99.000    5.000   99.217
OBS:  56292.199  z NULL  -9.681e+00   5.161e+00  -1.88   99.000    5.000   99.191
OBS:  56304.051  g NULL   8.032e-01   2.480e+00   0.32   99.000    5.000  100.058
OBS:  56304.055  r NULL   1.202e+00   1.657e+00   0.73   99.000    5.000   99.164
OBS:  56304.070  i NULL  -6.204e-02   2.506e+00  -0.02   99.000    5.000   99.217
OBS:  56304.086  z NULL  -1.793e+00   3.934e+00  -0.46   99.000    5.000   99.191
OBS:  56312.055  g NULL  -2.970e+00   7.568e+00  -0.39  128.000    0.000   30.833
OBS:  56312.066  r NULL  -8.013e-01   2.963e+00  -0.27  128.000    0.000   27.496
OBS:  56312.090  i NULL   1.744e+00   5.021e+00   0.35   26.896  101.104   26.428
OBS:  56312.113  z NULL   6.061e+00   5.430e+00   1.12   25.544    2.455   26.580
OBS:  56320.043  g NULL  -4.185e+00   6.169e+00  -0.68  128.000    0.000   29.439
OBS:  56320.051  r NULL   4.038e+00   2.496e+00   1.62   25.985    1.046   25.552
OBS:  56320.059  i NULL   1.717e+01   3.674e+00   4.67   24.413    0.261   24.798
OBS:  56320.070  z NULL   1.076e+01   4.401e+00   2.44   24.921    0.571   24.940
OBS:  56328.047  g NULL   1.316e+00   3.351e+00   0.39   27.201  100.799   29.093
OBS:  56328.055  r NULL   1.568e+01   2.441e+00   6.42   24.512    0.184   24.306
OBS:  56328.070  i NULL   2.198e+01   4.082e+00   5.39   24.145    0.224   23.890
OBS:  56328.086  z NULL   1.516e+01   6.791e+00   2.23   24.548    0.646   24.016
OBS:  56336.062  g NULL  -7.763e-01   3.701e+00  -0.21  128.000    0.000   28.853
OBS:  56336.082  r NULL   2.207e+01   3.056e+00   7.22   24.140    0.162   24.014
OBS:  56337.062  i NULL   4.107e+01   3.052e+00  13.46   23.466    0.083   23.550
OBS:  56337.078  z NULL   4.113e+01   3.832e+00  10.74   23.464    0.106   23.654
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56345.039  g NULL   9.373e+00   7.142e+00   1.31   25.070    1.557   28.181
OBS:  56345.055  r NULL   2.549e+01   3.813e+00   6.69   23.984    0.175   24.223
OBS:  56346.055  i NULL   4.486e+01   6.058e+00   7.40   23.370    0.157   23.588
OBS:  56348.027  z NULL   3.733e+01   5.075e+00   7.36   23.570    0.158   23.618
OBS:  56350.023  g NULL  -8.618e+00   6.832e+00  -1.26  128.000    0.000   28.347
OBS:  56350.027  r NULL   2.102e+01   3.966e+00   5.30   24.193    0.226   24.491
OBS:  56350.035  i NULL   3.854e+01   6.732e+00   5.73   23.535    0.208   23.681
