SURVEY: DES   
SNID:   771574   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.96925 +- 0.01870  (Helio, z_best) 
REDSHIFT_FINAL:   0.96925 +- 0.01870  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18602 
HOST_GALAXY_PHOTO-Z:   0.9692  +- 0.0187  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9933  
SIM_HOSTLIB_TRUEZ:  0.9900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18602  
SIM_DLMU:      44.082321  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0231   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.120  mag  (host extinction at 5510 A)
SIM_RV:         2.664   (CCM89 extinction parameter) 
SIM_PEAKMAG:   53.76  25.31  24.25  24.29  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56175.746094  days 
SIM_DELTA:      0.422  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.578  
SIM_MAGDIM:    0.520  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     0.72   days 
SIM_TRESTMAX:    68.90   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56176.293  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -2.625e+00   4.787e+00  -0.55  128.000    0.000   53.797
OBS:  56177.188  r NULL   1.372e+00   5.335e+00   0.26   27.156  100.844   25.375
OBS:  56177.203  i NULL   1.694e+01   5.447e+00   3.11   24.428    0.422   24.279
OBS:  56177.234  z NULL   1.367e+01   4.699e+00   2.91   24.661    0.458   24.293
OBS:  56179.172  g NULL   4.007e+00   2.239e+00   1.79   25.993    0.888   53.875
OBS:  56179.312  r NULL   4.744e+00   3.033e+00   1.56   25.810    1.108   25.509
OBS:  56179.328  i NULL   1.825e+01   4.217e+00   4.33   24.347    0.285   24.329
OBS:  56179.359  z NULL   1.968e+01   3.538e+00   5.56   24.265    0.215   24.309
OBS:  56187.156  g NULL  -3.379e-01   1.702e+00  -0.20  128.000    0.000   54.435
OBS:  56187.172  r NULL   4.825e+00   1.256e+00   3.84   25.791    0.327   26.391
OBS:  56187.188  i NULL   1.252e+01   1.916e+00   6.53   24.756    0.181   24.699
OBS:  56187.211  z NULL   1.415e+01   2.193e+00   6.45   24.623    0.183   24.530
OBS:  56189.148  g NULL  -1.084e+01   9.762e+00  -1.11  128.000    0.000   54.582
OBS:  56189.160  r NULL   8.528e+00   3.880e+00   2.20   25.173    0.658   26.608
OBS:  56189.176  i NULL   1.911e+01   8.081e+00   2.37   24.297    0.596   24.810
OBS:  56189.203  z NULL   1.390e+01   4.700e+00   2.96   24.643    0.448   24.614
OBS:  56194.121  g NULL  -3.525e+00   3.771e+00  -0.93  128.000    0.000   54.920
OBS:  56194.129  r NULL   2.815e+00   2.350e+00   1.20   26.376    1.954   26.984
OBS:  56200.156  i NULL   6.897e+00   8.067e+00   0.86   25.403  102.597   25.547
OBS:  56200.180  z NULL   4.509e+00   5.636e+00   0.80   25.865  102.135   25.241
OBS:  56207.156  g NULL   1.037e+00   2.280e+00   0.46   27.460  100.540   55.967
OBS:  56207.172  r NULL  -2.797e-01   1.603e+00  -0.17  128.000    0.000   28.128
OBS:  56209.191  i NULL   4.564e+00   2.142e+00   2.13   25.852    0.688   26.364
OBS:  56209.215  z NULL   5.086e+00   2.203e+00   2.31   25.734    0.616   25.758
OBS:  56215.164  g NULL   2.023e+00   1.596e+00   1.27   26.735    1.687   56.467
OBS:  56215.180  r NULL   1.072e+00   1.097e+00   0.98   27.424  100.576   28.602
