SURVEY: DES   
SNID:   775977   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.45267 +- 0.05130  (Helio, z_best) 
REDSHIFT_FINAL:   0.45267 +- 0.05130  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19065 
HOST_GALAXY_PHOTO-Z:   0.4527  +- 0.0513  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.4962  
SIM_HOSTLIB_TRUEZ:  0.5000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19065  
SIM_DLMU:      42.241131  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0263   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.05  22.75  22.76  22.69  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56237.507812  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   9.141e-06   
SIM_SALT2x1:    1.0111   
SIM_SALT2c:     0.1461   
SIM_SALT2mB:   23.2325   
SIM_STRETCH:    2.011  
SIM_MAGDIM:    1.474  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.99   days 
SIM_TRESTMAX:    65.19   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56237.059  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 124 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56179.172  g NULL  -2.677e+00   2.238e+00  -1.20   99.000    5.000   99.085
OBS:  56179.312  r NULL   8.382e-01   3.029e+00   0.28   99.000    5.000   99.013
OBS:  56179.328  i NULL   3.322e+00   4.200e+00   0.79   99.000    5.000   99.034
OBS:  56179.359  z NULL  -7.336e-01   3.517e+00  -0.21   99.000    5.000   99.013
OBS:  56187.156  g NULL  -1.951e+00   1.703e+00  -1.15   99.000    5.000   99.085
OBS:  56187.172  r NULL   7.832e-01   1.251e+00   0.63   99.000    5.000   99.013
OBS:  56187.188  i NULL   1.058e+00   1.897e+00   0.56   99.000    5.000   99.034
OBS:  56187.211  z NULL  -1.787e+00   2.176e+00  -0.82   99.000    5.000   99.013
OBS:  56189.148  g NULL   2.147e+00   9.760e+00   0.22   99.000    5.000   99.085
OBS:  56189.160  r NULL  -4.812e-01   3.876e+00  -0.12   99.000    5.000   99.013
OBS:  56189.176  i NULL  -2.318e+00   8.070e+00  -0.29   99.000    5.000   99.034
OBS:  56189.203  z NULL  -2.432e+00   4.692e+00  -0.52   99.000    5.000   99.013
OBS:  56194.121  g NULL   2.842e+00   3.771e+00   0.75   99.000    5.000   99.085
OBS:  56194.129  r NULL  -1.563e+00   2.349e+00  -0.67   99.000    5.000   99.013
OBS:  56200.156  i NULL  -4.395e+00   8.066e+00  -0.54   99.000    5.000   99.034
OBS:  56200.180  z NULL  -2.976e+00   5.635e+00  -0.53   99.000    5.000   99.013
OBS:  56207.156  g NULL   1.564e+00   2.280e+00   0.69   99.000    5.000   99.085
OBS:  56207.172  r NULL  -9.283e-02   1.603e+00  -0.06   99.000    5.000   99.013
OBS:  56209.191  i NULL   9.744e-01   2.140e+00   0.46   27.528  100.472   28.243
OBS:  56209.215  z NULL   1.010e+00   2.200e+00   0.46   27.489  100.511   28.088
OBS:  56215.164  g NULL   2.237e+00   1.603e+00   1.40   26.626    1.371   26.119
OBS:  56215.180  r NULL   1.046e+01   1.122e+00   9.33   24.951    0.124   24.800
OBS:  56217.152  i NULL   1.910e+01   1.449e+00  13.18   24.298    0.085   24.359
OBS:  56217.191  z NULL   1.940e+01   1.855e+00  10.46   24.280    0.109   24.244
OBS:  56221.062  g NULL   7.545e+00   4.500e+00   1.68   25.306    0.986   24.799
OBS:  56221.074  r NULL   3.430e+01   3.648e+00   9.40   23.662    0.122   23.620
OBS:  56221.195  i NULL   2.868e+01   1.348e+01   2.13   23.856    0.689   23.655
OBS:  56221.227  z NULL   4.652e+01   4.110e+00  11.32   23.331    0.100   23.577
OBS:  56222.047  g NULL   2.296e+01   6.444e+00   3.56   24.098    0.357   24.627
OBS:  56222.062  r NULL   4.058e+01   3.227e+00  12.58   23.479    0.090   23.482
OBS:  56222.191  i NULL   3.031e+01   9.819e+00   3.09   23.796    0.426   23.515
OBS:  56222.211  z NULL   5.133e+01   4.933e+00  10.41   23.224    0.109   23.448
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56228.031  g NULL   2.865e+01   2.614e+01   1.10   23.857    2.643   24.005
OBS:  56228.047  r NULL   7.468e+01   1.174e+01   6.36   22.817    0.185   22.934
OBS:  56228.156  i NULL   7.100e+01   5.354e+00  13.26   22.872    0.085   22.996
OBS:  56228.188  z NULL   6.768e+01   3.116e+00  21.72   22.924    0.051   22.946
OBS:  56229.031  g NULL   1.050e+01   3.076e+01   0.34   24.947  103.053   23.960
OBS:  56229.156  r NULL   7.366e+01   3.865e+00  19.06   22.832    0.058   22.877
OBS:  56229.172  i NULL   5.610e+01   7.139e+00   7.86   23.128    0.148   22.954
OBS:  56229.199  z NULL   7.238e+01   3.227e+00  22.43   22.851    0.049   22.900
OBS:  56230.035  g NULL   1.547e+01   9.329e+00   1.66   24.526    1.005   23.924
OBS:  56230.043  r NULL   7.846e+01   4.144e+00  18.93   22.763    0.058   22.837
OBS:  56230.191  i NULL   6.780e+01   6.450e+00  10.51   22.922    0.109   22.918
OBS:  56230.215  z NULL   7.508e+01   3.245e+00  23.14   22.811    0.048   22.859
OBS:  56231.035  g NULL   3.095e+01   7.728e+00   4.00   23.773    0.312   23.907
OBS:  56231.156  r NULL   7.862e+01   3.052e+00  25.76   22.761    0.043   22.800
OBS:  56231.172  i NULL   6.879e+01   4.969e+00  13.84   22.906    0.082   22.886
OBS:  56231.191  z NULL   8.126e+01   3.382e+00  24.03   22.725    0.045   22.824
OBS:  56235.145  g NULL   2.435e+01   3.838e+00   6.35   24.034    0.186   23.956
OBS:  56235.160  r NULL   7.895e+01   2.318e+00  34.05   22.757    0.033   22.740
OBS:  56235.172  i NULL   7.364e+01   3.498e+00  21.05   22.832    0.053   22.790
OBS:  56235.195  z NULL   8.164e+01   3.313e+00  24.64   22.720    0.045   22.718
OBS:  56236.160  g NULL   2.783e+01   2.107e+00  13.21   23.889    0.085   23.992
OBS:  56236.172  r NULL   8.113e+01   2.435e+00  33.31   22.727    0.033   22.740
OBS:  56236.188  i NULL   7.598e+01   3.139e+00  24.20   22.798    0.046   22.775
OBS:  56236.207  z NULL   7.885e+01   3.518e+00  22.41   22.758    0.050   22.700
OBS:  56237.176  g NULL   2.521e+01   3.510e+00   7.18   23.996    0.163   24.033
OBS:  56237.188  r NULL   8.130e+01   2.751e+00  29.55   22.725    0.037   22.745
OBS:  56237.207  i NULL   7.665e+01   3.217e+00  23.83   22.789    0.047   22.767
OBS:  56237.238  z NULL   7.925e+01   4.146e+00  19.11   22.753    0.059   22.688
OBS:  56238.188  g NULL   2.611e+01   3.050e+00   8.56   23.958    0.135   24.080
OBS:  56238.199  r NULL   8.103e+01   2.555e+00  31.72   22.728    0.034   22.755
OBS:  56238.219  i NULL   7.786e+01   3.563e+00  21.86   22.772    0.051   22.764
OBS:  56238.250  z NULL   8.431e+01   5.116e+00  16.48   22.685    0.068   22.681
