SURVEY: DES   
SNID:   776738   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.75787 +- 0.01230  (Helio, z_best) 
REDSHIFT_FINAL:   0.75787 +- 0.01230  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18751 
HOST_GALAXY_PHOTO-Z:   0.7579  +- 0.0123  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7810  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18751  
SIM_DLMU:      43.438293  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0076   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.38  24.17  23.57  23.73  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56270.964844  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.877e-06   
SIM_SALT2x1:   -0.1834   
SIM_SALT2c:     0.0220   
SIM_SALT2mB:   24.1638   
SIM_STRETCH:    0.817  
SIM_MAGDIM:    1.209  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.63   days 
SIM_TRESTMAX:    44.99   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56272.199  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 137 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56202.160  g NULL   2.787e+00   4.791e+00   0.58   99.000    5.000   99.129
OBS:  56202.176  r NULL   1.257e+00   2.322e+00   0.54   99.000    5.000   99.149
OBS:  56202.191  i NULL  -2.421e+00   4.163e+00  -0.58   99.000    5.000   99.183
OBS:  56202.215  z NULL   3.458e+00   2.711e+00   1.28   99.000    5.000   99.162
OBS:  56210.172  g NULL  -9.574e+00   3.694e+00  -2.59   99.000    5.000   99.129
OBS:  56210.188  r NULL  -3.309e+00   3.215e+00  -1.03   99.000    5.000   99.149
OBS:  56210.203  i NULL  -3.661e+00   3.209e+00  -1.14   99.000    5.000   99.183
OBS:  56210.234  z NULL   7.317e+00   3.847e+00   1.90   99.000    5.000   99.162
OBS:  56218.172  g NULL  -2.928e-01   1.249e+00  -0.23   99.000    5.000   99.129
OBS:  56218.191  r NULL  -5.168e-01   9.560e-01  -0.54   99.000    5.000   99.149
OBS:  56218.211  i NULL   3.934e-01   1.499e+00   0.26   99.000    5.000   99.183
OBS:  56219.156  z NULL  -1.264e+00   1.933e+00  -0.65   99.000    5.000   99.162
OBS:  56221.273  g NULL  -1.251e+00   3.910e+00  -0.32   99.000    5.000   99.129
OBS:  56221.281  r NULL   2.000e+00   5.580e+00   0.36   99.000    5.000   99.149
OBS:  56221.297  i NULL  -1.647e+00   4.482e+00  -0.37   99.000    5.000   99.183
OBS:  56221.324  z NULL  -2.831e+00   1.439e+01  -0.20   99.000    5.000   99.162
OBS:  56222.074  g NULL   4.795e+00   5.909e+00   0.81   99.000    5.000   99.129
OBS:  56222.090  r NULL   1.667e+00   2.626e+00   0.64   99.000    5.000   99.149
OBS:  56222.113  i NULL   1.671e+00   3.322e+00   0.50   99.000    5.000   99.183
OBS:  56222.133  z NULL   2.994e+00   5.055e+00   0.59   99.000    5.000   99.162
OBS:  56228.059  g NULL  -9.422e+00   7.695e+00  -1.22   99.000    5.000   99.129
OBS:  56228.066  r NULL   1.658e+00   2.390e+00   0.69   99.000    5.000   99.149
OBS:  56228.086  i NULL  -1.785e+00   5.108e+00  -0.35   99.000    5.000   99.183
OBS:  56228.109  z NULL   3.524e+00   4.134e+00   0.85   99.000    5.000   99.162
OBS:  56229.047  g NULL   1.643e+01   2.392e+01   0.69   99.000    5.000   99.129
OBS:  56229.059  r NULL  -2.463e-01   3.850e+00  -0.06   99.000    5.000   99.149
OBS:  56229.074  i NULL   4.460e+00   5.424e+00   0.82   99.000    5.000   99.183
OBS:  56229.102  z NULL   1.935e+00   4.848e+00   0.40   99.000    5.000   99.162
OBS:  56230.059  g NULL   8.620e+00   6.572e+00   1.31   99.000    5.000   99.129
OBS:  56230.102  r NULL  -6.130e+00   2.918e+00  -2.10   99.000    5.000   99.149
OBS:  56230.113  i NULL   9.066e+00   5.177e+00   1.75   99.000    5.000   99.183
OBS:  56230.145  z NULL  -3.623e+00   2.665e+00  -1.36   99.000    5.000   99.162
OBS:  56231.043  g NULL  -1.225e-01   6.044e+00  -0.02   99.000    5.000   99.129
OBS:  56231.059  r NULL  -6.567e-01   2.550e+00  -0.26   99.000    5.000   99.149
OBS:  56231.070  i NULL   2.041e-01   4.240e+00   0.05   99.000    5.000   99.183
OBS:  56231.102  z NULL   5.868e+00   3.279e+00   1.79   99.000    5.000   99.162
OBS:  56235.039  g NULL  -1.903e+00   5.184e+00  -0.37   99.000    5.000   99.129
OBS:  56235.047  r NULL   5.091e+00   3.706e+00   1.37   99.000    5.000   99.149
OBS:  56235.062  i NULL   3.073e+00   4.192e+00   0.73   99.000    5.000   99.183
OBS:  56235.090  z NULL  -9.774e+00   8.234e+00  -1.19   99.000    5.000   99.162
OBS:  56236.047  g NULL   2.701e+00   4.872e+00   0.55   26.421  101.579   33.875
OBS:  56236.062  r NULL  -3.706e+00   2.660e+00  -1.39  128.000    0.000   31.440
OBS:  56236.074  i NULL  -1.419e+00   5.222e+00  -0.27  128.000    0.000   30.744
OBS:  56236.105  z NULL   4.603e+00   5.320e+00   0.87   25.842  102.158   30.775
OBS:  56237.039  g NULL  -8.331e-01   3.164e+00  -0.26  128.000    0.000   32.918
OBS:  56237.051  r NULL  -9.398e-02   2.212e+00  -0.04  128.000    0.000   30.499
OBS:  56237.094  i NULL  -5.820e+00   2.493e+00  -2.33  128.000    0.000   29.794
OBS:  56237.125  z NULL  -3.360e-01   3.695e+00  -0.09  128.000    0.000   29.851
OBS:  56238.074  g NULL  -2.363e+00   2.522e+00  -0.94  128.000    0.000   31.814
OBS:  56238.094  r NULL   3.078e-01   1.588e+00   0.19   28.779   99.221   29.389
OBS:  56238.109  i NULL   1.631e+00   2.722e+00   0.60   26.969  101.031   28.700
OBS:  56238.129  z NULL  -3.091e+00   3.106e+00  -1.00  128.000    0.000   28.763
OBS:  56243.098  g NULL  -6.932e-01   2.168e+00  -0.32  128.000    0.000   29.599
OBS:  56243.109  r NULL   2.543e+00   1.655e+00   1.54   26.487    1.141   27.184
OBS:  56243.125  i NULL   2.561e+00   2.565e+00   1.00   26.479  101.521   26.500
OBS:  56243.152  z NULL   2.545e+00   2.550e+00   1.00   26.486  101.514   26.569
OBS:  56244.082  g NULL   2.973e+00   2.191e+00   1.36   26.317    1.450   29.340
OBS:  56244.098  r NULL  -6.332e-01   1.635e+00  -0.39  128.000    0.000   26.925
OBS:  56244.109  i NULL   4.642e-01   2.589e+00   0.18   28.333   99.667   26.243
OBS:  56244.133  z NULL   4.933e+00   2.983e+00   1.65   25.767    1.007   26.314
OBS:  56245.070  g NULL   1.991e+00   1.719e+00   1.16   26.752    2.160   29.057
OBS:  56245.082  r NULL   3.451e+00   1.355e+00   2.55   26.155    0.541   26.666
OBS:  56245.109  i NULL   5.123e+00   3.214e+00   1.59   25.726    1.071   25.988
OBS:  56245.137  z NULL   4.759e+00   2.838e+00   1.68   25.806    0.985   26.060
OBS:  56246.117  g NULL   7.026e-01   6.562e+00   0.11   27.883  100.117   28.794
OBS:  56246.125  r NULL   2.540e+00   2.812e+00   0.90   26.488  101.512   26.430
OBS:  56246.152  i NULL   8.079e-01   1.961e+00   0.41   27.732  100.268   25.761
OBS:  56246.180  z NULL   4.778e+00   1.936e+00   2.47   25.802    0.564   25.835
OBS:  56247.281  g NULL   3.924e-01   1.490e+00   0.26   28.516   99.484   28.420
OBS:  56247.297  r NULL   4.697e+00   1.138e+00   4.13   25.821    0.301   26.143
OBS:  56247.316  i NULL   5.292e+00   1.979e+00   2.67   25.691    0.509   25.510
OBS:  56247.340  z NULL   5.483e+00   2.492e+00   2.20   25.652    0.658   25.592
OBS:  56248.324  g NULL  -2.311e-01   1.703e+00  -0.14  128.000    0.000   28.114
OBS:  56248.340  r NULL   5.000e+00   1.341e+00   3.73   25.753    0.339   25.909
OBS:  56258.035  i NULL   3.209e+01   9.905e+00   3.24   23.734    0.400   23.980
OBS:  56258.066  z NULL   2.050e+01   3.987e+00   5.14   24.221    0.235   24.130
OBS:  56258.215  g NULL   8.039e-01   4.949e+00   0.16   27.737  100.263   26.314
OBS:  56258.227  r NULL   1.784e+01   2.410e+00   7.40   24.372    0.158   24.400
OBS:  56261.098  g NULL  -1.216e+01   8.833e+00  -1.38  128.000    0.000   26.201
OBS:  56261.102  r NULL   2.552e+01   3.438e+00   7.42   23.983    0.156   24.233
OBS:  56261.125  i NULL   2.793e+01   3.897e+00   7.17   23.885    0.163   23.780
OBS:  56261.156  z NULL   2.792e+01   3.133e+00   8.91   23.885    0.129   23.959
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56273.160  g NULL   1.163e+00   1.757e+00   0.66   27.336  100.664   26.492
OBS:  56273.176  r NULL   1.948e+01   1.279e+00  15.23   24.276    0.074   24.249
OBS:  56273.188  i NULL   3.644e+01   2.147e+00  16.98   23.596    0.066   23.589
OBS:  56273.219  z NULL   3.173e+01   2.332e+00  13.61   23.746    0.083   23.725
OBS:  56281.160  g NULL   6.733e-01   2.076e+00   0.32   27.929  100.071   27.125
OBS:  56281.184  r NULL   1.521e+01   1.314e+00  11.57   24.545    0.098   24.614
OBS:  56281.203  i NULL   3.074e+01   1.899e+00  16.19   23.781    0.069   23.794
OBS:  56281.227  z NULL   2.303e+01   2.334e+00   9.87   24.094    0.117   23.808
OBS:  56288.086  g NULL   6.657e-01   4.850e+00   0.14   27.942  100.058   27.527
OBS:  56288.094  r NULL   9.247e+00   2.124e+00   4.35   25.085    0.283   25.026
OBS:  56288.109  i NULL   1.896e+01   3.085e+00   6.15   24.305    0.193   24.099
OBS:  56288.141  z NULL   2.225e+01   2.620e+00   8.49   24.132    0.137   23.986
OBS:  56289.227  g NULL  -6.525e+00   6.492e+00  -1.01  128.000    0.000   27.540
OBS:  56289.242  r NULL   7.006e+00   2.707e+00   2.59   25.386    0.531   25.110
OBS:  56289.258  i NULL   2.501e+01   5.109e+00   4.90   24.005    0.248   24.160
OBS:  56292.035  z NULL   1.983e+01   2.098e+00   9.45   24.257    0.122   24.118
OBS:  56292.141  g NULL   5.178e+00   3.056e+00   1.69   25.715    0.968   27.652
OBS:  56292.156  r NULL   7.063e+00   1.744e+00   4.05   25.378    0.308   25.336
OBS:  56292.172  i NULL   1.986e+01   2.685e+00   7.40   24.255    0.158   24.325
OBS:  56303.039  g NULL   2.379e-01   1.371e+00   0.17   29.059   98.941   30.927
OBS:  56303.051  r NULL   5.120e+00   9.074e-01   5.64   25.727    0.211   26.277
OBS:  56303.070  i NULL   1.105e+01   1.433e+00   7.71   24.892    0.150   25.046
OBS:  56303.094  z NULL   1.272e+01   2.224e+00   5.72   24.738    0.209   24.504
OBS:  56311.043  g NULL   6.668e-03   2.670e+00   0.00   32.940   95.060   29.109
OBS:  56311.055  r NULL   3.399e+00   1.498e+00   2.27   26.172    0.631   26.697
OBS:  56311.074  i NULL   6.794e+00   2.393e+00   2.84   25.420    0.471   25.495
OBS:  56311.098  z NULL   1.485e+01   2.451e+00   6.06   24.571    0.195   24.817
OBS:  56317.125  g NULL  -1.113e+00   4.216e+00  -0.26  128.000    0.000   28.967
OBS:  56317.141  r NULL   1.045e+00   1.860e+00   0.56   27.452  100.548   26.986
OBS:  56318.109  i NULL   3.654e+00   2.782e+00   1.31   26.093    1.557   25.849
OBS:  56318.141  z NULL   5.136e+00   2.978e+00   1.72   25.723    0.943   25.099
OBS:  56321.090  g NULL  -8.351e-01   6.627e+00  -0.13  128.000    0.000   29.219
OBS:  56321.098  r NULL   3.687e+00   2.889e+00   1.28   26.083    1.660   27.243
OBS:  56321.109  i NULL   9.384e+00   3.407e+00   2.75   25.069    0.489   26.000
OBS:  56321.141  z NULL   8.001e+00   2.962e+00   2.70   25.242    0.502   25.208
OBS:  56332.039  g NULL  -1.024e-02   1.459e+00  -0.01  128.000    0.000   29.043
OBS:  56332.051  r NULL   1.734e+00   9.751e-01   1.78   26.902    0.897   27.555
OBS:  56332.070  i NULL   2.988e+00   1.584e+00   1.89   26.312    0.820   26.359
OBS:  56332.094  z NULL   8.399e+00   2.582e+00   3.25   25.189    0.398   25.566
OBS:  56340.043  g NULL  -6.624e-02   2.749e+00  -0.02  128.000    0.000   29.071
OBS:  56340.055  r NULL   2.180e+00   1.647e+00   1.32   26.654    1.530   27.616
OBS:  56340.074  i NULL  -4.801e-01   2.720e+00  -0.18  128.000    0.000   26.495
OBS:  56340.098  z NULL   7.396e+00   2.984e+00   2.48   25.328    0.560   25.767
OBS:  56348.055  g NULL   1.375e+00   3.249e+00   0.42   27.154  100.846   29.196
OBS:  56348.070  r NULL  -1.954e+00   2.099e+00  -0.93  128.000    0.000   27.697
OBS:  56349.004  i NULL   1.133e+00   2.353e+00   0.48   27.365  100.635   26.637
OBS:  56349.027  z NULL   4.328e+00   2.428e+00   1.78   25.909    0.894   25.959
OBS:  56350.043  g NULL  -4.600e-01   3.835e+00  -0.12  128.000    0.000   29.216
OBS:  56350.055  r NULL  -6.974e-01   1.814e+00  -0.38  128.000    0.000   27.735
OBS:  56350.070  i NULL   5.147e-01   3.159e+00   0.16   28.221   99.779   26.660
OBS:  56350.098  z NULL   6.938e-01   4.860e+00   0.14   27.897  100.103   25.982
OBS:  56351.043  g NULL   6.312e+00   3.352e+00   1.88   25.500    0.822   29.225
OBS:  56351.055  r NULL   4.864e+00   1.763e+00   2.76   25.783    0.488   27.756
OBS:  56351.070  i NULL   5.755e+00   3.060e+00   1.88   25.600    0.823   26.683
OBS:  56351.098  z NULL   1.171e+01   4.785e+00   2.45   24.828    0.569   26.003
END: 
