SURVEY: DES   
SNID:   777334   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.40066 +- 0.03200  (Helio, z_best) 
REDSHIFT_FINAL:   0.40066 +- 0.03200  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15245 
HOST_GALAXY_PHOTO-Z:   0.4007  +- 0.0320  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      24   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-014599  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3929  
SIM_HOSTLIB_TRUEZ:  0.3900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15245  
SIM_DLMU:      41.638321  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0737   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.33  23.41  23.46  23.13  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56167.761719  days 
SIM_SALT2x0:   2.211e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     7.52   days 
SIM_TRESTMAX:    67.15   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56166.516  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 79 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   2.151e+01   1.051e+01   2.05   24.168    0.728   24.060
OBS:  56178.250  r NULL   3.811e+01   7.884e+00   4.83   23.547    0.251   23.706
OBS:  56178.266  i NULL   4.228e+01   9.352e+00   4.52   23.435    0.271   23.650
OBS:  56179.211  z NULL   4.957e+01   5.415e+00   9.15   23.262    0.126   23.255
OBS:  56180.219  g NULL   1.520e+01   3.277e+00   4.64   24.545    0.265   24.191
OBS:  56180.234  r NULL   3.039e+01   2.519e+00  12.06   23.793    0.094   23.742
OBS:  56180.250  i NULL   4.211e+01   4.397e+00   9.58   23.439    0.119   23.664
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.191  z NULL   2.313e+01   2.733e+01   0.85   24.090  103.910   23.340
OBS:  56188.340  g NULL   2.676e+01   2.562e+01   1.04   23.931    3.419   24.725
OBS:  56188.355  r NULL   2.675e+01   4.207e+00   6.36   23.932    0.186   23.887
OBS:  56189.195  i NULL   4.578e+00   3.097e+01   0.15   25.848  102.152   23.726
OBS:  56194.215  g NULL   9.608e+00   4.787e+00   2.01   25.043    0.749   25.126
OBS:  56194.223  r NULL   2.142e+01   5.441e+00   3.94   24.173    0.319   23.994
OBS:  56194.227  z NULL   5.790e+01   6.639e+00   8.72   23.093    0.131   23.406
OBS:  56200.234  i NULL   2.992e+01   1.200e+01   2.49   23.810    0.557   23.816
OBS:  56208.160  g NULL   8.854e+00   2.988e+00   2.96   25.132    0.446   26.033
OBS:  56208.176  r NULL   1.925e+01   2.474e+00   7.78   24.289    0.149   24.256
OBS:  56208.191  z NULL   3.161e+01   4.980e+00   6.35   23.751    0.187   23.552
OBS:  56210.156  i NULL   3.800e+01   7.068e+00   5.38   23.551    0.223   23.900
OBS:  56216.164  g NULL  -5.225e+00   2.696e+00  -1.94  128.000    0.000   26.543
OBS:  56216.176  r NULL   1.788e+01   2.081e+00   8.59   24.369    0.134   24.416
OBS:  56216.191  z NULL   3.154e+01   4.095e+00   7.70   23.753    0.151   23.638
OBS:  56219.211  i NULL   2.177e+01   3.032e+00   7.18   24.156    0.163   23.992
OBS:  56221.148  g NULL  -2.327e+01   1.592e+01  -1.46  128.000    0.000   26.862
