SURVEY: DES   
SNID:   779270   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   1.04595 +- 0.05490  (Helio, z_best) 
REDSHIFT_FINAL:   1.04595 +- 0.05490  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18938 
HOST_GALAXY_PHOTO-Z:   1.0460  +- 0.0549  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  1.0136  
SIM_HOSTLIB_TRUEZ:  1.0100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18938  
SIM_DLMU:      44.136383  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0633   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   30.18  25.79  24.37  24.30  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56305.281250  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.014e-06   
SIM_SALT2x1:   -1.4050   
SIM_SALT2c:    -0.0159   
SIM_SALT2mB:   24.8750   
SIM_MAGDIM:    1.222  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.23   days 
SIM_TRESTMAX:    22.72   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56304.230  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56228.297  g NULL   2.897e+00   1.503e+01   0.19   99.000    5.000   98.842
OBS:  56228.305  r NULL  -5.931e-01   5.492e+00  -0.11   99.000    5.000   99.112
OBS:  56228.312  i NULL  -7.817e+00   9.413e+00  -0.83   99.000    5.000   99.151
OBS:  56228.320  z NULL  -6.349e-01   5.800e+00  -0.11   99.000    5.000   99.137
OBS:  56229.320  g NULL   9.287e+00   1.406e+01   0.66   99.000    5.000   98.842
OBS:  56229.332  r NULL   6.534e+00   7.252e+00   0.90   99.000    5.000   99.112
OBS:  56229.348  i NULL   7.158e+00   1.295e+01   0.55   99.000    5.000   99.151
OBS:  56230.070  z NULL  -1.014e+01   7.136e+00  -1.42   99.000    5.000   99.137
OBS:  56230.316  g NULL   1.459e+00   1.368e+01   0.11   99.000    5.000   98.842
OBS:  56230.328  r NULL  -1.088e+01   6.675e+00  -1.63   99.000    5.000   99.112
OBS:  56230.344  i NULL   1.647e+01   1.239e+01   1.33   99.000    5.000   99.151
OBS:  56231.301  g NULL   2.670e+00   1.166e+01   0.23   99.000    5.000   98.842
OBS:  56231.316  r NULL  -6.723e+00   6.019e+00  -1.12   99.000    5.000   99.112
OBS:  56231.328  i NULL  -8.950e+00   1.047e+01  -0.85   99.000    5.000   99.151
OBS:  56231.344  z NULL  -4.594e+00   5.790e+00  -0.79   99.000    5.000   99.137
OBS:  56235.297  g NULL   4.621e+00   9.637e+00   0.48   99.000    5.000   98.842
OBS:  56235.312  r NULL  -3.375e+00   4.660e+00  -0.72   99.000    5.000   99.112
OBS:  56235.324  i NULL  -7.797e+00   6.642e+00  -1.17   99.000    5.000   99.151
OBS:  56235.340  z NULL   3.129e+00   6.749e+00   0.46   99.000    5.000   99.137
OBS:  56236.312  g NULL  -3.986e+00   7.809e+00  -0.51   99.000    5.000   98.842
OBS:  56236.324  r NULL   1.913e+00   3.728e+00   0.51   99.000    5.000   99.112
OBS:  56236.340  i NULL  -1.451e+00   6.080e+00  -0.24   99.000    5.000   99.151
OBS:  56237.074  z NULL  -4.302e+00   7.011e+00  -0.61   99.000    5.000   99.137
OBS:  56237.340  g NULL   3.125e+01   1.183e+01   2.64   99.000    5.000   98.842
OBS:  56238.051  r NULL   3.789e+00   4.311e+00   0.88   99.000    5.000   99.112
OBS:  56238.059  i NULL  -6.571e+00   5.467e+00  -1.20   99.000    5.000   99.151
OBS:  56238.340  g NULL   3.869e+00   1.062e+01   0.36   99.000    5.000   98.842
