SURVEY: DES   
SNID:   779829   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.50068 +- 0.02230  (Helio, z_best) 
REDSHIFT_FINAL:   0.50068 +- 0.02230  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13348 
HOST_GALAXY_PHOTO-Z:   0.5007  +- 0.0223  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      5   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = CSP-2004fe  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.5035  
SIM_HOSTLIB_TRUEZ:  0.5000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13348  
SIM_DLMU:      42.279266  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0147   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.63  24.75  24.58  24.34  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56346.117188  days 
SIM_SALT2x0:   1.225e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.21   days 
SIM_TRESTMAX:     3.25   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56346.406  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 33 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56287.160  i NULL   4.622e+00   4.986e+00   0.93   99.000    5.000   98.976
OBS:  56287.191  z NULL  -1.045e+01   3.899e+00  -2.68   99.000    5.000   99.038
OBS:  56289.035  g NULL   1.889e+01   1.190e+01   1.59   99.000    5.000   98.984
OBS:  56289.043  r NULL   3.948e+00   4.183e+00   0.94   99.000    5.000   98.912
OBS:  56289.152  i NULL   2.912e+00   4.327e+00   0.67   99.000    5.000   98.976
OBS:  56289.176  z NULL   5.258e+00   4.465e+00   1.18   99.000    5.000   99.038
OBS:  56297.039  g NULL  -9.058e-01   1.580e+00  -0.57   99.000    5.000   98.984
OBS:  56297.047  r NULL   1.905e+00   1.219e+00   1.56   99.000    5.000   98.912
OBS:  56297.062  i NULL   1.023e+00   1.862e+00   0.55   99.000    5.000   98.976
OBS:  56297.090  z NULL   1.087e+00   2.119e+00   0.51   99.000    5.000   99.038
OBS:  56305.094  g NULL   5.927e-01   1.644e+00   0.36   28.068   99.932   40.623
OBS:  56305.102  r NULL   4.079e-01   1.300e+00   0.31   28.474   99.526   40.883
OBS:  56305.113  i NULL  -1.589e+00   2.190e+00  -0.73  128.000    0.000   41.169
OBS:  56306.043  z NULL  -1.647e+00   2.710e+00  -0.61  128.000    0.000   39.744
OBS:  56313.047  g NULL  -1.250e+00   5.960e+00  -0.21  128.000    0.000   32.152
OBS:  56313.055  r NULL  -8.998e-01   2.524e+00  -0.36  128.000    0.000   32.233
OBS:  56313.090  i NULL   5.433e-01   3.078e+00   0.18   28.162   99.838   32.385
OBS:  56317.066  z NULL   6.966e-02   4.249e+00   0.02   30.392   97.608   29.618
OBS:  56321.035  g NULL   1.488e+00   2.914e+00   0.51   27.068  100.932   28.597
OBS:  56321.043  r NULL   1.285e+00   1.365e+00   0.94   27.228  100.772   27.890
OBS:  56321.066  i NULL   2.587e+00   3.216e+00   0.80   26.468  101.532   27.677
OBS:  56326.039  z NULL   5.511e+00   2.609e+00   2.11   25.647    0.696   26.039
OBS:  56333.043  g NULL   2.923e+00   1.822e+00   1.60   26.335    1.060   26.252
OBS:  56333.051  r NULL   8.921e+00   1.399e+00   6.38   25.124    0.185   25.016
OBS:  56334.043  i NULL   1.278e+01   2.193e+00   5.83   24.734    0.204   24.826
OBS:  56335.043  z NULL   8.095e+00   3.385e+00   2.39   25.230    0.589   24.790
OBS:  56344.992  g NULL   2.596e-01   4.329e+00   0.06   28.964   99.036   26.441
OBS:  56345.000  r NULL   1.174e+01   1.880e+00   6.25   24.826    0.190   24.680
OBS:  56345.016  i NULL   1.707e+01   3.468e+00   4.92   24.420    0.246   24.569
OBS:  56345.992  z NULL   1.420e+01   3.710e+00   3.83   24.619    0.329   24.341
OBS:  56349.996  g NULL  -3.073e-01   3.964e+00  -0.08  128.000    0.000   27.358
OBS:  56350.004  r NULL   9.997e+00   2.069e+00   4.83   25.000    0.252   25.066
OBS:  56350.996  i NULL   1.249e+01   3.032e+00   4.12   24.759    0.302   24.726
END: 
