SURVEY: DES   
SNID:   782367   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.84882 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.84882 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.84882 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10138 
HOST_GALAXY_PHOTO-Z:   0.8634  +- 0.0158  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.8439  
SIM_HOSTLIB_TRUEZ:  0.8400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10138  
SIM_DLMU:      43.645374  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0252   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.72  24.18  23.28  23.62  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56164.472656  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.760e-06   
SIM_SALT2x1:   -2.1840   
SIM_SALT2c:    -0.1011   
SIM_SALT2mB:   24.1970   
SIM_MAGDIM:    1.035  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     6.89   days 
SIM_TRESTMAX:    67.63   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56164.445  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -2.714e+00   4.787e+00  -0.57  128.000    0.000   27.596
OBS:  56177.188  r NULL   1.621e+01   5.344e+00   3.03   24.476    0.434   24.975
OBS:  56177.203  i NULL   3.996e+01   5.490e+00   7.28   23.496    0.160   23.748
OBS:  56177.234  z NULL   2.830e+01   4.722e+00   5.99   23.871    0.198   23.784
OBS:  56179.172  g NULL   3.945e+00   2.240e+00   1.76   26.010    0.910   27.714
OBS:  56179.312  r NULL   9.862e+00   3.038e+00   3.25   25.015    0.400   25.107
OBS:  56179.328  i NULL   3.092e+01   4.244e+00   7.28   23.775    0.160   23.889
OBS:  56179.359  z NULL   2.326e+01   3.546e+00   6.56   24.083    0.180   23.847
OBS:  56187.156  g NULL  -1.565e-01   1.703e+00  -0.09  128.000    0.000   27.959
OBS:  56187.172  r NULL   5.265e+00   1.258e+00   4.18   25.697    0.296   25.728
OBS:  56187.188  i NULL   1.432e+01   1.921e+00   7.45   24.610    0.157   24.536
OBS:  56187.211  z NULL   1.973e+01   2.209e+00   8.93   24.262    0.129   24.171
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.148  g NULL   3.659e+00   9.761e+00   0.37   26.092  101.908   28.094
OBS:  56189.160  r NULL  -2.294e-01   3.878e+00  -0.06  128.000    0.000   25.928
OBS:  56189.176  i NULL   1.609e+01   8.079e+00   1.99   24.484    0.757   24.718
OBS:  56189.203  z NULL   1.881e+01   4.706e+00   4.00   24.314    0.313   24.277
OBS:  56194.121  g NULL   6.154e+00   3.773e+00   1.63   25.527    1.030   28.396
OBS:  56194.129  r NULL   1.039e+00   2.350e+00   0.44   27.459  100.541   26.485
OBS:  56200.156  i NULL  -1.906e+00   8.066e+00  -0.24  128.000    0.000   25.663
OBS:  56200.180  z NULL   8.790e+00   5.638e+00   1.56   25.140    1.114   24.999
OBS:  56207.156  g NULL   9.077e-01   2.280e+00   0.40   27.605  100.395   31.098
OBS:  56207.172  r NULL   2.248e+00   1.604e+00   1.40   26.621    1.357   27.360
OBS:  56209.191  i NULL   3.104e+00   2.141e+00   1.45   26.270    1.271   26.092
OBS:  56209.215  z NULL   4.090e+00   2.202e+00   1.86   25.971    0.841   25.409
OBS:  56215.164  g NULL   7.667e-01   1.595e+00   0.48   99.000    5.000   98.744
