SURVEY: DES   
SNID:   787398   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.94964 +- 0.03300  (Helio, z_best) 
REDSHIFT_FINAL:   0.94964 +- 0.03300  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11621 
HOST_GALAXY_PHOTO-Z:   0.9496  +- 0.0330  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.8935  
SIM_HOSTLIB_TRUEZ:  0.8900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11621  
SIM_DLMU:      43.798344  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0228   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   99.00  25.69  24.21  24.08  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56189.960938  days 
SIM_SALT2x0:   3.025e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.22   days 
SIM_TRESTMAX:    68.69   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56191.246  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   6.277e+00   9.405e+00   0.67   99.000    5.000   98.995
OBS:  56178.195  r NULL   6.180e+00   7.177e+00   0.86   25.523  102.477   24.921
OBS:  56178.203  i NULL   2.491e+01   6.857e+00   3.63   24.009    0.350   23.935
OBS:  56178.211  z NULL   4.456e+01   7.965e+00   5.59   23.378    0.213   23.999
OBS:  56180.172  g NULL  -2.216e+00   4.013e+00  -0.55   99.000    5.000   98.995
OBS:  56180.188  r NULL   7.290e+00   3.184e+00   2.29   25.343    0.624   24.992
OBS:  56180.195  i NULL   2.411e+01   4.430e+00   5.44   24.044    0.221   23.908
OBS:  56180.203  z NULL   2.778e+01   4.994e+00   5.56   23.891    0.215   24.001
OBS:  56188.148  g NULL  -3.333e+01   1.796e+01  -1.86   99.000    5.000   98.995
OBS:  56188.289  r NULL   1.240e+01   4.007e+00   3.09   24.766    0.423   25.537
OBS:  56188.297  i NULL   1.644e+01   8.149e+00   2.02   24.460    0.744   24.120
OBS:  56188.312  z NULL   2.621e+01   5.420e+00   4.84   23.954    0.251   24.060
OBS:  56194.145  g NULL   3.809e+00   4.679e+00   0.81   99.000    5.000   98.995
OBS:  56194.156  r NULL   5.824e+00   2.757e+00   2.11   25.587    0.696   26.108
OBS:  56194.172  i NULL   1.475e+01   4.646e+00   3.17   24.578    0.411   24.479
OBS:  56194.188  z NULL   2.243e+01   4.487e+00   5.00   24.123    0.242   24.155
OBS:  56207.188  g NULL  -4.352e+00   4.366e+00  -1.00   99.000    5.000   98.995
OBS:  56207.195  r NULL   4.884e-01   3.460e+00   0.14   28.278   99.722   27.383
OBS:  56207.203  i NULL  -1.666e+00   6.248e+00  -0.27  128.000    0.000   25.622
OBS:  56207.219  z NULL   1.348e+01   5.959e+00   2.26   24.676    0.633   24.689
OBS:  56215.195  g NULL   4.460e+00   2.682e+00   1.66   99.000    5.000   98.995
OBS:  56215.203  r NULL   1.956e+00   2.172e+00   0.90   26.772  101.228   28.079
OBS:  56215.211  i NULL   1.023e+01   2.642e+00   3.87   24.976    0.324   26.247
OBS:  56215.227  z NULL   8.289e+00   3.432e+00   2.42   25.204    0.580   25.088
OBS:  56221.090  g NULL  -1.050e+01   6.271e+00  -1.67   99.000    5.000   98.995
OBS:  56221.105  r NULL   6.145e+00   5.080e+00   1.21   25.529    1.901   28.522
OBS:  56221.113  i NULL  -6.516e-01   5.577e+00  -0.12  128.000    0.000   26.564
OBS:  56221.117  z NULL   6.959e+00   7.707e+00   0.90   25.394  102.606   25.376
OBS:  56222.270  g NULL  -7.762e-01   7.729e+00  -0.10   99.000    5.000   98.995
OBS:  56222.273  r NULL   1.636e+00   5.695e+00   0.29   26.966  101.034   28.597
