SURVEY: DES   
SNID:   791477   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.64511 +- 0.02450  (Helio, z_best) 
REDSHIFT_FINAL:   0.64511 +- 0.02450  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16334 
HOST_GALAXY_PHOTO-Z:   0.6451  +- 0.0245  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      3   (non1a index) 
SIM_COMMENT:  SN Type = IIP , MODEL = NUGENT2P  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6499  
SIM_HOSTLIB_TRUEZ:  0.6500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16334  
SIM_DLMU:      42.950020  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0698   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.17  24.81  24.17  24.07  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56187.527344  days 
SIM_SALT2x0:   6.607e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -5.63   days 
SIM_TRESTMAX:    63.44   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56188.887  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 95 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   3.257e+00   1.048e+01   0.31   26.218  101.782   26.566
OBS:  56178.250  r NULL   2.182e+01   7.858e+00   2.78   24.153    0.484   24.305
OBS:  56178.266  i NULL   5.566e+01   9.376e+00   5.94   23.136    0.199   23.761
OBS:  56179.211  z NULL   2.918e+01   5.360e+00   5.44   23.837    0.220   23.824
OBS:  56180.219  g NULL   8.305e-01   3.211e+00   0.26   27.702  100.298   26.649
OBS:  56180.234  r NULL   1.589e+01   2.459e+00   6.46   24.497    0.183   24.406
OBS:  56180.250  i NULL   2.589e+01   4.351e+00   5.95   23.967    0.200   23.856
OBS:  56188.191  z NULL   1.267e+01   2.733e+01   0.46   24.743  103.257   24.068
OBS:  56188.340  g NULL  -6.460e+00   2.558e+01  -0.25  128.000    0.000   27.279
OBS:  56188.355  r NULL   1.011e+01   4.167e+00   2.43   24.988    0.577   24.836
OBS:  56189.195  i NULL   1.203e+01   3.096e+01   0.39   24.799  103.201   24.194
OBS:  56194.215  g NULL   9.396e-01   4.765e+00   0.20   27.568  100.432   28.257
OBS:  56194.223  r NULL   8.602e+00   5.412e+00   1.59   25.164    1.077   25.040
OBS:  56194.227  z NULL   2.991e+01   6.570e+00   4.55   23.811    0.269   24.105
OBS:  56200.234  i NULL   1.421e+01   1.199e+01   1.19   24.619    2.016   24.391
OBS:  56208.160  g NULL   8.222e+00   2.976e+00   2.76   25.213    0.487   30.815
OBS:  56208.176  r NULL   5.497e+00   2.436e+00   2.26   25.650    0.636   25.539
OBS:  56208.191  z NULL   1.641e+01   4.951e+00   3.32   24.462    0.390   24.312
OBS:  56210.156  i NULL   3.093e+01   7.052e+00   4.39   23.774    0.280   24.635
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56216.164  g NULL   2.079e+00   2.687e+00   0.77   26.705  101.295   28.719
OBS:  56216.176  r NULL   6.920e+00   2.045e+00   3.38   25.400    0.380   25.757
OBS:  56216.191  z NULL   1.427e+01   4.057e+00   3.52   24.614    0.363   24.494
