SURVEY: DES   
SNID:   792483   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.75525 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.75525 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.75525 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18496 
HOST_GALAXY_PHOTO-Z:   0.7461  +- 0.0160  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7538  
SIM_HOSTLIB_TRUEZ:  0.7500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18496  
SIM_DLMU:      43.344070  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0731   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.91  23.45  23.10  23.23  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56357.675781  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   6.491e-06   
SIM_SALT2x1:    0.7301   
SIM_SALT2c:    -0.0920   
SIM_SALT2mB:   23.6042   
SIM_STRETCH:    1.730  
SIM_MAGDIM:    0.743  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.61   days 
SIM_TRESTMAX:    -3.79   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56357.793  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56288.199  g NULL   7.143e+00   1.179e+01   0.61   99.000    5.000   98.609
OBS:  56288.215  r NULL  -4.331e+00   6.181e+00  -0.70   99.000    5.000   99.027
OBS:  56289.109  i NULL  -5.992e+00   7.080e+00  -0.85   99.000    5.000   99.087
OBS:  56289.125  z NULL   3.492e+00   5.422e+00   0.64   99.000    5.000   99.043
OBS:  56292.098  g NULL  -3.033e-01   1.165e+01  -0.03   99.000    5.000   98.609
OBS:  56292.102  r NULL   3.137e+00   4.826e+00   0.65   99.000    5.000   99.027
OBS:  56292.191  i NULL   4.857e+00   5.600e+00   0.87   99.000    5.000   99.087
OBS:  56292.199  z NULL  -6.719e-01   5.158e+00  -0.13   99.000    5.000   99.043
OBS:  56304.051  g NULL   3.344e-01   2.479e+00   0.13   99.000    5.000   98.609
OBS:  56304.055  r NULL   6.688e-01   1.657e+00   0.40   99.000    5.000   99.027
OBS:  56304.070  i NULL   2.164e-01   2.506e+00   0.09   99.000    5.000   99.087
OBS:  56304.086  z NULL  -2.157e+00   3.934e+00  -0.55   99.000    5.000   99.043
OBS:  56312.055  g NULL  -3.241e+00   7.568e+00  -0.43   99.000    5.000   98.609
OBS:  56312.066  r NULL  -9.383e-01   2.962e+00  -0.32   99.000    5.000   99.027
OBS:  56312.090  i NULL  -4.000e-01   5.020e+00  -0.08   99.000    5.000   99.087
OBS:  56312.113  z NULL  -1.467e+00   5.428e+00  -0.27   99.000    5.000   99.043
OBS:  56320.043  g NULL   7.888e+00   6.170e+00   1.28   99.000    5.000   98.609
OBS:  56320.051  r NULL   3.495e-01   2.489e+00   0.14   99.000    5.000   99.027
OBS:  56320.059  i NULL   1.628e+00   3.653e+00   0.45   99.000    5.000   99.087
OBS:  56320.070  z NULL  -2.170e+00   4.394e+00  -0.49   99.000    5.000   99.043
OBS:  56328.047  g NULL   7.187e+00   3.356e+00   2.14   25.359    0.682   27.748
OBS:  56328.055  r NULL   2.468e+00   2.405e+00   1.03   26.519    3.973   26.744
OBS:  56328.070  i NULL   5.004e+00   4.048e+00   1.24   25.752    1.796   26.363
OBS:  56328.086  z NULL  -9.081e+00   6.784e+00  -1.34  128.000    0.000   26.462
OBS:  56336.062  g NULL   1.090e+01   3.720e+00   2.93   24.906    0.452   25.743
OBS:  56336.082  r NULL   1.023e+01   3.024e+00   3.38   24.975    0.381   24.688
OBS:  56337.062  i NULL   2.306e+01   2.973e+00   7.76   24.093    0.149   24.247
OBS:  56337.078  z NULL   1.692e+01   3.764e+00   4.50   24.429    0.273   24.360
OBS:  56345.039  g NULL   1.624e+01   7.162e+00   2.27   24.474    0.631   24.762
OBS:  56345.055  r NULL   3.528e+01   3.851e+00   9.16   23.631    0.126   23.577
OBS:  56346.055  i NULL   3.765e+01   6.044e+00   6.23   23.561    0.191   23.367
OBS:  56348.027  z NULL   4.644e+01   5.102e+00   9.10   23.333    0.126   23.419
OBS:  56350.023  g NULL   7.297e+00   6.851e+00   1.07   25.342    3.042   24.667
OBS:  56350.027  r NULL   4.769e+01   4.064e+00  11.74   23.304    0.096   23.409
OBS:  56350.035  i NULL   5.275e+01   6.772e+00   7.79   23.194    0.149   23.202
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56351.023  z NULL   5.876e+01   6.201e+00   9.48   23.077    0.120   23.324
END: 
