SURVEY: DES   
SNID:   793782   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.77187 +- 0.02520  (Helio, z_best) 
REDSHIFT_FINAL:   0.77187 +- 0.02520  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17894 
HOST_GALAXY_PHOTO-Z:   0.7719  +- 0.0252  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7854  
SIM_HOSTLIB_TRUEZ:  0.7900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17894  
SIM_DLMU:      43.453316  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0202   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.110  mag  (host extinction at 5510 A)
SIM_RV:         2.465   (CCM89 extinction parameter) 
SIM_PEAKMAG:   26.32  24.20  23.51  23.71  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56358.843750  days 
SIM_DELTA:      0.356  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.644  
SIM_MAGDIM:    0.488  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.10   days 
SIM_TRESTMAX:    -4.40   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56360.285  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 31 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56289.035  g NULL  -1.988e+01   1.190e+01  -1.67   99.000    5.000   99.000
OBS:  56289.043  r NULL   5.696e+00   4.184e+00   1.36   99.000    5.000   99.000
OBS:  56289.152  i NULL  -4.517e+00   4.328e+00  -1.04   99.000    5.000   99.000
OBS:  56289.176  z NULL   5.339e+00   4.465e+00   1.20   99.000    5.000   99.000
OBS:  56297.039  g NULL  -2.638e+00   1.581e+00  -1.67   99.000    5.000   99.000
OBS:  56297.047  r NULL   1.802e-01   1.219e+00   0.15   99.000    5.000   99.000
OBS:  56297.062  i NULL  -2.383e+00   1.862e+00  -1.28   99.000    5.000   99.000
OBS:  56297.090  z NULL  -2.350e+00   2.119e+00  -1.11   99.000    5.000   99.000
OBS:  56305.094  g NULL  -7.076e-01   1.644e+00  -0.43   99.000    5.000   99.000
OBS:  56305.102  r NULL   2.008e+00   1.301e+00   1.54   99.000    5.000   99.000
OBS:  56305.113  i NULL  -2.934e+00   2.191e+00  -1.34   99.000    5.000   99.000
OBS:  56306.043  z NULL   1.145e-01   2.710e+00   0.04   99.000    5.000   99.000
OBS:  56313.047  g NULL  -1.177e+01   5.964e+00  -1.97   99.000    5.000   99.000
OBS:  56313.055  r NULL  -3.032e+00   2.524e+00  -1.20   99.000    5.000   99.000
OBS:  56313.090  i NULL   3.563e+00   3.079e+00   1.16   99.000    5.000   99.000
OBS:  56317.066  z NULL   6.118e+00   4.251e+00   1.44   99.000    5.000   99.000
OBS:  56321.035  g NULL   3.588e+00   2.914e+00   1.23   99.000    5.000   99.000
OBS:  56321.043  r NULL  -1.280e-01   1.365e+00  -0.09   99.000    5.000   99.000
OBS:  56321.066  i NULL  -4.156e+00   3.216e+00  -1.29   99.000    5.000   99.000
OBS:  56326.039  z NULL   1.540e+00   2.606e+00   0.59   27.031  100.969   29.795
OBS:  56333.043  g NULL  -1.658e+00   1.816e+00  -0.91  128.000    0.000   29.650
OBS:  56333.051  r NULL  -1.985e+00   1.384e+00  -1.43  128.000    0.000   27.663
OBS:  56334.043  i NULL   4.366e+00   2.178e+00   2.00   25.900    0.749   26.957
OBS:  56335.043  z NULL   1.453e+01   3.391e+00   4.29   24.594    0.288   26.515
OBS:  56344.992  g NULL   6.365e-01   4.327e+00   0.15   27.991  100.009   27.282
OBS:  56345.000  r NULL   9.715e+00   1.874e+00   5.18   25.031    0.233   24.933
OBS:  56345.016  i NULL   2.040e+01   3.475e+00   5.87   24.226    0.203   24.245
OBS:  56345.992  z NULL   1.962e+01   3.718e+00   5.28   24.268    0.228   24.301
OBS:  56349.996  g NULL   6.794e+00   3.967e+00   1.71   25.420    0.951   26.416
OBS:  56350.004  r NULL   1.595e+01   2.086e+00   7.65   24.493    0.153   24.372
OBS:  56350.996  i NULL   3.660e+01   3.104e+00  11.79   23.591    0.096   23.691
END: 
