SURVEY: DES   
SNID:   796128   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.64886 +- 0.01280  (Helio, z_best) 
REDSHIFT_FINAL:   0.64886 +- 0.01280  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15331 
HOST_GALAXY_PHOTO-Z:   0.6489  +- 0.0128  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6591  
SIM_HOSTLIB_TRUEZ:  0.6600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15331  
SIM_DLMU:      42.987038  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0879   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.29  23.61  23.46  23.39  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56172.878906  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.290e-06   
SIM_SALT2x1:   -0.0142   
SIM_SALT2c:     0.0634   
SIM_SALT2mB:   23.8264   
SIM_STRETCH:    0.986  
SIM_MAGDIM:    1.322  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     3.23   days 
SIM_TRESTMAX:    69.52   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56173.070  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 89 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL  -5.575e+00   1.048e+01  -0.53  128.000    0.000   25.640
OBS:  56178.250  r NULL   3.014e+01   7.872e+00   3.83   23.802    0.329   23.752
OBS:  56178.266  i NULL   2.948e+01   9.336e+00   3.16   23.826    0.414   23.537
OBS:  56179.211  z NULL   4.576e+01   5.402e+00   8.47   23.349    0.136   23.401
OBS:  56180.219  g NULL   4.622e+00   3.220e+00   1.44   25.838    1.295   25.796
OBS:  56180.234  r NULL   2.892e+01   2.511e+00  11.52   23.847    0.099   23.836
OBS:  56180.250  i NULL   3.535e+01   4.378e+00   8.08   23.629    0.144   23.584
OBS:  56188.191  z NULL   3.655e+01   2.734e+01   1.34   23.593    1.496   23.608
OBS:  56188.340  g NULL   3.856e+01   2.559e+01   1.51   23.535    1.182   26.426
OBS:  56188.355  r NULL   1.878e+01   4.184e+00   4.49   24.316    0.274   24.296
OBS:  56189.195  i NULL   1.238e+01   3.096e+01   0.40   24.768  103.232   23.916
OBS:  56194.215  g NULL  -4.099e+00   4.768e+00  -0.86  128.000    0.000   26.831
OBS:  56194.223  r NULL   1.155e+01   5.418e+00   2.13   24.843    0.688   24.706
OBS:  56194.227  z NULL   3.114e+01   6.573e+00   4.74   23.767    0.257   23.822
OBS:  56200.234  i NULL   1.701e+01   1.199e+01   1.42   24.423    1.325   24.488
OBS:  56208.160  g NULL   4.428e+00   2.975e+00   1.49   25.884    1.209   28.191
OBS:  56208.176  r NULL   6.117e+00   2.436e+00   2.51   25.534    0.551   25.792
OBS:  56208.191  z NULL   2.064e+01   4.957e+00   4.16   24.213    0.298   24.230
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56210.156  i NULL   2.241e+01   7.040e+00   3.18   24.124    0.409   25.032
OBS:  56216.164  g NULL  -3.786e+00   2.688e+00  -1.41  128.000    0.000   28.710
OBS:  56216.176  r NULL   1.938e+00   2.039e+00   0.95   26.781  101.219   26.293
OBS:  56216.191  z NULL   1.370e+01   4.057e+00   3.38   24.659    0.382   24.439
OBS:  56219.211  i NULL   4.694e+00   2.993e+00   1.57   25.821    1.103   25.483
OBS:  56221.148  g NULL   8.090e+00   1.591e+01   0.51   25.230  102.770   29.160
OBS:  56221.160  r NULL   5.174e+00   6.050e+00   0.86   25.715  102.285   26.486
