SURVEY: DES   
SNID:   801453   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.70894 +- 0.01430  (Helio, z_best) 
REDSHIFT_FINAL:   0.70894 +- 0.01430  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16891 
HOST_GALAXY_PHOTO-Z:   0.7089  +- 0.0143  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6983  
SIM_HOSTLIB_TRUEZ:  0.7000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16891  
SIM_DLMU:      43.140602  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0300   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.46  23.70  23.39  23.33  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56183.406250  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.550e-06   
SIM_SALT2x1:    0.2458   
SIM_SALT2c:     0.0755   
SIM_SALT2mB:   23.9900   
SIM_STRETCH:    1.246  
SIM_MAGDIM:    1.332  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -3.67   days 
SIM_TRESTMAX:    66.94   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56184.227  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.074e+00   4.792e+00   0.22   27.422  100.578   25.250
OBS:  56177.188  r NULL   3.754e+01   5.385e+00   6.97   23.564    0.168   23.692
OBS:  56177.203  i NULL   4.025e+01   5.492e+00   7.33   23.488    0.159   23.476
OBS:  56177.234  z NULL   4.389e+01   4.764e+00   9.21   23.394    0.125   23.425
OBS:  56179.172  g NULL   9.550e+00   2.255e+00   4.23   25.050    0.292   25.291
OBS:  56179.312  r NULL   3.339e+01   3.104e+00  10.76   23.691    0.106   23.671
OBS:  56179.328  i NULL   4.500e+01   4.290e+00  10.49   23.367    0.109   23.425
OBS:  56179.359  z NULL   5.228e+01   3.653e+00  14.31   23.204    0.078   23.377
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   4.206e+00   1.714e+00   2.45   25.940    0.569   25.680
OBS:  56187.172  r NULL   3.021e+01   1.390e+00  21.74   23.799    0.051   23.815
OBS:  56187.188  i NULL   4.160e+01   2.064e+00  20.16   23.452    0.055   23.426
OBS:  56187.211  z NULL   4.842e+01   2.360e+00  20.51   23.287    0.054   23.319
OBS:  56189.148  g NULL   3.935e+00   9.765e+00   0.40   26.013  101.987   25.825
OBS:  56189.160  r NULL   2.970e+01   3.927e+00   7.56   23.818    0.154   23.892
OBS:  56189.176  i NULL   3.805e+01   8.112e+00   4.69   23.549    0.261   23.462
OBS:  56189.203  z NULL   4.440e+01   4.768e+00   9.31   23.382    0.124   23.330
OBS:  56194.121  g NULL   7.072e+00   3.776e+00   1.87   25.376    0.828   26.283
OBS:  56194.129  r NULL   2.930e+01   2.421e+00  12.10   23.833    0.093   24.133
OBS:  56200.156  i NULL   3.235e+01   8.090e+00   4.00   23.725    0.312   23.830
OBS:  56200.180  z NULL   4.230e+01   5.692e+00   7.43   23.434    0.157   23.585
OBS:  56207.156  g NULL   1.362e+00   2.281e+00   0.60   27.164  100.836   27.239
OBS:  56207.172  r NULL   1.107e+01   1.621e+00   6.83   24.890    0.172   24.984
OBS:  56209.191  i NULL   1.888e+01   2.174e+00   8.68   24.310    0.133   24.294
OBS:  56209.215  z NULL   2.594e+01   2.256e+00  11.50   23.965    0.099   23.917
OBS:  56215.164  g NULL   2.630e+00   1.597e+00   1.65   26.450    1.014   27.867
