SURVEY: DES   
SNID:   801783   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.56612 +- 0.01820  (Helio, z_best) 
REDSHIFT_FINAL:   0.56612 +- 0.01820  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19199 
HOST_GALAXY_PHOTO-Z:   0.5661  +- 0.0182  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      5   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = CSP-2004fe  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.5841  
SIM_HOSTLIB_TRUEZ:  0.5800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19199  
SIM_DLMU:      42.668365  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0102   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.42  25.29  24.95  24.63  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56321.699219  days 
SIM_SALT2x0:   8.564e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.26   days 
SIM_TRESTMAX:    18.56   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56322.418  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 59 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56261.098  g NULL   3.089e+00   8.828e+00   0.35   99.000    5.000   98.954
OBS:  56261.102  r NULL  -6.789e-01   3.394e+00  -0.20   99.000    5.000   98.941
OBS:  56261.125  i NULL   6.614e+00   3.855e+00   1.72   99.000    5.000   98.901
OBS:  56261.156  z NULL  -2.635e+00   3.086e+00  -0.85   99.000    5.000   98.957
OBS:  56273.160  g NULL  -9.025e-01   1.752e+00  -0.52   99.000    5.000   98.954
OBS:  56273.176  r NULL   5.291e-01   1.213e+00   0.44   99.000    5.000   98.941
OBS:  56273.188  i NULL  -1.503e+00   2.024e+00  -0.74   99.000    5.000   98.901
OBS:  56273.219  z NULL  -5.221e-01   2.251e+00  -0.23   99.000    5.000   98.957
OBS:  56281.160  g NULL   8.294e-01   2.074e+00   0.40   27.703  100.297   37.188
OBS:  56281.184  r NULL   9.365e-01   1.273e+00   0.74   27.571  100.429   37.635
OBS:  56281.203  i NULL  -1.075e+00   1.798e+00  -0.60  128.000    0.000   37.798
OBS:  56281.227  z NULL   1.147e+00   2.290e+00   0.50   27.351  100.649   37.864
OBS:  56288.086  g NULL  -1.004e+00   4.849e+00  -0.21  128.000    0.000   31.514
OBS:  56288.094  r NULL  -8.450e-01   2.113e+00  -0.40  128.000    0.000   31.804
OBS:  56288.109  i NULL  -6.515e+00   3.061e+00  -2.13  128.000    0.000   31.856
OBS:  56288.141  z NULL  -1.699e-01   2.584e+00  -0.07  128.000    0.000   31.775
OBS:  56289.227  g NULL   9.208e+00   6.493e+00   1.42   25.090    1.325   30.876
OBS:  56289.242  r NULL   7.417e-01   2.701e+00   0.27   27.824  100.176   31.110
OBS:  56289.258  i NULL  -3.586e-01   5.084e+00  -0.07  128.000    0.000   31.135
OBS:  56292.035  z NULL  -2.273e-01   2.061e+00  -0.11  128.000    0.000   29.312
OBS:  56292.141  g NULL  -3.537e+00   3.054e+00  -1.16  128.000    0.000   29.502
OBS:  56292.156  r NULL  -7.161e-01   1.735e+00  -0.41  128.000    0.000   29.512
