SURVEY: DES   
SNID:   802368   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.44364 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.44364 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.44364 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17174 
HOST_GALAXY_PHOTO-Z:   0.4206  +- 0.0503  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.4358  
SIM_HOSTLIB_TRUEZ:  0.4400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17174  
SIM_DLMU:      41.904949  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0589   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.98  22.79  22.68  22.75  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56280.105469  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   9.896e-06   
SIM_SALT2x1:   -0.5531   
SIM_SALT2c:     0.1705   
SIM_SALT2mB:   23.1464   
SIM_STRETCH:    0.447  
SIM_MAGDIM:    1.724  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.08   days 
SIM_TRESTMAX:    49.39   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56279.156  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56228.297  g NULL   1.101e+01   1.503e+01   0.73   99.000    5.000   98.951
OBS:  56228.305  r NULL   3.668e+00   5.493e+00   0.67   99.000    5.000   99.024
OBS:  56228.312  i NULL   1.258e+01   9.415e+00   1.34   99.000    5.000   99.006
OBS:  56228.320  z NULL  -2.540e+00   5.800e+00  -0.44   99.000    5.000   98.999
OBS:  56229.320  g NULL  -5.399e+00   1.405e+01  -0.38   99.000    5.000   98.951
OBS:  56229.332  r NULL  -4.373e+00   7.252e+00  -0.60   99.000    5.000   99.024
OBS:  56229.348  i NULL   1.619e+01   1.295e+01   1.25   99.000    5.000   99.006
OBS:  56230.070  z NULL   4.507e+00   7.134e+00   0.63   99.000    5.000   98.999
OBS:  56230.316  g NULL   4.424e+00   1.368e+01   0.32   99.000    5.000   98.951
OBS:  56230.328  r NULL   3.077e+00   6.672e+00   0.46   99.000    5.000   99.024
OBS:  56230.344  i NULL  -1.381e+01   1.239e+01  -1.11   99.000    5.000   99.006
OBS:  56231.301  g NULL  -2.468e+01   1.167e+01  -2.12   99.000    5.000   98.951
OBS:  56231.316  r NULL   5.056e+00   6.019e+00   0.84   99.000    5.000   99.024
OBS:  56231.328  i NULL  -8.988e+00   1.047e+01  -0.86   99.000    5.000   99.006
OBS:  56231.344  z NULL   7.395e+00   5.791e+00   1.28   99.000    5.000   98.999
OBS:  56235.297  g NULL  -3.710e+00   9.637e+00  -0.38   99.000    5.000   98.951
OBS:  56235.312  r NULL  -5.017e+00   4.661e+00  -1.08   99.000    5.000   99.024
OBS:  56235.324  i NULL  -8.386e+00   6.642e+00  -1.26   99.000    5.000   99.006
OBS:  56235.340  z NULL  -2.910e+00   6.749e+00  -0.43   99.000    5.000   98.999
OBS:  56236.312  g NULL  -5.839e+00   7.810e+00  -0.75   99.000    5.000   98.951
OBS:  56236.324  r NULL  -4.754e+00   3.729e+00  -1.27   99.000    5.000   99.024
OBS:  56236.340  i NULL   7.999e-01   6.080e+00   0.13   99.000    5.000   99.006
OBS:  56237.074  z NULL  -3.538e+00   7.011e+00  -0.50   99.000    5.000   98.999
OBS:  56237.340  g NULL   4.526e+00   1.182e+01   0.38   99.000    5.000   98.951
OBS:  56238.051  r NULL  -3.750e+00   4.311e+00  -0.87   99.000    5.000   99.024
