SURVEY: DES   
SNID:   806817   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.63539 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.63539 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.63539 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19955 
HOST_GALAXY_PHOTO-Z:   0.6405  +- 0.0256  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6398  
SIM_HOSTLIB_TRUEZ:  0.6400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19955  
SIM_DLMU:      42.908566  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0253   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.018  mag  (host extinction at 5510 A)
SIM_RV:         2.770   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.75  23.03  22.94  23.02  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56213.289062  days 
SIM_DELTA:     -0.023  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.023  
SIM_MAGDIM:    0.212  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -22.03   days 
SIM_TRESTMAX:    68.76   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56213.938  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 124 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   2.485e+00   4.787e+00   0.52   99.000    5.000   99.000
OBS:  56177.188  r NULL   6.570e-01   5.334e+00   0.12   99.000    5.000   99.000
OBS:  56177.203  i NULL  -7.293e+00   5.438e+00  -1.34   99.000    5.000   99.000
OBS:  56177.234  z NULL   1.083e-01   4.691e+00   0.02   99.000    5.000   99.000
OBS:  56179.172  g NULL  -1.812e+00   2.238e+00  -0.81   99.000    5.000   99.000
OBS:  56179.312  r NULL   1.198e+00   3.029e+00   0.40   99.000    5.000   99.000
OBS:  56179.328  i NULL   1.211e+00   4.199e+00   0.29   99.000    5.000   99.000
OBS:  56179.359  z NULL   1.876e-01   3.517e+00   0.05   99.000    5.000   99.000
OBS:  56187.156  g NULL  -2.063e+00   1.703e+00  -1.21  128.000    0.000   28.610
OBS:  56187.172  r NULL   3.540e+00   1.255e+00   2.82   26.127    0.475   26.123
OBS:  56187.188  i NULL   2.555e+00   1.899e+00   1.35   26.481    1.477   26.034
OBS:  56187.211  z NULL   3.116e+00   2.177e+00   1.43   26.266    1.302   26.060
OBS:  56189.148  g NULL   2.075e+01   9.768e+00   2.12   24.207    0.690   28.010
OBS:  56189.160  r NULL   7.825e+00   3.881e+00   2.02   25.266    0.744   25.556
OBS:  56189.176  i NULL   1.522e+01   8.076e+00   1.88   24.544    0.821   25.453
OBS:  56189.203  z NULL   9.390e+00   4.695e+00   2.00   25.068    0.752   25.494
OBS:  56194.121  g NULL   4.174e+00   3.775e+00   1.11   25.948    2.545   26.417
OBS:  56194.129  r NULL   1.263e+01   2.368e+00   5.34   24.746    0.226   24.564
OBS:  56200.156  i NULL   2.119e+01   8.078e+00   2.62   24.185    0.523   23.543
OBS:  56200.180  z NULL   2.865e+01   5.662e+00   5.06   23.857    0.240   23.641
OBS:  56207.156  g NULL   1.632e+01   2.321e+00   7.03   24.468    0.167   24.449
OBS:  56207.172  r NULL   5.444e+01   1.919e+00  28.37   23.160    0.040   23.093
OBS:  56209.191  i NULL   6.309e+01   2.459e+00  25.66   23.000    0.043   22.993
OBS:  56209.215  z NULL   5.481e+01   2.432e+00  22.54   23.153    0.050   23.106
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56215.164  g NULL   1.139e+01   1.633e+00   6.97   24.859    0.168   24.815
OBS:  56215.180  r NULL   5.991e+01   1.592e+00  37.64   23.056    0.029   23.074
OBS:  56217.152  i NULL   6.533e+01   1.876e+00  34.82   22.962    0.032   22.956
OBS:  56217.191  z NULL   6.345e+01   2.175e+00  29.17   22.994    0.038   23.017
OBS:  56221.062  g NULL   8.801e+00   4.496e+00   1.96   25.139    0.776   25.486
OBS:  56221.074  r NULL   4.534e+01   3.692e+00  12.28   23.359    0.092   23.313
OBS:  56221.195  i NULL   6.446e+01   1.353e+01   4.77   22.977    0.256   23.049
OBS:  56221.227  z NULL   6.230e+01   4.184e+00  14.89   23.014    0.075   23.067
OBS:  56222.047  g NULL   5.056e+00   6.424e+00   0.79   25.741  102.259   25.599
OBS:  56222.062  r NULL   4.258e+01   3.237e+00  13.15   23.427    0.086   23.365
OBS:  56222.191  i NULL   6.732e+01   9.888e+00   6.81   22.930    0.172   23.081
OBS:  56222.211  z NULL   5.937e+01   4.966e+00  11.96   23.066    0.095   23.088
OBS:  56228.031  g NULL   4.281e+00   2.612e+01   0.16   25.921  102.079   26.093
OBS:  56228.047  r NULL   3.117e+01   1.166e+01   2.67   23.766    0.509   23.724
OBS:  56228.156  i NULL   4.296e+01   5.247e+00   8.19   23.417    0.142   23.331
OBS:  56228.188  z NULL   5.153e+01   3.005e+00  17.15   23.220    0.065   23.284
OBS:  56229.031  g NULL  -6.799e+01   3.077e+01  -2.21  128.000    0.000   26.167
OBS:  56229.156  r NULL   2.864e+01   3.642e+00   7.86   23.857    0.148   23.800
OBS:  56229.172  i NULL   4.897e+01   7.117e+00   6.88   23.275    0.170   23.387
OBS:  56229.199  z NULL   4.530e+01   3.049e+00  14.86   23.360    0.076   23.329
OBS:  56230.035  g NULL  -5.437e+00   9.316e+00  -0.58  128.000    0.000   26.254
OBS:  56230.043  r NULL   2.876e+01   3.906e+00   7.36   23.853    0.158   23.860
OBS:  56230.191  i NULL   4.863e+01   6.387e+00   7.61   23.283    0.152   23.448
OBS:  56230.215  z NULL   4.142e+01   3.026e+00  13.69   23.457    0.083   23.371
OBS:  56231.035  g NULL   1.305e+01   7.699e+00   1.69   24.711    0.967   26.367
OBS:  56231.156  r NULL   2.594e+01   2.706e+00   9.59   23.965    0.120   23.934
OBS:  56231.172  i NULL   3.404e+01   4.838e+00   7.04   23.670    0.167   23.511
OBS:  56231.191  z NULL   4.739e+01   3.148e+00  15.05   23.311    0.074   23.411
OBS:  56235.145  g NULL  -7.678e-01   3.788e+00  -0.20  128.000    0.000   26.834
OBS:  56235.160  r NULL   1.943e+01   1.802e+00  10.78   24.279    0.106   24.260
OBS:  56235.172  i NULL   3.122e+01   3.260e+00   9.58   23.764    0.120   23.714
OBS:  56235.195  z NULL   4.256e+01   3.045e+00  13.98   23.428    0.080   23.561
OBS:  56236.160  g NULL   1.848e+00   2.003e+00   0.92   26.833  101.167   26.961
OBS:  56236.172  r NULL   1.995e+01   1.919e+00  10.39   24.250    0.109   24.353
OBS:  56236.188  i NULL   3.318e+01   2.859e+00  11.61   23.698    0.098   23.759
OBS:  56236.207  z NULL   3.798e+01   3.271e+00  11.61   23.551    0.098   23.595
OBS:  56237.176  g NULL   3.499e-01   3.441e+00   0.10   28.640   99.360   27.081
OBS:  56237.188  r NULL   1.435e+01   2.277e+00   6.30   24.608    0.188   24.446
OBS:  56237.207  i NULL   2.952e+01   2.922e+00  10.10   23.825    0.113   23.814
OBS:  56237.238  z NULL   2.608e+01   3.901e+00   6.69   23.959    0.177   23.625
OBS:  56238.188  g NULL  -1.802e+00   2.973e+00  -0.61  128.000    0.000   27.201
OBS:  56238.199  r NULL   1.885e+01   2.060e+00   9.15   24.311    0.125   24.539
OBS:  56238.219  i NULL   2.833e+01   3.285e+00   8.63   23.869    0.134   23.872
OBS:  56238.250  z NULL   3.440e+01   4.907e+00   7.01   23.659    0.167   23.653
OBS:  56243.203  g NULL  -1.851e+00   1.691e+00  -1.09  128.000    0.000   27.587
OBS:  56243.211  r NULL   8.934e+00   1.242e+00   7.19   25.122    0.163   24.949
OBS:  56243.223  i NULL   2.436e+01   1.912e+00  12.74   24.033    0.088   24.173
OBS:  56243.250  z NULL   2.992e+01   2.483e+00  12.05   23.810    0.094   23.793
OBS:  56244.180  g NULL   2.044e+00   1.784e+00   1.15   26.724    2.237   27.599
OBS:  56244.188  r NULL   9.974e+00   1.392e+00   7.16   25.003    0.163   25.007
OBS:  56244.203  i NULL   2.224e+01   2.037e+00  10.92   24.132    0.104   24.229
OBS:  56244.223  z NULL   2.922e+01   2.300e+00  12.70   23.836    0.089   23.819
OBS:  56245.191  g NULL   2.229e+00   4.786e+00   0.47   26.630  101.370   27.634
OBS:  56245.199  r NULL   1.004e+01   1.195e+00   8.40   24.995    0.137   25.072
OBS:  56245.219  i NULL   1.934e+01   2.115e+00   9.14   24.284    0.126   24.288
OBS:  56245.246  z NULL   2.898e+01   5.946e+00   4.87   23.845    0.249   23.845
OBS:  56246.234  g NULL  -3.585e+00   2.002e+00  -1.79  128.000    0.000   27.683
OBS:  56246.246  r NULL   7.039e+00   3.176e+00   2.22   25.381    0.652   25.142
OBS:  56246.262  i NULL   2.566e+01   5.667e+00   4.53   23.977    0.270   24.350
OBS:  56246.285  z NULL   2.336e+01   1.278e+01   1.83   24.079    0.860   23.871
OBS:  56248.207  g NULL   3.821e+00   1.754e+00   2.18   26.045    0.667   27.864
OBS:  56248.215  r NULL   7.020e+00   1.336e+00   5.26   25.384    0.229   25.288
OBS:  56248.230  i NULL   1.702e+01   2.234e+00   7.62   24.422    0.153   24.467
OBS:  56248.250  z NULL   2.482e+01   3.068e+00   8.09   24.013    0.144   23.913
OBS:  56258.242  g NULL  -5.494e-01   8.081e+00  -0.07  128.000    0.000   28.231
OBS:  56258.258  r NULL  -2.921e+00   4.419e+00  -0.66  128.000    0.000   25.886
OBS:  56259.160  i NULL   1.034e+01   4.546e+00   2.28   24.963    0.629   24.998
OBS:  56259.180  z NULL   1.545e+01   3.074e+00   5.03   24.528    0.242   24.237
OBS:  56261.215  g NULL  -2.418e+00   3.959e+00  -0.61  128.000    0.000   28.027
OBS:  56261.230  r NULL   6.373e+00   1.858e+00   3.43   25.489    0.374   25.992
OBS:  56267.156  i NULL   4.604e+00   2.215e+00   2.08   25.842    0.714   25.295
OBS:  56267.180  z NULL   1.738e+01   3.068e+00   5.67   24.400    0.211   24.537
OBS:  56274.160  g NULL  -2.678e+00   2.035e+00  -1.32  128.000    0.000   27.719
OBS:  56274.176  r NULL   3.807e+00   1.448e+00   2.63   26.049    0.519   26.196
OBS:  56275.223  i NULL   1.055e+01   3.015e+00   3.50   24.942    0.365   25.542
OBS:  56276.191  z NULL   1.292e+01   3.411e+00   3.79   24.722    0.333   24.771
OBS:  56282.160  g NULL   3.774e+00   3.404e+00   1.11   26.058    2.521   27.997
OBS:  56282.184  r NULL   1.855e+00   2.180e+00   0.85   26.829  101.171   26.283
OBS:  56287.160  i NULL  -1.086e+00   4.986e+00  -0.22  128.000    0.000   25.757
OBS:  56287.191  z NULL   8.536e-01   3.895e+00   0.22   27.672  100.328   25.040
OBS:  56289.035  g NULL   1.185e+01   1.189e+01   1.00   24.815  103.185   28.125
OBS:  56289.043  r NULL   6.494e+00   4.185e+00   1.55   25.469    1.122   26.390
OBS:  56289.152  i NULL   3.223e+00   4.328e+00   0.74   26.229  101.771   25.793
OBS:  56289.176  z NULL   6.384e+00   4.466e+00   1.43   25.487    1.307   25.092
OBS:  56297.039  g NULL   1.889e+00   1.582e+00   1.19   26.810    1.972   27.886
OBS:  56297.047  r NULL   2.519e+00   1.221e+00   2.06   26.497    0.720   26.551
OBS:  56297.062  i NULL   1.907e+00   1.864e+00   1.02   26.799    4.147   25.950
OBS:  56297.090  z NULL   7.769e+00   2.125e+00   3.66   25.274    0.347   25.233
OBS:  56305.094  g NULL   5.328e-01   1.645e+00   0.32   28.184   99.816   27.994
OBS:  56305.102  r NULL   2.014e+00   1.302e+00   1.55   26.740    1.129   26.690
OBS:  56305.113  i NULL  -4.459e-01   2.192e+00  -0.20  128.000    0.000   26.089
OBS:  56306.043  z NULL   9.447e+00   2.717e+00   3.48   25.062    0.368   25.404
OBS:  56313.047  g NULL   1.026e+00   5.960e+00   0.17   27.472  100.528   28.175
OBS:  56313.055  r NULL   1.559e+00   2.524e+00   0.62   27.018  100.982   26.817
OBS:  56313.090  i NULL   4.074e+00   3.080e+00   1.32   25.975    1.531   26.237
OBS:  56317.066  z NULL   3.939e+00   4.250e+00   0.93   26.011  101.989   25.613
OBS:  56321.035  g NULL   1.594e+00   2.914e+00   0.55   26.994  101.006   28.282
OBS:  56321.043  r NULL   2.460e+00   1.367e+00   1.80   26.523    0.880   26.977
OBS:  56321.066  i NULL   4.162e+00   3.217e+00   1.29   25.952    1.610   26.353
OBS:  56326.039  z NULL   2.295e+00   2.607e+00   0.88   26.598  101.402   25.789
END: 
