SURVEY: DES   
SNID:   808095   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.33400 +- 0.02270  (Helio, z_best) 
REDSHIFT_FINAL:   0.33400 +- 0.02270  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12003 
HOST_GALAXY_PHOTO-Z:   0.3340  +- 0.0227  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.3013  
SIM_HOSTLIB_TRUEZ:  0.3000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12003  
SIM_DLMU:      40.966270  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0313   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.75  22.22  22.10  22.56  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56176.937500  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.940e-05   
SIM_SALT2x1:   -2.3209   
SIM_SALT2c:     0.1747   
SIM_SALT2mB:   22.4157   
SIM_MAGDIM:    1.932  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     0.96   days 
SIM_TRESTMAX:    64.80   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56175.125  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 83 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   7.458e+01   9.589e+00   7.78   22.819    0.150   22.790
OBS:  56178.195  r NULL   1.153e+02   7.528e+00  15.31   22.346    0.074   22.228
OBS:  56178.203  i NULL   1.459e+02   7.394e+00  19.74   22.090    0.056   22.091
OBS:  56178.211  z NULL   1.021e+02   8.153e+00  12.53   22.477    0.090   22.535
OBS:  56180.172  g NULL   6.498e+01   4.344e+00  14.96   22.968    0.076   22.896
OBS:  56180.188  r NULL   1.222e+02   3.976e+00  30.74   22.282    0.036   22.263
OBS:  56180.195  i NULL   1.372e+02   5.138e+00  26.71   22.157    0.042   22.104
OBS:  56180.203  z NULL   1.014e+02   5.325e+00  19.03   22.485    0.058   22.512
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.148  g NULL   2.268e+01   1.802e+01   1.26   24.111    1.719   23.608
OBS:  56188.289  r NULL   8.700e+01   4.387e+00  19.83   22.651    0.057   22.558
OBS:  56188.297  i NULL   9.711e+01   8.378e+00  11.59   22.532    0.098   22.530
OBS:  56188.312  z NULL   5.689e+01   5.508e+00  10.33   23.112    0.111   23.105
OBS:  56194.145  g NULL   1.414e+01   4.725e+00   2.99   24.624    0.442   24.412
OBS:  56194.156  r NULL   6.546e+01   3.073e+00  21.30   22.960    0.052   22.976
OBS:  56194.172  i NULL   7.347e+01   4.871e+00  15.08   22.835    0.074   22.840
OBS:  56194.188  z NULL   5.220e+01   4.580e+00  11.40   23.206    0.100   23.158
OBS:  56207.188  g NULL   1.054e+00   4.375e+00   0.24   27.443  100.557   25.858
OBS:  56207.195  r NULL   2.152e+01   3.495e+00   6.16   24.168    0.193   24.097
OBS:  56207.203  i NULL   4.720e+01   6.326e+00   7.46   23.315    0.157   23.203
OBS:  56207.219  z NULL   6.270e+01   6.074e+00  10.32   23.007    0.110   23.136
OBS:  56215.195  g NULL   2.078e+00   2.691e+00   0.77   26.706  101.294   26.377
OBS:  56215.203  r NULL   1.195e+01   2.197e+00   5.44   24.807    0.221   24.706
OBS:  56215.211  i NULL   3.053e+01   2.718e+00  11.23   23.788    0.102   23.720
OBS:  56215.227  z NULL   3.705e+01   3.504e+00  10.57   23.578    0.108   23.620
OBS:  56221.090  g NULL   1.579e+01   6.280e+00   2.51   24.504    0.550   26.335
OBS:  56221.105  r NULL   1.209e+01   5.091e+00   2.37   24.794    0.594   24.858
OBS:  56221.113  i NULL   3.033e+01   5.615e+00   5.40   23.795    0.222   24.035
OBS:  56221.117  z NULL   1.918e+01   7.717e+00   2.48   24.293    0.560   23.968
OBS:  56222.270  g NULL  -1.214e+00   7.737e+00  -0.16  128.000    0.000   26.316
OBS:  56222.273  r NULL  -2.755e+00   5.704e+00  -0.48  128.000    0.000   24.879
OBS:  56222.281  i NULL   1.426e+01   1.699e+01   0.84   24.614  103.386   24.081
OBS:  56222.289  z NULL   1.541e+01   8.074e+00   1.91   24.530    0.807   24.030
OBS:  56228.234  g NULL  -6.940e-01   1.235e+01  -0.06  128.000    0.000   26.233
OBS:  56228.242  r NULL  -6.519e-01   5.573e+00  -0.12  128.000    0.000   25.001
OBS:  56228.258  i NULL   5.703e+00   1.203e+01   0.47   25.610  102.390   24.212
OBS:  56228.270  z NULL   2.441e+01   6.667e+00   3.66   24.031    0.346   24.313
OBS:  56229.258  g NULL  -3.016e+00   1.721e+01  -0.18  128.000    0.000   26.241
OBS:  56229.270  r NULL   1.195e+00   8.067e+00   0.15   27.306  100.694   25.022
OBS:  56229.285  i NULL   4.442e+01   1.509e+01   2.94   23.381    0.450   24.225
OBS:  56229.297  z NULL   1.359e+01   8.905e+00   1.53   24.667    1.157   24.357
OBS:  56230.273  g NULL   9.478e-01   1.383e+01   0.07   27.558  100.442   26.272
OBS:  56230.277  r NULL   1.030e+01   6.411e+00   1.61   24.968    1.058   25.042
OBS:  56230.285  i NULL   6.455e+00   1.120e+01   0.58   25.475  102.525   24.241
OBS:  56230.293  z NULL   4.497e+00   6.160e+00   0.73   25.868  102.132   24.399
OBS:  56231.242  g NULL   5.245e+00   9.780e+00   0.54   25.701  102.299   26.331
OBS:  56231.258  r NULL   1.509e+01   4.956e+00   3.05   24.553    0.432   25.061
OBS:  56231.273  i NULL   1.633e+01   9.665e+00   1.69   24.467    0.973   24.261
OBS:  56231.277  z NULL   1.441e+01   5.314e+00   2.71   24.603    0.500   24.441
OBS:  56235.242  g NULL  -3.460e+00   6.868e+00  -0.50  128.000    0.000   26.853
OBS:  56235.258  r NULL   6.240e+00   3.917e+00   1.59   25.512    1.073   25.129
OBS:  56235.270  i NULL   1.760e+01   7.260e+00   2.42   24.386    0.578   24.366
OBS:  56235.277  z NULL   6.595e+00   6.983e+00   0.94   25.452  102.548   24.607
OBS:  56236.258  g NULL   8.878e+00   6.539e+00   1.36   25.129    1.447   27.108
OBS:  56236.270  r NULL   1.126e+01   4.263e+00   2.64   24.871    0.516   25.144
OBS:  56236.277  i NULL   2.176e+01   6.014e+00   3.62   24.156    0.351   24.399
OBS:  56236.285  z NULL   1.130e+01   7.809e+00   1.45   24.867    1.275   24.648
OBS:  56237.289  g NULL  -1.744e+01   2.675e+01  -0.65  128.000    0.000   27.473
OBS:  56237.297  r NULL  -1.296e+01   4.068e+01  -0.32  128.000    0.000   25.159
OBS:  56237.301  i NULL   1.475e+00   4.383e+01   0.03   27.078  100.922   24.434
OBS:  56237.316  z NULL  -1.011e+01   2.567e+01  -0.39  128.000    0.000   24.688
OBS:  56238.301  g NULL  -4.253e+01   4.135e+01  -1.03  128.000    0.000   28.044
OBS:  56238.316  r NULL   2.329e+01   1.370e+01   1.70   24.082    0.962   25.172
