SURVEY: DES   
SNID:   817842   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.77774 +- 0.01730  (Helio, z_best) 
REDSHIFT_FINAL:   0.77774 +- 0.01730  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10231 
HOST_GALAXY_PHOTO-Z:   0.7777  +- 0.0173  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7792  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10231  
SIM_DLMU:      43.432388  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0628   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.39  23.06  23.07  23.08  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56303.566406  days 
SIM_SALT2x0:   4.237e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.37   days 
SIM_TRESTMAX:    26.67   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56303.840  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 78 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56235.297  g NULL   1.440e+01   9.640e+00   1.49   99.000    5.000   96.291
OBS:  56235.312  r NULL  -2.342e+00   4.660e+00  -0.50   99.000    5.000   96.227
OBS:  56235.324  i NULL   5.529e+00   6.641e+00   0.83   99.000    5.000   96.264
OBS:  56235.340  z NULL  -8.532e+00   6.751e+00  -1.26   99.000    5.000   96.207
OBS:  56236.312  g NULL  -1.157e+01   7.812e+00  -1.48   99.000    5.000   96.291
OBS:  56236.324  r NULL   6.112e-01   3.728e+00   0.16   99.000    5.000   96.227
OBS:  56236.340  i NULL   3.986e+00   6.080e+00   0.66   99.000    5.000   96.264
OBS:  56237.074  z NULL   3.538e-01   7.011e+00   0.05   99.000    5.000   96.207
OBS:  56237.340  g NULL  -6.995e+00   1.182e+01  -0.59   99.000    5.000   96.291
OBS:  56238.051  r NULL   2.096e+00   4.311e+00   0.49   99.000    5.000   96.227
OBS:  56238.059  i NULL   4.155e+00   5.467e+00   0.76   99.000    5.000   96.264
OBS:  56238.340  g NULL  -1.974e+01   1.063e+01  -1.86   99.000    5.000   96.291
OBS:  56243.047  z NULL  -6.049e+00   8.327e+00  -0.73   99.000    5.000   96.207
OBS:  56243.320  g NULL   2.721e+00   4.200e+00   0.65   99.000    5.000   96.291
OBS:  56243.336  r NULL  -2.946e+00   3.298e+00  -0.89   99.000    5.000   96.227
OBS:  56244.039  i NULL   3.575e+00   7.033e+00   0.51   99.000    5.000   96.264
OBS:  56244.309  g NULL   6.111e+00   4.124e+00   1.48   99.000    5.000   96.291
OBS:  56244.320  r NULL  -6.344e-01   3.224e+00  -0.20   99.000    5.000   96.227
OBS:  56245.047  z NULL   3.991e+00   5.011e+00   0.80   99.000    5.000   96.207
OBS:  56245.320  g NULL  -5.765e+00   4.229e+00  -1.36   99.000    5.000   96.291
OBS:  56246.055  r NULL   4.049e+00   2.384e+00   1.70   99.000    5.000   96.227
OBS:  56246.070  i NULL   4.239e-01   3.883e+00   0.11   99.000    5.000   96.264
