SURVEY: DES   
SNID:   818617   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  32 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.54710 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.54710 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.54710 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15667 
HOST_GALAXY_PHOTO-Z:   0.5519  +- 0.0279  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.5397  
SIM_HOSTLIB_TRUEZ:  0.5400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15667  
SIM_DLMU:      42.460705  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0226   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.29  23.25  22.92  22.42  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56181.390625  days 
SIM_SALT2x0:   1.037e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -2.74   days 
SIM_TRESTMAX:    69.99   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56181.953  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.097e+01   4.800e+00   2.28   24.900    0.625   24.785
OBS:  56177.188  r NULL   6.883e+01   5.495e+00  12.53   22.906    0.090   23.033
OBS:  56177.203  i NULL   7.760e+01   5.633e+00  13.78   22.775    0.081   22.878
OBS:  56177.234  z NULL   1.080e+02   5.109e+00  21.13   22.417    0.053   22.422
OBS:  56179.172  g NULL   1.060e+01   2.260e+00   4.69   24.937    0.260   25.008
OBS:  56179.312  r NULL   4.966e+01   3.185e+00  15.59   23.260    0.073   23.131
OBS:  56179.328  i NULL   6.648e+01   4.391e+00  15.14   22.943    0.074   22.894
OBS:  56179.359  z NULL   1.103e+02   4.081e+00  27.02   22.394    0.041   22.411
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   4.514e+00   1.711e+00   2.64   25.864    0.517   26.101
OBS:  56187.172  r NULL   3.148e+01   1.401e+00  22.47   23.755    0.050   23.723
OBS:  56187.188  i NULL   5.981e+01   2.218e+00  26.96   23.058    0.041   23.076
OBS:  56187.211  z NULL   1.017e+02   2.893e+00  35.17   22.481    0.031   22.520
OBS:  56189.148  g NULL   1.552e+00   9.763e+00   0.16   27.023  100.977   26.354
OBS:  56189.160  r NULL   2.005e+01   3.905e+00   5.13   24.245    0.236   23.915
OBS:  56189.176  i NULL   4.047e+01   8.119e+00   4.98   23.482    0.244   23.182
OBS:  56189.203  z NULL   8.393e+01   4.952e+00  16.95   22.690    0.067   22.591
OBS:  56194.121  g NULL   1.343e+00   3.773e+00   0.36   27.180  100.820   26.886
OBS:  56194.129  r NULL   1.170e+01   2.367e+00   4.94   24.830    0.247   24.457
OBS:  56200.156  i NULL   4.631e+01   8.114e+00   5.71   23.336    0.208   23.770
OBS:  56200.180  z NULL   5.044e+01   5.716e+00   8.83   23.243    0.131   23.124
OBS:  56207.156  g NULL   4.972e-01   2.280e+00   0.22   28.259   99.741   28.001
OBS:  56207.172  r NULL   6.909e+00   1.611e+00   4.29   25.401    0.288   25.525
OBS:  56209.191  i NULL   1.789e+01   2.172e+00   8.24   24.368    0.141   24.259
OBS:  56209.215  z NULL   3.681e+01   2.309e+00  15.94   23.585    0.071   23.495
OBS:  56215.164  g NULL   1.460e+00   1.596e+00   0.91   27.089  100.911   28.299
OBS:  56215.180  r NULL   3.343e+00   1.101e+00   3.04   26.190    0.435   25.782
OBS:  56217.152  i NULL   1.347e+01   1.425e+00   9.45   24.676    0.121   24.656
OBS:  56217.191  z NULL   2.705e+01   1.890e+00  14.31   23.919    0.079   23.787
OBS:  56221.062  g NULL  -3.174e+00   4.489e+00  -0.71  128.000    0.000   28.167
OBS:  56221.074  r NULL   1.259e+00   3.582e+00   0.35   27.250  100.750   25.915
OBS:  56221.195  i NULL   2.956e+01   1.347e+01   2.19   23.823    0.660   24.764
OBS:  56221.227  z NULL   2.275e+01   4.039e+00   5.63   24.108    0.213   23.928
OBS:  56222.047  g NULL   1.031e+01   6.422e+00   1.60   24.967    1.059   28.141
OBS:  56222.062  r NULL   8.772e+00   3.131e+00   2.80   25.142    0.479   25.930
OBS:  56222.191  i NULL   1.112e+01   9.796e+00   1.14   24.885    2.312   24.784
OBS:  56222.211  z NULL   2.978e+01   4.869e+00   6.12   23.815    0.193   23.959
OBS:  56228.031  g NULL   6.412e+00   2.612e+01   0.25   25.483  102.517   27.994
OBS:  56228.047  r NULL   5.851e-01   1.164e+01   0.05   28.082   99.918   25.974
OBS:  56228.156  i NULL   8.946e+00   5.183e+00   1.73   25.121    0.941   24.892
OBS:  56228.188  z NULL   1.860e+01   2.866e+00   6.49   24.326    0.182   24.102
OBS:  56229.031  g NULL   5.651e+01   3.076e+01   1.84   23.120    0.853   27.969
OBS:  56229.156  r NULL   3.366e+00   3.596e+00   0.94   26.182  101.818   25.975
OBS:  56229.172  i NULL   1.142e+01   7.057e+00   1.62   24.856    1.044   24.911
OBS:  56229.199  z NULL   1.822e+01   2.947e+00   6.18   24.349    0.192   24.119
OBS:  56230.035  g NULL  -1.808e+00   9.315e+00  -0.19  128.000    0.000   27.944
OBS:  56230.043  r NULL   4.598e+00   3.865e+00   1.19   25.844    1.994   25.974
OBS:  56230.191  i NULL   1.029e+01   6.322e+00   1.63   24.969    1.034   24.930
