SURVEY: DES   
SNID:   824935   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.72518 +- 0.01740  (Helio, z_best) 
REDSHIFT_FINAL:   0.72518 +- 0.01740  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11467 
HOST_GALAXY_PHOTO-Z:   0.7252  +- 0.0174  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7244  
SIM_HOSTLIB_TRUEZ:  0.7200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11467  
SIM_DLMU:      43.237896  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0735   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.143  mag  (host extinction at 5510 A)
SIM_RV:         2.191   (CCM89 extinction parameter) 
SIM_PEAKMAG:   25.86  23.86  23.48  23.42  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56188.839844  days 
SIM_DELTA:      0.065  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.935  
SIM_MAGDIM:    0.389  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.15   days 
SIM_TRESTMAX:    66.83   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56189.125  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 99 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.242e+01   1.049e+01   1.18   24.765    2.017   26.007
OBS:  56178.250  r NULL   1.507e+01   7.854e+00   1.92   24.555    0.801   24.084
OBS:  56178.266  i NULL   4.062e+01   9.349e+00   4.34   23.478    0.284   23.815
OBS:  56179.211  z NULL   2.847e+01   5.359e+00   5.31   23.864    0.227   23.716
OBS:  56180.219  g NULL   8.430e+00   3.223e+00   2.62   25.185    0.523   25.729
OBS:  56180.234  r NULL   2.715e+01   2.501e+00  10.85   23.916    0.105   23.968
OBS:  56180.250  i NULL   3.309e+01   4.371e+00   7.57   23.701    0.154   23.664
OBS:  56188.191  z NULL   7.576e+00   2.733e+01   0.28   25.301  102.699   23.428
OBS:  56188.340  g NULL   4.022e+00   2.559e+01   0.16   25.989  102.011   25.825
OBS:  56188.355  r NULL   1.892e+01   4.193e+00   4.51   24.307    0.273   23.850
OBS:  56189.195  i NULL   3.670e+01   3.098e+01   1.18   23.588    2.017   23.482
OBS:  56194.215  g NULL   3.357e+00   4.771e+00   0.70   26.185  101.815   26.294
OBS:  56194.223  r NULL   1.093e+01   5.429e+00   2.01   24.903    0.748   24.065
OBS:  56194.227  z NULL   4.833e+01   6.612e+00   7.31   23.289    0.159   23.421
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56200.234  i NULL   2.362e+01   1.200e+01   1.97   24.067    0.770   23.758
OBS:  56208.160  g NULL   1.579e+00   2.975e+00   0.53   27.004  100.996   27.650
OBS:  56208.176  r NULL   1.029e+01   2.446e+00   4.21   24.969    0.295   24.977
OBS:  56208.191  z NULL   3.033e+01   4.975e+00   6.10   23.795    0.194   23.838
OBS:  56210.156  i NULL   1.350e+01   7.035e+00   1.92   24.674    0.800   24.328
OBS:  56216.164  g NULL   4.439e+00   2.688e+00   1.65   25.882    1.009   28.567
OBS:  56216.176  r NULL   4.475e+00   2.043e+00   2.19   25.873    0.662   25.689
OBS:  56216.191  z NULL   2.173e+01   4.070e+00   5.34   24.157    0.225   24.121
OBS:  56219.211  i NULL   1.475e+01   3.007e+00   4.91   24.578    0.247   24.899
OBS:  56221.148  g NULL  -6.048e+00   1.591e+01  -0.38  128.000    0.000   28.813
OBS:  56221.160  r NULL   1.445e+00   6.051e+00   0.24   27.100  100.900   26.053
OBS:  56221.176  z NULL   2.589e+01   1.540e+01   1.68   23.967    0.981   24.304
OBS:  56222.105  i NULL   7.796e+00   9.194e+00   0.85   25.270  102.730   25.077
OBS:  56222.312  g NULL  -3.909e+00   4.102e+00  -0.95  128.000    0.000   28.830
OBS:  56222.324  r NULL  -1.582e+01   1.517e+01  -1.04  128.000    0.000   26.122
OBS:  56222.340  z NULL  -3.139e+01   4.086e+01  -0.77  128.000    0.000   24.347
OBS:  56228.297  g NULL   3.033e+00   1.503e+01   0.20   26.295  101.705   29.202
