SURVEY: DES   
SNID:   827840   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.17164 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.17164 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.17164 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14838 
HOST_GALAXY_PHOTO-Z:   0.1503  +- 0.0545  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      15   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-003818  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.1723  
SIM_HOSTLIB_TRUEZ:  0.1700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14838  
SIM_DLMU:      39.596832  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0674   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.43  22.53  22.27  22.51  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56155.636719  days 
SIM_SALT2x0:   1.450e-16   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    19.28   days 
SIM_TRESTMAX:    69.69   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56156.055  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   4.260e+01   1.055e+01   4.04   23.427    0.309   23.375
OBS:  56178.250  r NULL   6.526e+01   7.958e+00   8.20   22.963    0.141   22.895
OBS:  56178.266  i NULL   9.510e+01   9.500e+00  10.01   22.555    0.114   22.519
OBS:  56179.211  z NULL   9.293e+01   5.615e+00  16.55   22.580    0.068   22.607
OBS:  56180.219  g NULL   4.328e+01   3.418e+00  12.66   23.409    0.089   23.454
OBS:  56180.234  r NULL   6.709e+01   2.785e+00  24.09   22.933    0.046   22.898
OBS:  56180.250  i NULL   1.017e+02   4.751e+00  21.42   22.481    0.052   22.536
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.191  z NULL   8.637e+00   2.734e+01   0.32   25.159  102.841   22.731
OBS:  56188.340  g NULL   4.483e+01   2.569e+01   1.75   23.371    0.924   23.707
OBS:  56188.355  r NULL   7.406e+01   4.434e+00  16.70   22.826    0.067   22.909
OBS:  56189.195  i NULL   1.239e+02   3.107e+01   3.99   22.267    0.313   22.610
OBS:  56194.215  g NULL   2.710e+01   4.858e+00   5.58   23.918    0.215   23.821
OBS:  56194.223  r NULL   6.621e+01   5.608e+00  11.81   22.948    0.096   22.919
OBS:  56194.227  z NULL   7.454e+01   6.703e+00  11.12   22.819    0.102   22.816
OBS:  56200.234  i NULL   6.506e+01   1.206e+01   5.40   22.967    0.223   22.690
OBS:  56208.160  g NULL   2.843e+01   3.101e+00   9.17   23.866    0.125   23.900
OBS:  56208.176  r NULL   6.580e+01   2.778e+00  23.69   22.954    0.047   22.945
OBS:  56208.191  z NULL   6.079e+01   5.077e+00  11.97   23.040    0.095   22.998
OBS:  56210.156  i NULL   7.501e+01   7.185e+00  10.44   22.812    0.110   22.757
OBS:  56216.164  g NULL   2.831e+01   2.828e+00  10.01   23.870    0.114   23.890
OBS:  56216.176  r NULL   6.810e+01   2.457e+00  27.72   22.917    0.040   22.957
OBS:  56216.191  z NULL   6.121e+01   4.215e+00  14.52   23.033    0.077   23.087
