SURVEY: DES   
SNID:   833779   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.76503 +- 0.02300  (Helio, z_best) 
REDSHIFT_FINAL:   0.76503 +- 0.02300  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18225 
HOST_GALAXY_PHOTO-Z:   0.7650  +- 0.0230  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7863  
SIM_HOSTLIB_TRUEZ:  0.7900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18225  
SIM_DLMU:      43.456570  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0089   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   99.03  24.86  23.89  23.60  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56165.324219  days 
SIM_SALT2x0:   4.144e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     6.08   days 
SIM_TRESTMAX:    69.38   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56165.227  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 121 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   7.564e+00   4.766e+00   1.59   99.000    5.000   99.032
OBS:  56176.199  r NULL   6.065e+00   2.134e+00   2.84   25.543    0.470   25.966
OBS:  56176.215  i NULL   1.577e+01   3.162e+00   4.99   24.506    0.243   24.565
OBS:  56176.238  z NULL   2.600e+01   2.532e+00  10.27   23.962    0.111   23.953
OBS:  56179.188  g NULL  -1.690e+00   2.584e+00  -0.65   99.000    5.000   99.032
OBS:  56179.195  r NULL   2.578e+00   1.711e+00   1.51   26.472    1.184   26.296
OBS:  56179.234  i NULL   1.039e+01   1.997e+00   5.20   24.958    0.232   24.807
OBS:  56179.266  z NULL   2.705e+01   3.765e+00   7.18   23.920    0.162   24.096
OBS:  56180.266  g NULL  -1.951e+00   2.550e+00  -0.77   99.000    5.000   99.032
OBS:  56180.281  r NULL   3.547e+00   1.304e+00   2.72   26.125    0.497   26.405
OBS:  56180.297  i NULL   1.619e+01   3.697e+00   4.38   24.477    0.281   24.891
OBS:  56180.328  z NULL   1.898e+01   4.502e+00   4.22   24.304    0.294   24.143
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.160  g NULL  -6.643e+00   5.685e+00  -1.17   99.000    5.000   99.032
OBS:  56188.176  r NULL   9.191e+00   5.572e+00   1.65   25.092    1.011   27.175
OBS:  56188.211  i NULL   4.487e+00   4.521e+00   0.99   25.870  102.130   25.475
OBS:  56188.238  z NULL   1.304e+01   3.409e+00   3.83   24.712    0.329   24.498
OBS:  56189.254  g NULL  -6.135e-01   2.284e+00  -0.27   99.000    5.000   99.032
OBS:  56189.270  r NULL   4.591e+00   3.269e+00   1.40   25.845    1.351   27.272
OBS:  56189.281  i NULL   1.861e+01   9.053e+00   2.06   24.326    0.723   25.543
OBS:  56189.312  z NULL   1.589e+01   2.981e+00   5.33   24.497    0.225   24.546
OBS:  56194.258  g NULL  -6.294e-01   2.636e+00  -0.24   99.000    5.000   99.032
OBS:  56194.270  r NULL   9.688e-02   1.486e+00   0.07   30.034   97.966   27.683
OBS:  56194.285  i NULL   4.790e+00   2.294e+00   2.09   25.799    0.708   25.807
OBS:  56194.305  z NULL   1.664e+01   2.406e+00   6.92   24.447    0.169   24.774
OBS:  56202.160  g NULL  -9.051e+00   4.793e+00  -1.89   99.000    5.000   99.032
OBS:  56202.176  r NULL   1.321e+00   2.322e+00   0.57   27.198  100.802   28.031
OBS:  56202.191  i NULL  -3.989e+00   4.164e+00  -0.96  128.000    0.000   26.050
OBS:  56202.215  z NULL   9.948e+00   2.718e+00   3.66   25.006    0.346   25.157
OBS:  56210.172  g NULL  -5.120e+00   3.691e+00  -1.39   99.000    5.000   99.032
OBS:  56210.188  r NULL   1.157e+00   3.215e+00   0.36   27.342  100.658   28.055
OBS:  56210.203  i NULL   6.725e+00   3.211e+00   2.09   25.431    0.704   26.240
OBS:  56210.234  z NULL   6.360e+00   3.847e+00   1.65   25.491    1.008   25.432
OBS:  56218.172  g NULL   1.880e-01   1.249e+00   0.15   99.000    5.000   99.032
OBS:  56218.191  r NULL   2.358e-01   9.565e-01   0.25   29.069   98.931   27.938
OBS:  56218.211  i NULL   2.423e+00   1.501e+00   1.61   26.539    1.050   26.347
OBS:  56219.156  z NULL   4.763e+00   1.936e+00   2.46   25.805    0.567   25.578
OBS:  56221.273  g NULL  -1.290e-01   3.910e+00  -0.03   99.000    5.000   99.032
OBS:  56221.281  r NULL   1.070e+00   5.581e+00   0.19   27.426  100.574   27.884
OBS:  56221.297  i NULL   8.364e+00   4.485e+00   1.86   25.194    0.834   26.363
OBS:  56221.324  z NULL  -1.224e+01   1.440e+01  -0.85  128.000    0.000   25.614
OBS:  56222.074  g NULL  -5.198e+00   5.909e+00  -0.88   99.000    5.000   99.032
OBS:  56222.090  r NULL  -4.747e-01   2.626e+00  -0.18  128.000    0.000   27.870
OBS:  56222.113  i NULL   1.117e-01   3.323e+00   0.03   29.880   98.120   26.366
OBS:  56222.133  z NULL   1.140e+00   5.056e+00   0.23   27.358  100.642   25.628
OBS:  56228.059  g NULL  -1.431e+01   7.697e+00  -1.86   99.000    5.000   99.032
OBS:  56228.066  r NULL   3.855e+00   2.391e+00   1.61   26.035    1.051   27.768
OBS:  56228.086  i NULL   4.241e-01   5.108e+00   0.08   28.431   99.569   26.371
OBS:  56228.109  z NULL   4.717e+00   4.135e+00   1.14   25.816    2.271   25.719
OBS:  56229.047  g NULL   3.108e+01   2.392e+01   1.30   99.000    5.000   99.032
OBS:  56229.059  r NULL   2.325e+00   3.850e+00   0.60   26.584  101.416   27.752
OBS:  56229.074  i NULL   4.982e+00   5.425e+00   0.92   25.757  102.243   26.371
OBS:  56229.102  z NULL   9.686e+00   4.852e+00   2.00   25.035    0.754   25.733
OBS:  56230.059  g NULL   3.902e+00   6.571e+00   0.59   99.000    5.000   99.032
OBS:  56230.102  r NULL   1.058e+00   2.916e+00   0.36   27.438  100.562   27.736
OBS:  56230.113  i NULL   3.128e+00   5.175e+00   0.60   26.262  101.738   26.370
OBS:  56230.145  z NULL   1.881e+00   2.665e+00   0.71   26.814  101.186   25.747
OBS:  56231.043  g NULL   9.291e+00   6.047e+00   1.54   99.000    5.000   99.032
OBS:  56231.059  r NULL   1.335e+00   2.551e+00   0.52   27.186  100.814   27.721
OBS:  56231.070  i NULL  -2.776e+00   4.241e+00  -0.65  128.000    0.000   26.369
OBS:  56231.102  z NULL   5.681e+00   3.280e+00   1.73   25.614    0.935   25.760
OBS:  56235.039  g NULL   3.203e-02   5.184e+00   0.01   99.000    5.000   99.032
OBS:  56235.047  r NULL   1.227e+00   3.705e+00   0.33   27.278  100.722   27.669
OBS:  56235.062  i NULL   1.417e+00   4.192e+00   0.34   27.122  100.878   26.367
OBS:  56235.090  z NULL  -8.888e+00   8.233e+00  -1.08  128.000    0.000   25.807
OBS:  56236.047  g NULL   1.518e+00   4.872e+00   0.31   99.000    5.000   99.032
OBS:  56236.062  r NULL   1.626e+00   2.660e+00   0.61   26.972  101.028   27.657
OBS:  56236.074  i NULL   5.825e+00   5.223e+00   1.12   25.587    2.463   26.367
OBS:  56236.105  z NULL   1.265e+00   5.320e+00   0.24   27.245  100.755   25.817
OBS:  56237.039  g NULL  -2.625e+00   3.164e+00  -0.83   99.000    5.000   99.032
OBS:  56237.051  r NULL   1.959e+00   2.212e+00   0.89   26.770  101.230   27.647
OBS:  56237.094  i NULL   3.113e+00   2.492e+00   1.25   26.267    1.751   26.367
OBS:  56237.125  z NULL   4.612e+00   3.696e+00   1.25   25.840    1.755   25.826
OBS:  56238.074  g NULL  -4.944e+00   2.524e+00  -1.96   99.000    5.000   99.032
OBS:  56238.094  r NULL   3.568e+00   1.590e+00   2.24   26.119    0.640   27.637
OBS:  56238.109  i NULL   5.969e+00   2.725e+00   2.19   25.560    0.661   26.368
OBS:  56238.129  z NULL   4.503e+00   3.107e+00   1.45   25.866    1.272   25.834
OBS:  56243.098  g NULL   2.177e-01   2.167e+00   0.10   99.000    5.000   99.032
OBS:  56243.109  r NULL  -3.639e+00   1.655e+00  -2.20  128.000    0.000   27.597
OBS:  56243.125  i NULL   9.170e-01   2.565e+00   0.36   27.594  100.406   26.379
OBS:  56243.152  z NULL   1.976e+00   2.550e+00   0.77   26.760  101.240   25.863
OBS:  56244.082  g NULL   2.116e+00   2.191e+00   0.97   99.000    5.000   99.032
OBS:  56244.098  r NULL   2.239e+00   1.635e+00   1.37   26.625    1.421   27.591
OBS:  56244.109  i NULL   2.738e+00   2.589e+00   1.06   26.407    3.166   26.383
OBS:  56244.133  z NULL   5.003e-01   2.982e+00   0.17   28.252   99.748   25.867
OBS:  56245.070  g NULL  -4.345e+00   1.720e+00  -2.53   99.000    5.000   99.032
OBS:  56245.082  r NULL   1.954e+00   1.353e+00   1.44   26.773    1.280   27.585
OBS:  56245.109  i NULL  -6.043e-01   3.212e+00  -0.19  128.000    0.000   26.387
OBS:  56245.137  z NULL   1.099e+01   2.844e+00   3.87   24.897    0.324   25.872
OBS:  56246.117  g NULL  -1.526e+00   6.561e+00  -0.23   99.000    5.000   99.032
OBS:  56246.125  r NULL   1.997e+00   2.811e+00   0.71   26.749  101.251   27.580
OBS:  56246.152  i NULL   3.863e+00   1.961e+00   1.97   26.033    0.769   26.391
OBS:  56246.180  z NULL   2.875e+00   1.935e+00   1.49   26.353    1.214   25.877
OBS:  56247.281  g NULL  -6.663e-01   1.489e+00  -0.45   99.000    5.000   99.032
OBS:  56247.297  r NULL  -1.843e-01   1.132e+00  -0.16  128.000    0.000   27.575
OBS:  56247.316  i NULL   3.095e+00   1.976e+00   1.57   26.274    1.104   26.395
OBS:  56247.340  z NULL   4.680e+00   2.491e+00   1.88   25.824    0.825   25.884
OBS:  56248.324  g NULL  -4.246e+00   1.703e+00  -2.49   99.000    5.000   99.032
OBS:  56248.340  r NULL   1.461e-01   1.336e+00   0.11   29.589   98.411   27.571
OBS:  56258.035  i NULL   3.280e+00   9.885e+00   0.33   26.210  101.790   26.437
OBS:  56258.066  z NULL   5.518e+00   3.969e+00   1.39   25.646    1.379   25.979
OBS:  56258.215  g NULL  -2.263e+00   4.947e+00  -0.46   99.000    5.000   99.032
OBS:  56258.227  r NULL   4.380e+00   2.383e+00   1.84   25.896    0.852   27.580
OBS:  56261.098  g NULL   5.370e+00   8.828e+00   0.61   99.000    5.000   99.032
OBS:  56261.102  r NULL  -2.626e+00   3.395e+00  -0.77  128.000    0.000   27.597
OBS:  56261.125  i NULL   4.891e+00   3.855e+00   1.27   25.777    1.684   26.449
OBS:  56261.156  z NULL   3.558e+00   3.087e+00   1.15   26.122    2.195   26.015
OBS:  56273.160  g NULL   1.033e+00   1.752e+00   0.59   99.000    5.000   99.032
OBS:  56273.176  r NULL   2.198e+00   1.214e+00   1.81   26.645    0.872   27.787
OBS:  56273.188  i NULL   3.247e+00   2.025e+00   1.60   26.221    1.061   26.535
OBS:  56273.219  z NULL   5.858e+00   2.254e+00   2.60   25.581    0.527   26.178
OBS:  56281.160  g NULL  -1.113e+00   2.074e+00  -0.54   99.000    5.000   99.032
OBS:  56281.184  r NULL   1.587e+00   1.274e+00   1.25   26.999    1.761   27.990
OBS:  56281.203  i NULL   6.558e+00   1.803e+00   3.64   25.458    0.348   26.633
OBS:  56281.227  z NULL   3.678e+00   2.292e+00   1.60   26.086    1.059   26.302
OBS:  56288.086  g NULL   1.464e+00   4.849e+00   0.30   99.000    5.000   99.032
OBS:  56288.094  r NULL  -1.070e+00   2.114e+00  -0.51  128.000    0.000   28.145
OBS:  56288.109  i NULL  -4.033e+00   3.060e+00  -1.32  128.000    0.000   26.732
OBS:  56288.141  z NULL   1.293e-01   2.584e+00   0.05   29.721   98.279   26.414
OBS:  56289.227  g NULL   1.010e+01   6.493e+00   1.56   99.000    5.000   99.032
OBS:  56289.242  r NULL   8.501e-01   2.701e+00   0.31   27.676  100.324   28.166
OBS:  56289.258  i NULL  -3.543e+00   5.085e+00  -0.70  128.000    0.000   26.748
END: 
