SURVEY: DES   
SNID:   835936   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.88254 +- 0.01760  (Helio, z_best) 
REDSHIFT_FINAL:   0.88254 +- 0.01760  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12367 
HOST_GALAXY_PHOTO-Z:   0.8825  +- 0.0176  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.8576  
SIM_HOSTLIB_TRUEZ:  0.8600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12367  
SIM_DLMU:      43.688557  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0314   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.127  mag  (host extinction at 5510 A)
SIM_RV:         2.897   (CCM89 extinction parameter) 
SIM_PEAKMAG:   27.08  24.66  23.92  24.00  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56196.589844  days 
SIM_DELTA:      0.199  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.801  
SIM_MAGDIM:    0.441  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -9.91   days 
SIM_TRESTMAX:    66.45   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56197.023  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   9.396e+00   9.406e+00   1.00   25.068  102.932   28.742
OBS:  56178.195  r NULL  -1.361e+01   7.178e+00  -1.90  128.000    0.000   26.008
OBS:  56178.203  i NULL   8.772e+00   6.837e+00   1.28   25.142    1.641   25.201
OBS:  56178.211  z NULL   1.345e+00   7.920e+00   0.17   27.178  100.822   25.258
OBS:  56180.172  g NULL  -4.343e+00   4.014e+00  -1.08  128.000    0.000   28.316
OBS:  56180.188  r NULL   6.107e+00   3.180e+00   1.92   25.535    0.799   25.635
OBS:  56180.195  i NULL   6.918e+00   4.402e+00   1.57   25.400    1.100   24.859
OBS:  56180.203  z NULL   1.226e+01   4.970e+00   2.47   24.779    0.565   24.928
OBS:  56188.148  g NULL   9.778e+00   1.796e+01   0.54   25.024  102.976   27.020
OBS:  56188.289  r NULL   1.238e+01   4.013e+00   3.08   24.768    0.426   24.690
OBS:  56188.297  i NULL   1.425e+01   8.148e+00   1.75   24.615    0.922   24.081
OBS:  56188.312  z NULL   3.397e+01   5.434e+00   6.25   23.672    0.188   24.180
OBS:  56194.145  g NULL  -7.048e-01   4.682e+00  -0.15  128.000    0.000   26.932
OBS:  56194.156  r NULL   1.842e+01   2.788e+00   6.61   24.337    0.178   24.600
OBS:  56194.172  i NULL   3.178e+01   4.682e+00   6.79   23.745    0.173   23.924
OBS:  56194.188  z NULL   2.492e+01   4.492e+00   5.55   24.009    0.216   24.036
OBS:  56207.188  g NULL   5.749e+00   4.368e+00   1.32   25.601    1.547   28.271
OBS:  56207.195  r NULL   1.012e+01   3.468e+00   2.92   24.987    0.455   25.362
OBS:  56207.203  i NULL   2.304e+01   6.268e+00   3.68   24.094    0.345   24.241
OBS:  56207.219  z NULL   2.388e+01   5.972e+00   4.00   24.055    0.312   24.142
OBS:  56215.195  g NULL  -2.849e-01   2.682e+00  -0.11  128.000    0.000   28.859
OBS:  56215.203  r NULL   2.752e+00   2.176e+00   1.26   26.401    1.699   25.963
OBS:  56215.211  i NULL   1.319e+01   2.654e+00   4.97   24.699    0.244   24.699
OBS:  56215.227  z NULL   1.862e+01   3.448e+00   5.40   24.325    0.222   24.456
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56221.090  g NULL  -1.240e+00   6.268e+00  -0.20  128.000    0.000   29.347
