SURVEY: DES   
SNID:   835976   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.79915 +- 0.04940  (Helio, z_best) 
REDSHIFT_FINAL:   0.79915 +- 0.04940  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10451 
HOST_GALAXY_PHOTO-Z:   0.7992  +- 0.0494  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      4   (non1a index) 
SIM_COMMENT:  SN Type = IIL , MODEL = NUGENT2L  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7945  
SIM_HOSTLIB_TRUEZ:  0.7900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10451  
SIM_DLMU:      43.483986  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0288   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.77  26.33  25.37  25.07  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56347.046875  days 
SIM_SALT2x0:   4.040e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.49   days 
SIM_TRESTMAX:     2.20   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56346.379  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56276.191  z NULL  -1.463e+00   3.402e+00  -0.43   99.000    5.000   97.598
OBS:  56282.160  g NULL   2.949e+00   3.403e+00   0.87   99.000    5.000   97.541
OBS:  56282.184  r NULL   4.875e-01   2.178e+00   0.22   99.000    5.000   97.508
OBS:  56287.160  i NULL  -3.726e+00   4.986e+00  -0.75   99.000    5.000   97.539
OBS:  56287.191  z NULL  -4.403e+00   3.895e+00  -1.13   99.000    5.000   97.598
OBS:  56289.035  g NULL   4.541e+00   1.189e+01   0.38   99.000    5.000   97.541
OBS:  56289.043  r NULL  -1.852e+00   4.183e+00  -0.44   99.000    5.000   97.508
OBS:  56289.152  i NULL   6.429e+00   4.329e+00   1.49   99.000    5.000   97.539
OBS:  56289.176  z NULL   8.494e-01   4.464e+00   0.19   99.000    5.000   97.598
OBS:  56297.039  g NULL   2.199e-01   1.580e+00   0.14   99.000    5.000   97.541
OBS:  56297.047  r NULL   1.679e-01   1.219e+00   0.14   99.000    5.000   97.508
OBS:  56297.062  i NULL   1.643e+00   1.862e+00   0.88   99.000    5.000   97.539
OBS:  56297.090  z NULL   3.309e+00   2.120e+00   1.56   99.000    5.000   97.598
OBS:  56305.094  g NULL   4.799e-01   1.644e+00   0.29   99.000    5.000   97.541
OBS:  56305.102  r NULL  -5.395e-01   1.300e+00  -0.41   99.000    5.000   97.508
OBS:  56305.113  i NULL   4.520e-01   2.190e+00   0.21   99.000    5.000   97.539
OBS:  56306.043  z NULL  -9.893e-01   2.710e+00  -0.37   99.000    5.000   97.598
OBS:  56313.047  g NULL   3.606e+00   5.961e+00   0.60   99.000    5.000   97.541
OBS:  56313.055  r NULL   7.706e+00   2.528e+00   3.05   99.000    5.000   97.508
OBS:  56313.090  i NULL  -5.524e+00   3.080e+00  -1.79   99.000    5.000   97.539
OBS:  56317.066  z NULL  -1.127e+00   4.249e+00  -0.27  128.000    0.000   28.462
OBS:  56321.035  g NULL   3.747e+00   2.914e+00   1.29   26.066    1.632   28.442
OBS:  56321.043  r NULL   3.315e+00   1.367e+00   2.43   26.199    0.576   27.236
OBS:  56321.066  i NULL   2.123e+00   3.216e+00   0.66   26.682  101.318   26.988
OBS:  56326.039  z NULL   2.782e+00   2.607e+00   1.07   26.389    3.011   25.668
OBS:  56333.043  g NULL   6.992e-01   1.817e+00   0.38   27.889  100.111   27.744
OBS:  56333.051  r NULL   7.130e+00   1.393e+00   5.12   25.367    0.236   25.348
OBS:  56334.043  i NULL   1.822e+01   2.207e+00   8.26   24.348    0.140   24.553
OBS:  56335.043  z NULL   1.752e+01   3.397e+00   5.16   24.391    0.234   24.404
OBS:  56344.992  g NULL  -8.327e-01   4.327e+00  -0.19  128.000    0.000   28.504
OBS:  56345.000  r NULL   3.815e+00   1.864e+00   2.05   26.046    0.728   26.160
OBS:  56345.016  i NULL   8.372e+00   3.455e+00   2.42   25.193    0.578   25.252
OBS:  56345.992  z NULL   9.717e+00   3.704e+00   2.62   25.031    0.521   25.025
OBS:  56349.996  g NULL   3.537e+00   3.964e+00   0.89   26.128  101.872   29.360
OBS:  56350.004  r NULL   1.650e+00   2.058e+00   0.80   26.956  101.044   26.587
OBS:  56350.996  i NULL   1.127e+01   3.029e+00   3.72   24.871    0.339   25.590
END: 
