SURVEY: DES   
SNID:   837898   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.57784 +- 0.02640  (Helio, z_best) 
REDSHIFT_FINAL:   0.57784 +- 0.02640  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19180 
HOST_GALAXY_PHOTO-Z:   0.5778  +- 0.0264  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5915  
SIM_HOSTLIB_TRUEZ:  0.5900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19180  
SIM_DLMU:      42.701607  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0602   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.20  23.65  23.42  23.35  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56240.285156  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.318e-06   
SIM_SALT2x1:    0.0778   
SIM_SALT2c:     0.1539   
SIM_SALT2mB:   23.8206   
SIM_STRETCH:    1.078  
SIM_MAGDIM:    1.602  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.99   days 
SIM_TRESTMAX:    69.58   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56242.621  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 123 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   2.524e+00   1.048e+01   0.24   99.000    5.000   98.873
OBS:  56178.250  r NULL   1.119e+01   7.844e+00   1.43   99.000    5.000   99.118
OBS:  56178.266  i NULL  -1.909e+00   9.311e+00  -0.21   99.000    5.000   99.119
OBS:  56179.211  z NULL   6.718e+00   5.329e+00   1.26   99.000    5.000   99.143
OBS:  56180.219  g NULL   1.217e+00   3.205e+00   0.38   99.000    5.000   98.873
OBS:  56180.234  r NULL   5.654e-01   2.425e+00   0.23   99.000    5.000   99.118
OBS:  56180.250  i NULL  -2.286e+00   4.310e+00  -0.53   99.000    5.000   99.119
OBS:  56188.191  z NULL   3.346e+01   2.733e+01   1.22   99.000    5.000   99.143
OBS:  56188.340  g NULL  -1.253e+01   2.557e+01  -0.49   99.000    5.000   98.873
OBS:  56188.355  r NULL  -3.372e-01   4.152e+00  -0.08   99.000    5.000   99.118
OBS:  56189.195  i NULL   7.137e+01   3.098e+01   2.30   99.000    5.000   99.119
OBS:  56194.215  g NULL  -2.241e-01   4.763e+00  -0.05   99.000    5.000   98.873
OBS:  56194.223  r NULL   1.711e-02   5.400e+00   0.00   99.000    5.000   99.118
OBS:  56194.227  z NULL  -4.763e+00   6.541e+00  -0.73   99.000    5.000   99.143
OBS:  56200.234  i NULL  -2.365e+00   1.198e+01  -0.20   99.000    5.000   99.119
OBS:  56208.160  g NULL  -2.899e+00   2.972e+00  -0.98   99.000    5.000   98.873
OBS:  56208.176  r NULL   3.644e-01   2.428e+00   0.15   99.000    5.000   99.118
OBS:  56208.191  z NULL   6.181e-01   4.938e+00   0.13   99.000    5.000   99.143
OBS:  56210.156  i NULL  -1.796e+00   7.024e+00  -0.26  128.000    0.000   29.300
OBS:  56216.164  g NULL   7.625e-01   2.689e+00   0.28   27.794  100.206   27.477
OBS:  56216.176  r NULL   4.224e+00   2.041e+00   2.07   25.936    0.716   26.212
OBS:  56216.191  z NULL   2.494e+00   4.046e+00   0.62   26.508  101.492   25.903
OBS:  56219.211  i NULL   1.087e+01   3.000e+00   3.62   24.910    0.350   25.244
OBS:  56221.148  g NULL  -1.513e+00   1.592e+01  -0.10  128.000    0.000   26.286
OBS:  56221.160  r NULL   2.975e+00   6.056e+00   0.49   26.316  101.684   25.034
