SURVEY: DES   
SNID:   839152   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.50884 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.50884 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.50884 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19631 
HOST_GALAXY_PHOTO-Z:   0.5336  +- 0.0281  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      30   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-017564  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5079  
SIM_HOSTLIB_TRUEZ:  0.5100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19631  
SIM_DLMU:      42.302097  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0763   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.72  23.12  22.84  22.98  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56169.511719  days 
SIM_SALT2x0:   1.200e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     5.78   days 
SIM_TRESTMAX:    60.86   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56169.215  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 79 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   9.372e+01   1.069e+01   8.76   22.570    0.131   22.820
OBS:  56178.250  r NULL   8.005e+01   8.002e+00  10.00   22.742    0.114   23.001
OBS:  56178.266  i NULL   7.365e+01   9.431e+00   7.81   22.832    0.149   22.684
OBS:  56179.211  z NULL   8.115e+01   5.550e+00  14.62   22.727    0.077   22.722
OBS:  56180.219  g NULL   7.399e+01   3.674e+00  20.14   22.827    0.055   22.848
OBS:  56180.234  r NULL   6.462e+01   2.760e+00  23.41   22.974    0.047   22.983
OBS:  56180.250  i NULL   8.675e+01   4.642e+00  18.69   22.654    0.060   22.660
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.191  z NULL   7.522e+01   2.737e+01   2.75   22.809    0.492   22.560
OBS:  56188.340  g NULL   1.138e+02   2.586e+01   4.40   22.359    0.279   22.988
OBS:  56188.355  r NULL   6.911e+01   4.405e+00  15.69   22.901    0.071   22.930
OBS:  56189.195  i NULL   9.539e+01   3.104e+01   3.07   22.551    0.427   22.592
OBS:  56194.215  g NULL   5.662e+01   5.009e+00  11.30   23.118    0.101   23.084
OBS:  56194.223  r NULL   7.634e+01   5.652e+00  13.51   22.793    0.083   22.924
OBS:  56194.227  z NULL   9.203e+01   6.783e+00  13.57   22.590    0.084   22.492
OBS:  56200.234  i NULL   6.472e+01   1.206e+01   5.37   22.972    0.225   22.580
OBS:  56208.160  g NULL   4.170e+01   3.211e+00  12.99   23.450    0.088   23.306
OBS:  56208.176  r NULL   6.650e+01   2.782e+00  23.91   22.943    0.046   22.975
OBS:  56208.191  z NULL   1.052e+02   5.330e+00  19.74   22.445    0.056   22.438
OBS:  56210.156  i NULL   7.628e+01   7.193e+00  10.60   22.794    0.108   22.612
OBS:  56216.164  g NULL   5.030e+01   2.979e+00  16.89   23.246    0.065   23.420
OBS:  56216.176  r NULL   6.152e+01   2.392e+00  25.72   23.028    0.043   23.030
OBS:  56216.191  z NULL   1.012e+02   4.483e+00  22.58   22.487    0.049   22.455
