SURVEY: DES   
SNID:   849746   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.35783 +- 0.03260  (Helio, z_best) 
REDSHIFT_FINAL:   0.35783 +- 0.03260  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16120 
HOST_GALAXY_PHOTO-Z:   0.3578  +- 0.0326  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3681  
SIM_HOSTLIB_TRUEZ:  0.3700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16120  
SIM_DLMU:      41.472347  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0866   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.44  22.50  22.50  22.46  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56221.152344  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.420e-05   
SIM_SALT2x1:   -3.8157   
SIM_SALT2c:     0.0710   
SIM_SALT2mB:   22.7543   
SIM_MAGDIM:    1.765  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -31.37   days 
SIM_TRESTMAX:    66.49   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56222.809  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 103 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   5.441e+00   1.048e+01   0.52   99.000    5.000   98.944
OBS:  56178.250  r NULL   2.309e+00   7.841e+00   0.29   99.000    5.000   98.918
OBS:  56178.266  i NULL   9.457e+00   9.313e+00   1.02   99.000    5.000   98.952
OBS:  56179.211  z NULL  -6.153e-01   5.328e+00  -0.12   99.000    5.000   98.922
OBS:  56180.219  g NULL   2.860e+00   3.205e+00   0.89   99.000    5.000   98.944
OBS:  56180.234  r NULL  -3.428e-01   2.425e+00  -0.14   99.000    5.000   98.918
OBS:  56180.250  i NULL   3.385e+00   4.311e+00   0.79   99.000    5.000   98.952
OBS:  56188.191  z NULL   2.831e+01   2.733e+01   1.04   99.000    5.000   98.922
OBS:  56188.340  g NULL   4.538e+01   2.559e+01   1.77   99.000    5.000   98.944
OBS:  56188.355  r NULL  -8.321e-01   4.152e+00  -0.20   99.000    5.000   98.918
OBS:  56189.195  i NULL   2.843e+01   3.096e+01   0.92   99.000    5.000   98.952
OBS:  56194.215  g NULL   1.395e+00   4.764e+00   0.29   99.000    5.000   98.944
OBS:  56194.223  r NULL   2.659e+00   5.400e+00   0.49   99.000    5.000   98.918
OBS:  56194.227  z NULL   2.473e+00   6.541e+00   0.38   99.000    5.000   98.922
OBS:  56200.234  i NULL   1.627e+01   1.199e+01   1.36   99.000    5.000   98.952
OBS:  56208.160  g NULL   6.870e-01   2.975e+00   0.23   27.908  100.092   27.638
OBS:  56208.176  r NULL   1.699e+01   2.467e+00   6.89   24.425    0.171   24.301
OBS:  56208.191  z NULL   4.323e+01   5.010e+00   8.63   23.411    0.133   23.629
OBS:  56210.156  i NULL   4.000e+01   7.075e+00   5.65   23.495    0.211   23.600
OBS:  56216.164  g NULL   3.387e+01   2.879e+00  11.76   23.676    0.097   23.576
OBS:  56216.176  r NULL   8.599e+01   2.663e+00  32.29   22.664    0.035   22.625
OBS:  56216.191  z NULL   1.009e+02   4.479e+00  22.52   22.491    0.049   22.499
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56219.211  i NULL   9.479e+01   3.526e+00  26.88   22.558    0.041   22.557
OBS:  56221.148  g NULL   6.126e+01   1.603e+01   3.82   23.032    0.329   23.436
OBS:  56221.160  r NULL   9.944e+01   6.403e+00  15.53   22.506    0.072   22.497
OBS:  56221.176  z NULL   1.005e+02   1.553e+01   6.47   22.494    0.182   22.463
OBS:  56222.105  i NULL   1.100e+02   9.449e+00  11.64   22.396    0.097   22.483
OBS:  56222.312  g NULL   4.516e+01   4.302e+00  10.50   23.363    0.108   23.500
OBS:  56222.324  r NULL   8.243e+01   1.533e+01   5.38   22.710    0.224   22.507
OBS:  56222.340  z NULL   1.061e+02   4.092e+01   2.59   22.436    0.529   22.453
OBS:  56228.297  g NULL   4.193e+01   1.507e+01   2.78   23.444    0.483   23.994
OBS:  56228.305  r NULL   7.599e+01   5.708e+00  13.31   22.798    0.085   22.714
OBS:  56228.312  i NULL   9.278e+01   9.588e+00   9.68   22.581    0.118   22.614
OBS:  56228.320  z NULL   9.000e+01   6.050e+00  14.88   22.614    0.075   22.663
OBS:  56229.320  g NULL   4.394e+01   1.410e+01   3.12   23.393    0.419   24.076
OBS:  56229.332  r NULL   8.282e+01   7.439e+00  11.13   22.705    0.102   22.774
OBS:  56229.348  i NULL   6.375e+01   1.301e+01   4.90   22.989    0.249   22.683
OBS:  56230.070  z NULL   7.208e+01   7.268e+00   9.92   22.855    0.116   22.819
OBS:  56230.316  g NULL  -3.681e-01   1.370e+01  -0.03  128.000    0.000   24.164
OBS:  56230.328  r NULL   7.523e+01   6.844e+00  10.99   22.809    0.103   22.835
OBS:  56230.344  i NULL   7.847e+01   1.249e+01   6.28   22.763    0.188   22.747
OBS:  56231.301  g NULL   7.811e+00   1.168e+01   0.67   25.268  102.732   24.258
OBS:  56231.316  r NULL   6.667e+01   6.173e+00  10.80   22.940    0.106   22.899
OBS:  56231.328  i NULL   1.003e+02   1.065e+01   9.42   22.496    0.121   22.811
OBS:  56231.344  z NULL   6.675e+01   5.932e+00  11.25   22.939    0.101   22.922
OBS:  56235.297  g NULL   1.370e+01   9.654e+00   1.42   24.658    1.324   24.773
OBS:  56235.312  r NULL   5.237e+01   4.789e+00  10.94   23.202    0.104   23.207
OBS:  56235.324  i NULL   4.738e+01   6.718e+00   7.05   23.311    0.167   23.064
OBS:  56235.340  z NULL   5.086e+01   6.823e+00   7.45   23.234    0.157   23.147
OBS:  56236.312  g NULL   8.730e+00   7.825e+00   1.12   25.148    2.462   24.943
OBS:  56236.324  r NULL   5.234e+01   3.883e+00  13.48   23.203    0.083   23.299
OBS:  56236.340  i NULL   6.114e+01   6.205e+00   9.85   23.034    0.116   23.121
OBS:  56237.074  z NULL   5.736e+01   7.099e+00   8.08   23.103    0.143   23.197
OBS:  56237.340  g NULL   9.598e+00   1.183e+01   0.81   25.045  102.955   25.127
OBS:  56238.051  r NULL   3.495e+01   4.383e+00   7.98   23.641    0.146   23.473
OBS:  56238.059  i NULL   5.475e+01   5.581e+00   9.81   23.154    0.117   23.194
OBS:  56238.340  g NULL   9.651e+00   1.064e+01   0.91   25.039  102.961   25.321
OBS:  56243.047  z NULL   4.905e+01   8.382e+00   5.85   23.273    0.204   23.183
OBS:  56243.320  g NULL   8.732e+00   4.208e+00   2.08   25.147    0.713   26.556
OBS:  56243.336  r NULL   2.720e+01   3.352e+00   8.12   23.914    0.142   24.178
OBS:  56244.039  i NULL   4.531e+01   7.097e+00   6.38   23.359    0.185   23.315
OBS:  56244.309  g NULL   4.911e+00   4.128e+00   1.19   25.772    1.992   26.764
OBS:  56244.320  r NULL   1.782e+01   3.255e+00   5.47   24.373    0.219   24.321
OBS:  56245.047  z NULL   6.930e+01   5.183e+00  13.37   22.898    0.083   23.171
OBS:  56245.320  g NULL   2.431e+00   4.235e+00   0.57   26.536  101.464   26.829
OBS:  56246.055  r NULL   1.484e+01   2.414e+00   6.15   24.572    0.193   24.539
OBS:  56246.070  i NULL   4.434e+01   3.995e+00  11.10   23.383    0.102   23.398
OBS:  56247.223  g NULL   9.597e-01   2.986e+00   0.32   27.545  100.455   26.789
OBS:  56247.230  z NULL   4.475e+01   4.475e+00  10.00   23.373    0.115   23.171
OBS:  56248.305  r NULL   1.038e+01   2.394e+00   4.33   24.960    0.285   24.766
OBS:  56248.316  i NULL   4.052e+01   4.313e+00   9.39   23.481    0.122   23.528
