SURVEY: DES   
SNID:   850991   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.44847 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.44847 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.44847 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15064 
HOST_GALAXY_PHOTO-Z:   0.4608  +- 0.0347  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      21   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-014450  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.4521  
SIM_HOSTLIB_TRUEZ:  0.4500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15064  
SIM_DLMU:      41.999874  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0110   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.39  23.54  23.42  23.52  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56152.054688  days 
SIM_SALT2x0:   1.585e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    16.62   days 
SIM_TRESTMAX:    66.31   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56152.395  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 98 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   1.561e+01   4.777e+00   3.27   24.516    0.396   25.565
OBS:  56176.199  r NULL   2.311e+01   2.181e+00  10.60   24.091    0.108   24.048
OBS:  56176.215  i NULL   3.426e+01   3.216e+00  10.65   23.663    0.107   23.769
OBS:  56176.238  z NULL   4.105e+01   2.602e+00  15.77   23.467    0.071   23.450
OBS:  56179.188  g NULL  -3.566e-01   2.589e+00  -0.14  128.000    0.000   25.915
OBS:  56179.195  r NULL   2.408e+01   1.776e+00  13.56   24.046    0.083   24.133
OBS:  56179.234  i NULL   3.073e+01   2.074e+00  14.81   23.781    0.076   23.806
OBS:  56179.266  z NULL   4.032e+01   3.807e+00  10.59   23.486    0.108   23.503
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   6.108e+00   2.557e+00   2.39   25.535    0.588   26.042
OBS:  56180.281  r NULL   2.177e+01   1.375e+00  15.83   24.155    0.071   24.166
OBS:  56180.297  i NULL   2.911e+01   3.729e+00   7.81   23.840    0.149   23.819
OBS:  56180.328  z NULL   3.508e+01   4.536e+00   7.73   23.637    0.151   23.523
OBS:  56188.160  g NULL   4.290e-01   5.685e+00   0.08   28.419   99.581   26.870
OBS:  56188.176  r NULL   1.027e+01   5.580e+00   1.84   24.971    0.852   24.417
OBS:  56188.211  i NULL   2.781e+01   4.556e+00   6.10   23.889    0.194   23.921
OBS:  56188.238  z NULL   2.847e+01   3.443e+00   8.27   23.864    0.141   23.685
OBS:  56189.254  g NULL  -1.023e+00   2.286e+00  -0.45  128.000    0.000   26.987
OBS:  56189.270  r NULL   1.362e+01   3.285e+00   4.15   24.664    0.300   24.455
OBS:  56189.281  i NULL   1.676e+01   9.057e+00   1.85   24.439    0.845   23.936
OBS:  56189.312  z NULL   2.855e+01   3.016e+00   9.47   23.861    0.122   23.710
OBS:  56194.258  g NULL   1.135e+00   2.637e+00   0.43   27.363  100.637   27.517
OBS:  56194.270  r NULL   1.333e+01   1.516e+00   8.79   24.688    0.131   24.634
