SURVEY: DES   
SNID:   854242   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.47766 +- 0.02290  (Helio, z_best) 
REDSHIFT_FINAL:   0.47766 +- 0.02290  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12220 
HOST_GALAXY_PHOTO-Z:   0.4777  +- 0.0229  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      19   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-013376  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.5234  
SIM_HOSTLIB_TRUEZ:  0.5200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12220  
SIM_DLMU:      42.380344  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0100   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.88  24.44  24.60  24.51  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56183.738281  days 
SIM_SALT2x0:   1.117e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -8.33   days 
SIM_TRESTMAX:    68.49   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56184.801  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 85 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   4.069e+00   7.808e+01   0.05   25.976  102.024   26.873
OBS:  56172.039  r NULL  -1.579e+01   1.759e+01  -0.90  128.000    0.000   27.242
OBS:  56172.051  i NULL  -3.819e+00   4.995e+01  -0.08  128.000    0.000   27.736
OBS:  56176.160  z NULL   4.025e+00   3.583e+00   1.12   25.988    2.397   26.305
OBS:  56179.023  g NULL   1.723e+01   6.402e+00   2.69   24.410    0.504   24.818
OBS:  56179.031  r NULL   1.754e+01   4.350e+00   4.03   24.390    0.309   24.823
OBS:  56179.047  i NULL   2.123e+00   7.142e+00   0.30   26.682  101.318   25.197
OBS:  56179.062  z NULL   6.847e+00   8.140e+00   0.84   25.411  102.589   25.114
OBS:  56180.031  g NULL   1.003e+01   5.696e+00   1.76   24.996    0.911   24.812
OBS:  56180.047  r NULL   1.661e+01   4.511e+00   3.68   24.449    0.344   24.684
OBS:  56180.062  i NULL   7.689e+00   6.742e+00   1.14   25.285    2.275   25.020
OBS:  56180.078  z NULL   1.093e+01   1.017e+01   1.08   24.903    2.885   24.885
OBS:  56188.004  g NULL   1.508e+01   5.701e+00   2.65   24.554    0.515   25.000
OBS:  56188.016  r NULL   8.028e+00   4.380e+00   1.83   25.239    0.859   24.467
OBS:  56188.027  i NULL   2.069e+01   6.478e+00   3.19   24.210    0.407   24.555
OBS:  56188.035  z NULL   1.694e+01   6.481e+00   2.61   24.428    0.523   24.527
OBS:  56189.004  g NULL   1.671e+01   5.672e+00   2.95   24.443    0.450   25.027
OBS:  56189.016  r NULL   1.301e+01   4.346e+00   2.99   24.714    0.442   24.485
OBS:  56189.027  i NULL   2.391e+01   6.426e+00   3.72   24.053    0.339   24.581
OBS:  56189.035  z NULL   1.442e+01   6.414e+00   2.25   24.603    0.639   24.539
OBS:  56194.012  g NULL   9.155e+00   6.216e+00   1.47   25.096    1.234   25.197
OBS:  56194.016  r NULL   2.008e+01   3.617e+00   5.55   24.243    0.215   24.581
OBS:  56194.023  i NULL   6.618e+00   6.156e+00   1.08   25.448    2.897   24.747
OBS:  56194.031  z NULL   5.329e+01   1.512e+01   3.53   23.183    0.361   24.582
OBS:  56198.992  g NULL   2.268e+01   1.869e+01   1.21   24.111    1.886   25.441
OBS:  56199.000  r NULL   2.185e+01   9.061e+00   2.41   24.151    0.581   24.673
OBS:  56199.008  i NULL  -1.241e+01   1.181e+01  -1.05  128.000    0.000   24.838
OBS:  56199.016  z NULL   1.643e+01   7.702e+00   2.13   24.461    0.687   24.596
OBS:  56199.039  g NULL   2.316e+01   3.349e+01   0.69   24.088  103.912   25.443
OBS:  56208.215  g NULL   7.266e+00   2.675e+00   2.72   25.347    0.498   25.917
OBS:  56208.223  r NULL   1.427e+01   1.799e+00   7.93   24.614    0.146   24.890
OBS:  56208.238  i NULL   1.001e+01   2.968e+00   3.37   24.999    0.382   24.937
OBS:  56209.160  z NULL   1.986e+01   3.266e+00   6.08   24.255    0.194   24.628
OBS:  56216.215  g NULL   4.012e+00   2.476e+00   1.62   25.992    1.042   26.385
OBS:  56216.223  r NULL   1.021e+01   1.901e+00   5.37   24.977    0.223   25.119
OBS:  56216.230  i NULL   4.200e+00   3.022e+00   1.39   25.942    1.385   24.972
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56218.152  z NULL   1.380e+01   2.688e+00   5.13   24.650    0.235   24.664
OBS:  56221.004  g NULL   1.593e+00   5.229e+00   0.30   26.995  101.005   26.698
OBS:  56221.016  r NULL   5.027e+00   3.584e+00   1.40   25.747    1.356   25.263
OBS:  56221.027  i NULL   1.213e+01   5.478e+00   2.21   24.790    0.652   24.980
OBS:  56221.035  z NULL   9.193e+00   5.408e+00   1.70   25.091    0.964   24.676
OBS:  56222.016  g NULL   1.502e+01   6.251e+00   2.40   24.558    0.584   26.770
OBS:  56222.027  r NULL   5.624e+00   3.625e+00   1.55   25.625    1.124   25.293
OBS:  56222.035  i NULL   8.973e+00   4.929e+00   1.82   25.118    0.865   24.980
OBS:  56228.012  z NULL   1.052e+01   5.551e+00   1.90   24.945    0.814   24.703
OBS:  56229.012  g NULL   6.464e+00   9.819e+00   0.66   25.474  102.526   27.264
OBS:  56229.016  r NULL   7.871e+00   4.324e+00   1.82   25.260    0.865   25.490
OBS:  56229.023  i NULL   1.517e+01   7.817e+00   1.94   24.548    0.786   24.973
OBS:  56230.012  z NULL   1.852e+01   4.928e+00   3.76   24.331    0.335   24.712
OBS:  56231.012  g NULL   1.564e+00   6.916e+00   0.23   27.014  100.986   27.426
OBS:  56231.020  r NULL  -2.856e-01   2.789e+00  -0.10  128.000    0.000   25.550
OBS:  56231.027  i NULL   8.164e+00   4.079e+00   2.00   25.220    0.752   24.972
OBS:  56235.020  z NULL   1.266e+01   5.696e+00   2.22   24.744    0.649   24.737
OBS:  56236.027  g NULL   4.017e+00   5.174e+00   0.78   25.990  102.010   27.835
OBS:  56236.035  r NULL   7.266e+00   5.385e+00   1.35   25.347    1.467   25.689
OBS:  56236.039  i NULL  -2.062e-01   7.623e+00  -0.03  128.000    0.000   24.967
OBS:  56237.023  z NULL   1.538e+01   5.134e+00   3.00   24.532    0.441   24.747
OBS:  56238.023  g NULL   2.664e+00   3.614e+00   0.74   26.436  101.564   28.010
OBS:  56238.031  r NULL   7.003e+00   2.793e+00   2.51   25.387    0.552   25.744
OBS:  56238.039  i NULL   2.996e+00   4.814e+00   0.62   26.309  101.691   24.964
OBS:  56243.070  z NULL   6.866e+00   5.347e+00   1.28   25.408    1.641   24.784
OBS:  56244.047  g NULL   4.398e-01   4.183e+00   0.11   28.392   99.608   28.610
OBS:  56244.055  r NULL   1.482e+00   2.827e+00   0.52   27.073  100.927   25.908
OBS:  56244.070  i NULL   5.976e+00   4.413e+00   1.35   25.559    1.459   24.953
OBS:  56245.027  z NULL   1.900e+01   3.560e+00   5.34   24.303    0.224   24.796
OBS:  56246.082  g NULL   2.279e+00   2.834e+00   0.80   26.606  101.394   28.831
OBS:  56246.098  r NULL   5.091e+00   2.470e+00   2.06   25.733    0.720   25.961
OBS:  56246.109  i NULL   1.222e+01   5.444e+00   2.24   24.783    0.640   24.949
OBS:  56247.250  z NULL   9.072e+00   6.296e+00   1.44   25.106    1.286   24.811
OBS:  56254.199  g NULL   1.175e+01   6.134e+00   1.91   24.825    0.801   29.974
OBS:  56254.211  r NULL   2.846e+00   3.377e+00   0.84   26.365  101.635   26.181
OBS:  56254.227  i NULL   1.759e+01   6.223e+00   2.83   24.387    0.474   24.930
OBS:  56258.191  z NULL   6.918e+00   5.865e+00   1.18   25.400    2.046   24.890
OBS:  56261.066  g NULL   9.297e+00   6.915e+00   1.34   25.079    1.478   31.670
OBS:  56261.082  r NULL  -8.579e-01   4.058e+00  -0.21  128.000    0.000   26.371
OBS:  56261.090  i NULL   1.772e+01   8.224e+00   2.15   24.379    0.677   24.915
OBS:  56266.156  z NULL   1.193e+01   5.288e+00   2.26   24.809    0.636   24.939
OBS:  56276.152  g NULL  -2.899e-01   4.036e+00  -0.07  128.000    0.000   33.100
OBS:  56276.172  r NULL   6.550e+00   2.888e+00   2.27   25.459    0.631   26.599
OBS:  56277.164  i NULL   1.016e+01   3.552e+00   2.86   24.983    0.467   24.920
OBS:  56278.164  z NULL   1.258e+01   4.292e+00   2.93   24.751    0.453   25.014
OBS:  56288.035  g NULL   9.251e+00   1.450e+01   0.64   25.084  102.916   33.632
OBS:  56288.043  r NULL   9.496e+00   5.404e+00   1.76   25.056    0.913   26.700
OBS:  56288.051  i NULL   3.990e+00   5.983e+00   0.67   25.997  102.003   24.949
OBS:  56288.066  z NULL   5.592e+00   6.736e+00   0.83   25.631  102.369   25.084
END: 
