SURVEY: DES   
SNID:   854976   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.79009 +- 0.02250  (Helio, z_best) 
REDSHIFT_FINAL:   0.79009 +- 0.02250  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14896 
HOST_GALAXY_PHOTO-Z:   0.7901  +- 0.0225  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.7906  
SIM_HOSTLIB_TRUEZ:  0.7900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14896  
SIM_DLMU:      43.470963  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0126   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.80  23.81  23.11  23.41  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56168.710938  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.510e-06   
SIM_SALT2x1:   -0.8045   
SIM_SALT2c:    -0.0609   
SIM_SALT2mB:   23.9995   
SIM_STRETCH:    0.196  
SIM_MAGDIM:    1.012  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     1.31   days 
SIM_TRESTMAX:    68.92   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56169.785  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 87 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   2.467e+01   7.809e+01   0.32   24.019  103.980   25.921
OBS:  56172.039  r NULL   3.139e+01   1.760e+01   1.78   23.758    0.893   23.949
OBS:  56172.051  i NULL   4.304e+01   4.996e+01   0.86   23.415  104.585   23.151
OBS:  56176.160  z NULL   4.498e+01   3.688e+00  12.20   23.367    0.093   23.447
OBS:  56179.023  g NULL  -6.847e+00   6.381e+00  -1.07  128.000    0.000   26.552
OBS:  56179.031  r NULL   2.915e+01   4.376e+00   6.66   23.838    0.176   24.294
OBS:  56179.047  i NULL   3.473e+01   7.183e+00   4.84   23.648    0.252   23.369
OBS:  56179.062  z NULL   4.267e+01   8.182e+00   5.22   23.425    0.231   23.495
OBS:  56180.031  g NULL   1.746e+00   5.675e+00   0.31   26.895  101.105   26.645
OBS:  56180.047  r NULL   1.336e+01   4.510e+00   2.96   24.685    0.448   24.348
OBS:  56180.062  i NULL   3.795e+01   6.788e+00   5.59   23.552    0.214   23.414
OBS:  56180.078  z NULL   4.414e+01   1.020e+01   4.33   23.388    0.285   23.516
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.004  g NULL   6.513e+00   5.680e+00   1.15   25.466    2.232   26.996
OBS:  56188.016  r NULL   9.098e+00   4.378e+00   2.08   25.103    0.713   24.902
OBS:  56188.027  i NULL   3.166e+01   6.499e+00   4.87   23.749    0.249   23.832
OBS:  56188.035  z NULL   3.879e+01   6.516e+00   5.95   23.528    0.199   23.753
OBS:  56189.004  g NULL   3.860e+00   5.649e+00   0.68   26.034  101.966   27.036
OBS:  56189.016  r NULL   7.563e+00   4.338e+00   1.74   25.303    0.926   24.986
OBS:  56189.027  i NULL   2.622e+01   6.434e+00   4.07   23.954    0.306   23.893
OBS:  56189.035  z NULL   2.368e+01   6.426e+00   3.69   24.064    0.344   23.789
OBS:  56194.012  g NULL  -2.739e+00   6.201e+00  -0.44  128.000    0.000   27.588
OBS:  56194.016  r NULL   6.493e+00   3.592e+00   1.81   25.469    0.875   25.430
OBS:  56194.023  i NULL   2.209e+01   6.173e+00   3.58   24.140    0.356   24.228
OBS:  56194.031  z NULL   2.357e+01   1.509e+01   1.56   24.069    1.110   23.975
OBS:  56198.992  g NULL   2.394e+01   1.869e+01   1.28   24.052    1.647   28.884
OBS:  56199.000  r NULL   1.252e+01   9.052e+00   1.38   24.756    1.393   25.896
