SURVEY: DES   
SNID:   854978   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   1.04538 +- 0.05010  (Helio, z_best) 
REDSHIFT_FINAL:   1.04538 +- 0.05010  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10217 
HOST_GALAXY_PHOTO-Z:   1.0454  +- 0.0501  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  1.0677  
SIM_HOSTLIB_TRUEZ:  1.0700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10217  
SIM_DLMU:      44.276096  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0219   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   99.64  26.26  24.73  24.41  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56175.164062  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.261e-06   
SIM_SALT2x1:   -1.0898   
SIM_SALT2c:     0.1102   
SIM_SALT2mB:   25.3835   
SIM_MAGDIM:    1.590  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     0.97   days 
SIM_TRESTMAX:    68.63   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56176.496  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -7.316e+00   4.788e+00  -1.53   99.000    5.000   99.643
OBS:  56177.188  r NULL   2.123e+00   5.335e+00   0.40   26.683  101.317   26.375
OBS:  56177.203  i NULL   1.379e+01   5.443e+00   2.53   24.651    0.545   24.771
OBS:  56177.234  z NULL   1.119e+01   4.697e+00   2.38   24.878    0.592   24.424
OBS:  56179.172  g NULL   1.352e+00   2.238e+00   0.60   99.000    5.000   99.643
OBS:  56179.312  r NULL   3.875e+00   3.031e+00   1.28   26.029    1.654   26.527
OBS:  56179.328  i NULL   2.178e+01   4.221e+00   5.16   24.155    0.233   24.833
OBS:  56179.359  z NULL   1.820e+01   3.535e+00   5.15   24.350    0.234   24.453
OBS:  56187.156  g NULL  -3.074e-01   1.702e+00  -0.18   99.000    5.000   99.643
OBS:  56187.172  r NULL   1.227e+00   1.252e+00   0.98   27.277  100.723   27.032
OBS:  56187.188  i NULL   9.874e+00   1.909e+00   5.17   25.014    0.233   25.161
OBS:  56187.211  z NULL   1.464e+01   2.194e+00   6.67   24.586    0.176   24.645
OBS:  56189.148  g NULL   3.072e-01   9.760e+00   0.03   99.000    5.000   99.643
OBS:  56189.160  r NULL   8.972e-01   3.876e+00   0.23   27.618  100.382   27.140
OBS:  56189.176  i NULL   1.326e+01   8.076e+00   1.64   24.694    1.019   25.264
OBS:  56189.203  z NULL   8.836e+00   4.696e+00   1.88   25.134    0.824   24.712
OBS:  56194.121  g NULL   2.351e+00   3.771e+00   0.62   99.000    5.000   99.643
OBS:  56194.129  r NULL   1.569e+00   2.350e+00   0.67   27.011  100.989   27.389
OBS:  56200.156  i NULL   2.890e+00   8.066e+00   0.36   26.348  101.652   25.940
OBS:  56200.180  z NULL   5.169e+00   5.636e+00   0.92   25.716  102.284   25.218
OBS:  56207.156  g NULL   1.544e+00   2.280e+00   0.68   99.000    5.000   99.643
OBS:  56207.172  r NULL   2.782e+00   1.604e+00   1.73   26.389    0.933   28.253
OBS:  56209.191  i NULL  -1.938e+00   2.140e+00  -0.91  128.000    0.000   26.600
OBS:  56209.215  z NULL   3.307e+00   2.202e+00   1.50   26.201    1.191   25.775
OBS:  56215.164  g NULL  -1.540e+00   1.595e+00  -0.97   99.000    5.000   99.643
OBS:  56215.180  r NULL   2.188e+00   1.097e+00   1.99   26.650    0.755   28.749
OBS:  56217.152  i NULL  -3.877e-02   1.396e+00  -0.03  128.000    0.000   27.063
OBS:  56217.191  z NULL   3.739e+00   1.818e+00   2.06   26.068    0.723   26.239
OBS:  56221.062  g NULL   7.243e-01   4.488e+00   0.16   99.000    5.000   99.643
OBS:  56221.074  r NULL   1.178e+00   3.581e+00   0.33   27.322  100.678   28.986
OBS:  56221.195  i NULL   2.817e+00   1.345e+01   0.21   26.375  101.625   27.361
OBS:  56221.227  z NULL   6.305e+00   4.015e+00   1.57   25.501    1.099   26.409
OBS:  56222.047  g NULL   1.023e+01   6.422e+00   1.59   99.000    5.000   99.643
OBS:  56222.062  r NULL   1.526e-01   3.125e+00   0.05   29.541   98.459   29.027
OBS:  56222.191  i NULL  -1.621e+01   9.795e+00  -1.65  128.000    0.000   27.435
OBS:  56222.211  z NULL   6.144e-01   4.835e+00   0.13   28.029   99.971   26.447
OBS:  56228.031  g NULL  -1.503e+01   2.612e+01  -0.58   99.000    5.000   99.643
OBS:  56228.047  r NULL   2.249e+01   1.165e+01   1.93   24.120    0.791   29.321
OBS:  56228.156  i NULL  -4.441e+00   5.179e+00  -0.86  128.000    0.000   27.697
OBS:  56228.188  z NULL   1.562e+00   2.843e+00   0.55   27.016  100.984   26.710
OBS:  56229.031  g NULL   1.031e+01   3.074e+01   0.34   99.000    5.000   99.643
OBS:  56229.156  r NULL  -8.045e-01   3.595e+00  -0.22  128.000    0.000   29.386
OBS:  56229.172  i NULL   2.857e+00   7.053e+00   0.41   26.360  101.640   27.714
OBS:  56229.199  z NULL   5.657e+00   2.927e+00   1.93   25.618    0.790   26.759
OBS:  56230.035  g NULL  -1.315e+01   9.318e+00  -1.41   99.000    5.000   99.643
OBS:  56230.043  r NULL   3.918e+00   3.864e+00   1.01   26.017    4.646   29.441
OBS:  56230.191  i NULL   3.172e-01   6.318e+00   0.05   28.747   99.253   27.724
OBS:  56230.215  z NULL   7.801e+00   2.925e+00   2.67   25.270    0.509   26.807
OBS:  56231.035  g NULL  -1.719e+00   7.694e+00  -0.22   99.000    5.000   99.643
OBS:  56231.156  r NULL   1.138e+00   2.654e+00   0.43   27.360  100.640   29.514
OBS:  56231.172  i NULL   9.749e-01   4.791e+00   0.20   27.528  100.472   27.735
OBS:  56231.191  z NULL   3.691e-01   3.017e+00   0.12   28.582   99.418   26.854
OBS:  56235.145  g NULL  -1.109e+00   3.787e+00  -0.29   99.000    5.000   99.643
OBS:  56235.160  r NULL  -2.703e+00   1.757e+00  -1.54  128.000    0.000   29.830
OBS:  56235.172  i NULL   2.087e+00   3.200e+00   0.65   26.701  101.299   27.829
OBS:  56235.195  z NULL   4.122e+00   2.937e+00   1.40   25.962    1.352   27.004
OBS:  56236.160  g NULL  -4.102e-01   2.000e+00  -0.21   99.000    5.000   99.643
OBS:  56236.172  r NULL  -2.306e+00   1.875e+00  -1.23  128.000    0.000   29.926
OBS:  56236.188  i NULL  -2.472e+00   2.784e+00  -0.89  128.000    0.000   27.864
OBS:  56236.207  z NULL  -5.475e-01   3.190e+00  -0.17  128.000    0.000   27.031
OBS:  56237.176  g NULL  -4.984e+00   3.440e+00  -1.45   99.000    5.000   99.643
OBS:  56237.188  r NULL   9.577e-01   2.252e+00   0.43   27.547  100.453   30.033
OBS:  56237.207  i NULL  -1.803e+00   2.862e+00  -0.63  128.000    0.000   27.902
OBS:  56237.238  z NULL   2.664e+00   3.868e+00   0.69   26.436  101.564   27.059
OBS:  56238.188  g NULL   4.570e+00   2.971e+00   1.54   99.000    5.000   99.643
OBS:  56238.199  r NULL   4.952e-01   2.023e+00   0.24   28.263   99.737   30.151
OBS:  56238.219  i NULL  -4.513e-01   3.235e+00  -0.14  128.000    0.000   27.946
OBS:  56238.250  z NULL   3.778e+00   4.862e+00   0.78   26.057  101.943   27.079
OBS:  56243.203  g NULL  -1.725e+00   1.689e+00  -1.02   99.000    5.000   99.643
OBS:  56243.211  r NULL  -1.146e+00   1.224e+00  -0.94  128.000    0.000   30.783
OBS:  56243.223  i NULL   9.453e-01   1.848e+00   0.51   27.561  100.439   28.212
OBS:  56243.250  z NULL  -1.987e+00   2.416e+00  -0.82  128.000    0.000   27.149
OBS:  56244.180  g NULL   3.840e-01   1.782e+00   0.22   99.000    5.000   99.643
OBS:  56244.188  r NULL  -1.966e-01   1.373e+00  -0.14  128.000    0.000   30.768
OBS:  56244.203  i NULL   6.117e-01   1.987e+00   0.31   28.034   99.966   28.261
OBS:  56244.223  z NULL   3.729e+00   2.232e+00   1.67   26.071    0.990   27.162
OBS:  56245.191  g NULL  -2.785e+00   4.785e+00  -0.58   99.000    5.000   99.643
OBS:  56245.199  r NULL  -3.394e-02   1.174e+00  -0.03  128.000    0.000   30.727
OBS:  56245.219  i NULL  -4.237e-02   2.077e+00  -0.02  128.000    0.000   28.312
OBS:  56245.246  z NULL   4.204e+00   5.918e+00   0.71   25.941  102.059   27.176
OBS:  56246.234  g NULL  -5.224e-02   1.999e+00  -0.03   99.000    5.000   99.643
OBS:  56246.246  r NULL   2.782e+00   3.167e+00   0.88   26.389  101.611   30.601
OBS:  56246.262  i NULL  -5.887e+00   5.641e+00  -1.04  128.000    0.000   28.359
OBS:  56246.285  z NULL  -1.100e+01   1.277e+01  -0.86  128.000    0.000   27.192
OBS:  56248.207  g NULL   3.607e+00   1.753e+00   2.06   99.000    5.000   99.643
OBS:  56248.215  r NULL   1.629e+00   1.325e+00   1.23   26.970    1.821   30.304
OBS:  56248.230  i NULL   2.925e+00   2.207e+00   1.33   26.335    1.523   28.441
OBS:  56248.250  z NULL   2.740e+00   3.030e+00   0.90   26.406  101.594   27.222
OBS:  56258.242  g NULL   8.854e+00   8.082e+00   1.10   99.000    5.000   99.643
OBS:  56258.258  r NULL  -5.246e+00   4.419e+00  -1.19  128.000    0.000   28.929
OBS:  56259.160  i NULL   5.886e-01   4.540e+00   0.13   28.075   99.925   28.635
OBS:  56259.180  z NULL   1.285e-01   3.059e+00   0.04   29.728   98.272   27.430
OBS:  56261.215  g NULL   2.317e+00   3.958e+00   0.59   99.000    5.000   99.643
OBS:  56261.230  r NULL  -3.416e+00   1.854e+00  -1.84  128.000    0.000   28.863
OBS:  56267.156  i NULL   1.599e+00   2.211e+00   0.72   26.990  101.010   28.528
OBS:  56267.180  z NULL   4.966e+00   3.050e+00   1.63   25.760    1.033   27.602
OBS:  56274.160  g NULL   8.864e-01   2.033e+00   0.44   99.000    5.000   99.643
OBS:  56274.176  r NULL  -1.371e+00   1.444e+00  -0.95  128.000    0.000   33.269
OBS:  56275.223  i NULL  -2.712e+00   3.008e+00  -0.90  128.000    0.000   28.340
OBS:  56276.191  z NULL  -2.364e-02   3.402e+00  -0.01  128.000    0.000   27.797
OBS:  56282.160  g NULL   5.872e-01   3.403e+00   0.17   99.000    5.000   99.643
OBS:  56282.184  r NULL   2.187e+00   2.178e+00   1.00   99.000    5.000   98.814
OBS:  56287.160  i NULL   4.398e+00   4.986e+00   0.88   25.892  102.108   28.309
OBS:  56287.191  z NULL  -4.442e+00   3.895e+00  -1.14  128.000    0.000   27.805
OBS:  56289.035  g NULL   7.560e+00   1.189e+01   0.64   99.000    5.000   99.643
OBS:  56289.043  r NULL   4.581e+00   4.184e+00   1.09   99.000    5.000   98.814
OBS:  56289.152  i NULL  -1.960e+00   4.327e+00  -0.45  128.000    0.000   28.309
OBS:  56289.176  z NULL   7.056e-01   4.464e+00   0.16   27.879  100.121   27.805
OBS:  56297.039  g NULL   9.166e-01   1.580e+00   0.58   99.000    5.000   99.643
OBS:  56297.047  r NULL   6.299e-01   1.219e+00   0.52   99.000    5.000   98.814
OBS:  56297.062  i NULL   7.451e-01   1.862e+00   0.40   27.819  100.181   28.309
OBS:  56297.090  z NULL  -1.005e+00   2.119e+00  -0.47  128.000    0.000   27.805
OBS:  56305.094  g NULL   8.493e-01   1.644e+00   0.52   99.000    5.000   99.643
OBS:  56305.102  r NULL  -7.373e-01   1.300e+00  -0.57   99.000    5.000   98.814
OBS:  56305.113  i NULL   4.301e+00   2.192e+00   1.96   25.916    0.773   28.309
OBS:  56306.043  z NULL   4.009e+00   2.711e+00   1.48   25.992    1.224   27.805
OBS:  56313.047  g NULL   7.804e+00   5.962e+00   1.31   99.000    5.000   99.643
OBS:  56313.055  r NULL   1.469e+00   2.524e+00   0.58   99.000    5.000   98.814
OBS:  56313.090  i NULL  -1.516e+00   3.078e+00  -0.49  128.000    0.000   28.309
OBS:  56317.066  z NULL  -3.210e+00   4.250e+00  -0.76  128.000    0.000   27.805
END: 
