SURVEY: DES   
SNID:   858020   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.44661 +- 0.02890  (Helio, z_best) 
REDSHIFT_FINAL:   0.44661 +- 0.02890  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11712 
HOST_GALAXY_PHOTO-Z:   0.4466  +- 0.0289  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      10   (non1a index) 
SIM_COMMENT:  SN Type = Ibc , MODEL = SNLS-04D1la  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.4518  
SIM_HOSTLIB_TRUEZ:  0.4500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11712  
SIM_DLMU:      41.998074  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0234   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.51  24.31  24.11  24.62  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56315.468750  days 
SIM_SALT2x0:   1.588e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.42   days 
SIM_TRESTMAX:    24.47   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56314.398  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.242  g NULL   7.251e+00   8.082e+00   0.90   99.000    5.000   99.019
OBS:  56258.258  r NULL  -1.421e+00   4.418e+00  -0.32   99.000    5.000   99.050
OBS:  56259.160  i NULL   9.528e-01   4.540e+00   0.21   99.000    5.000   98.994
OBS:  56259.180  z NULL  -2.847e+00   3.059e+00  -0.93   99.000    5.000   98.981
OBS:  56261.215  g NULL  -5.348e+00   3.959e+00  -1.35   99.000    5.000   99.019
OBS:  56261.230  r NULL   5.397e-01   1.853e+00   0.29   99.000    5.000   99.050
OBS:  56267.156  i NULL  -1.534e+00   2.211e+00  -0.69   99.000    5.000   98.994
OBS:  56267.180  z NULL  -2.375e-01   3.049e+00  -0.08   99.000    5.000   98.981
OBS:  56274.160  g NULL   1.142e+00   2.033e+00   0.56   27.356  100.644   69.671
OBS:  56274.176  r NULL   1.266e+00   1.444e+00   0.88   27.244  100.756   68.884
OBS:  56275.223  i NULL  -2.815e+00   3.008e+00  -0.94  128.000    0.000   67.362
OBS:  56276.191  z NULL  -3.404e+00   3.402e+00  -1.00  128.000    0.000   67.457
OBS:  56282.160  g NULL   1.245e+00   3.403e+00   0.37   27.262  100.738   56.024
OBS:  56282.184  r NULL   2.013e+00   2.178e+00   0.92   26.740  101.260   55.348
OBS:  56287.160  i NULL  -6.691e+00   4.987e+00  -1.34  128.000    0.000   53.021
OBS:  56287.191  z NULL   3.819e+00   3.894e+00   0.98   26.045  101.955   54.139
OBS:  56289.035  g NULL   1.279e+01   1.189e+01   1.08   24.733    2.888   53.004
OBS:  56289.043  r NULL   5.757e+00   4.184e+00   1.38   25.600    1.408   52.369
OBS:  56289.152  i NULL  -9.849e-01   4.327e+00  -0.23  128.000    0.000   52.610
OBS:  56289.176  z NULL   4.603e+00   4.464e+00   1.03   25.842    3.795   53.631
OBS:  56297.039  g NULL  -2.164e+00   1.580e+00  -1.37  128.000    0.000   31.005
OBS:  56297.047  r NULL  -4.813e-01   1.219e+00  -0.39  128.000    0.000   31.483
OBS:  56297.062  i NULL   7.634e-01   1.862e+00   0.41   27.793  100.207   31.769
OBS:  56297.090  z NULL  -2.328e+00   2.119e+00  -1.10  128.000    0.000   32.376
OBS:  56305.094  g NULL   3.721e+00   1.651e+00   2.25   26.073    0.636   26.337
OBS:  56305.102  r NULL   5.743e+00   1.309e+00   4.39   25.602    0.281   25.522
OBS:  56305.113  i NULL   3.100e+00   2.193e+00   1.41   26.272    1.337   25.516
OBS:  56306.043  z NULL   5.368e+00   2.713e+00   1.98   25.676    0.764   25.973
OBS:  56313.047  g NULL   1.560e+01   5.972e+00   2.61   24.517    0.523   25.208
OBS:  56313.055  r NULL   2.239e+01   2.564e+00   8.73   24.125    0.132   24.224
OBS:  56313.090  i NULL   2.308e+01   3.113e+00   7.41   24.092    0.157   24.106
OBS:  56317.066  z NULL   1.594e+01   4.260e+00   3.74   24.493    0.338   24.484
OBS:  56321.035  g NULL   1.760e+00   2.917e+00   0.60   26.886  101.114   26.384
OBS:  56321.043  r NULL   1.546e+01   1.403e+00  11.01   24.527    0.103   24.593
OBS:  56321.066  i NULL   1.979e+01   3.244e+00   6.10   24.259    0.194   24.261
OBS:  56326.039  z NULL   2.191e+01   2.641e+00   8.30   24.148    0.140   24.008
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56333.043  g NULL   2.782e+00   1.817e+00   1.53   26.389    1.149   28.172
OBS:  56333.051  r NULL   9.172e+00   1.398e+00   6.56   25.094    0.179   25.154
OBS:  56334.043  i NULL   1.769e+01   2.205e+00   8.02   24.381    0.144   24.672
OBS:  56335.043  z NULL   2.191e+01   3.406e+00   6.43   24.148    0.183   24.193
OBS:  56344.992  g NULL  -9.029e-01   4.327e+00  -0.21  128.000    0.000   29.237
OBS:  56345.000  r NULL   3.387e+00   1.864e+00   1.82   26.175    0.869   25.712
