SURVEY: DES   
SNID:   861469   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.33455 +- 0.03220  (Helio, z_best) 
REDSHIFT_FINAL:   0.33455 +- 0.03220  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18862 
HOST_GALAXY_PHOTO-Z:   0.3345  +- 0.0322  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      45   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = SDSS-019323  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3791  
SIM_HOSTLIB_TRUEZ:  0.3800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18862  
SIM_DLMU:      41.547516  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0737   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.84  24.81  24.23  24.23  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56294.265625  days 
SIM_SALT2x0:   2.404e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.14   days 
SIM_TRESTMAX:    41.15   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56295.234  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 66 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56243.047  z NULL   1.549e+01   8.332e+00   1.86   99.000    5.000   98.984
OBS:  56243.320  g NULL   1.638e+00   4.199e+00   0.39   99.000    5.000   98.933
OBS:  56243.336  r NULL   2.471e-01   3.298e+00   0.07   99.000    5.000   99.050
OBS:  56244.039  i NULL   2.371e+00   7.032e+00   0.34   99.000    5.000   99.065
OBS:  56244.309  g NULL  -6.762e+00   4.124e+00  -1.64   99.000    5.000   98.933
OBS:  56244.320  r NULL   2.857e+00   3.224e+00   0.89   99.000    5.000   99.050
OBS:  56245.047  z NULL  -6.831e+00   5.012e+00  -1.36   99.000    5.000   98.984
OBS:  56245.320  g NULL  -4.612e+00   4.229e+00  -1.09   99.000    5.000   98.933
OBS:  56246.055  r NULL   1.413e+00   2.383e+00   0.59   99.000    5.000   99.050
OBS:  56246.070  i NULL  -7.145e+00   3.886e+00  -1.84   99.000    5.000   99.065
OBS:  56247.223  g NULL  -5.691e-01   2.979e+00  -0.19   99.000    5.000   98.933
OBS:  56247.230  z NULL   1.028e+00   4.385e+00   0.23   99.000    5.000   98.984
OBS:  56248.305  r NULL  -7.703e-01   2.373e+00  -0.32   99.000    5.000   99.050
OBS:  56248.316  i NULL   1.537e+00   4.227e+00   0.36   99.000    5.000   99.065
OBS:  56258.152  g NULL  -3.092e+01   1.265e+01  -2.44  128.000    0.000   33.162
OBS:  56258.168  z NULL  -2.463e+00   5.983e+00  -0.41  128.000    0.000   28.315
OBS:  56258.273  r NULL   3.113e+00   7.778e+00   0.40   26.267  101.733   28.772
OBS:  56258.281  i NULL   3.289e+00   1.262e+01   0.26   26.207  101.793   29.162
OBS:  56261.266  g NULL  -1.563e+00   1.009e+01  -0.15  128.000    0.000   32.803
OBS:  56261.273  r NULL  -3.007e-01   4.185e+00  -0.07  128.000    0.000   28.388
OBS:  56261.281  i NULL   3.112e+00   7.029e+00   0.44   26.267  101.733   28.698
OBS:  56261.289  z NULL  -2.096e-01   4.892e+00  -0.04  128.000    0.000   27.933
OBS:  56275.152  g NULL  -8.260e-01   3.312e+00  -0.25  128.000    0.000   27.636
OBS:  56275.172  r NULL   4.501e+00   2.244e+00   2.01   25.867    0.749   26.457
OBS:  56275.191  i NULL   3.854e+00   4.494e+00   0.86   26.035  101.965   26.252
OBS:  56275.203  z NULL  -2.867e+00   5.326e+00  -0.54  128.000    0.000   25.995
OBS:  56283.203  g NULL   1.225e+01   6.306e+00   1.94   24.780    0.785   24.940
OBS:  56283.211  r NULL   6.898e+00   3.332e+00   2.07   25.403    0.716   25.674
OBS:  56283.215  i NULL   1.209e+01   5.824e+00   2.07   24.794    0.714   25.049
OBS:  56283.223  z NULL   6.044e+00   5.046e+00   1.20   25.547    1.958   25.028
OBS:  56288.199  g NULL  -1.076e+01   1.180e+01  -0.91  128.000    0.000   25.242
OBS:  56288.215  r NULL   1.216e+01   6.188e+00   1.97   24.788    0.772   25.116
OBS:  56289.109  i NULL   1.425e+01   7.090e+00   2.01   24.615    0.747   24.456
OBS:  56289.125  z NULL   2.145e+01   5.440e+00   3.94   24.172    0.317   24.502
OBS:  56292.098  g NULL  -3.578e+01   1.168e+01  -3.06  128.000    0.000   25.622
OBS:  56292.102  r NULL   7.715e+00   4.841e+00   1.59   25.282    1.073   24.871
OBS:  56292.191  i NULL   2.282e+01   5.624e+00   4.06   24.104    0.307   24.284
OBS:  56292.199  z NULL   1.827e+01   5.173e+00   3.53   24.346    0.362   24.318
OBS:  56304.051  g NULL   4.464e+00   2.487e+00   1.79   25.876    0.884   27.080
OBS:  56304.055  r NULL   1.059e+01   1.685e+00   6.28   24.938    0.188   24.916
