SURVEY: DES   
SNID:   868729   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.92834 +- 0.03030  (Helio, z_best) 
REDSHIFT_FINAL:   0.92834 +- 0.03030  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18253 
HOST_GALAXY_PHOTO-Z:   0.9283  +- 0.0303  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.9516  
SIM_HOSTLIB_TRUEZ:  0.9500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18253  
SIM_DLMU:      43.967209  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0137   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   29.60  25.06  23.94  23.87  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56179.375000  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.179e-06   
SIM_SALT2x1:   -0.8521   
SIM_SALT2c:     0.0291   
SIM_SALT2mB:   24.7892   
SIM_STRETCH:    0.148  
SIM_MAGDIM:    1.305  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -4.27   days 
SIM_TRESTMAX:    64.41   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56178.602  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   4.072e+01   7.809e+01   0.52   23.475  104.525   29.913
OBS:  56172.039  r NULL   1.653e+01   1.759e+01   0.94   24.454  103.546   24.933
OBS:  56172.051  i NULL   3.844e+01   4.995e+01   0.77   23.538  104.462   24.021
OBS:  56176.160  z NULL   3.008e+01   3.632e+00   8.28   23.804    0.139   23.888
OBS:  56179.023  g NULL   2.839e+00   6.377e+00   0.45   26.367  101.633   29.603
OBS:  56179.031  r NULL   6.670e+00   4.338e+00   1.54   25.440    1.142   25.048
OBS:  56179.047  i NULL   3.297e+01   7.174e+00   4.60   23.705    0.266   23.939
OBS:  56179.062  z NULL   3.720e+01   8.171e+00   4.55   23.574    0.269   23.869
OBS:  56180.031  g NULL   7.694e-01   5.671e+00   0.14   27.785  100.215   29.574
OBS:  56180.047  r NULL   5.045e+00   4.499e+00   1.12   25.743    2.418   25.097
OBS:  56180.062  i NULL   3.386e+01   6.775e+00   5.00   23.676    0.242   23.945
OBS:  56180.078  z NULL   3.048e+01   1.018e+01   2.99   23.790    0.441   23.871
OBS:  56188.004  g NULL  -2.461e+00   5.677e+00  -0.43  128.000    0.000   29.714
OBS:  56188.016  r NULL   5.543e+00   4.373e+00   1.27   25.641    1.688   25.617
OBS:  56188.027  i NULL   2.280e+01   6.483e+00   3.52   24.105    0.363   24.134
OBS:  56188.035  z NULL   2.656e+01   6.494e+00   4.09   23.939    0.304   23.986
OBS:  56189.004  g NULL  -4.063e+00   5.647e+00  -0.72  128.000    0.000   29.839
OBS:  56189.016  r NULL   2.352e+00   4.333e+00   0.54   26.571  101.429   25.679
OBS:  56189.027  i NULL   1.359e+01   6.418e+00   2.12   24.667    0.695   24.175
OBS:  56189.035  z NULL   3.473e+01   6.442e+00   5.39   23.648    0.222   24.008
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56194.012  g NULL   3.436e+00   6.200e+00   0.55   26.160  101.840   30.702
OBS:  56194.016  r NULL   7.527e+00   3.590e+00   2.10   25.308    0.703   25.975
OBS:  56194.023  i NULL   4.875e+00   6.158e+00   0.79   25.780  102.220   24.418
OBS:  56194.031  z NULL   2.211e+01   1.509e+01   1.46   24.139    1.246   24.149
OBS:  56198.992  g NULL  -8.555e+00   1.868e+01  -0.46  128.000    0.000   30.952
OBS:  56199.000  r NULL   7.676e+00   9.050e+00   0.85   25.287  102.713   26.302
OBS:  56199.008  i NULL   1.766e+01   1.182e+01   1.49   24.382    1.200   24.696
OBS:  56199.016  z NULL   2.072e+01   7.706e+00   2.69   24.209    0.505   24.350
OBS:  56199.039  g NULL   1.985e+01   3.349e+01   0.59   24.256  103.744   30.952
OBS:  56208.215  g NULL  -2.930e+00   2.657e+00  -1.10  128.000    0.000   32.658
OBS:  56208.223  r NULL   1.891e+00   1.767e+00   1.07   26.808    2.957   27.038
OBS:  56208.238  i NULL   1.801e+00   2.960e+00   0.61   26.861  101.139   25.332
OBS:  56209.160  z NULL   1.092e+01   3.251e+00   3.36   24.904    0.384   24.844
OBS:  56216.215  g NULL  -2.073e+00   2.466e+00  -0.84  128.000    0.000   29.833
OBS:  56216.223  r NULL  -6.162e-01   1.882e+00  -0.33  128.000    0.000   27.504
OBS:  56216.230  i NULL   5.809e+00   3.019e+00   1.92   25.590    0.796   25.899
OBS:  56218.152  z NULL   8.889e+00   2.679e+00   3.32   25.128    0.389   25.314
OBS:  56221.004  g NULL   1.058e+00   5.225e+00   0.20   27.439  100.561   29.944
OBS:  56221.016  r NULL  -4.238e+00   3.578e+00  -1.18  128.000    0.000   27.779
OBS:  56221.027  i NULL   2.838e+00   5.471e+00   0.52   26.367  101.633   26.197
OBS:  56221.035  z NULL   6.723e+00   5.405e+00   1.24   25.431    1.769   25.444
OBS:  56222.016  g NULL  -5.415e+00   6.242e+00  -0.87  128.000    0.000   30.199
OBS:  56222.027  r NULL   2.320e+00   3.619e+00   0.64   26.586  101.414   27.868
OBS:  56222.035  i NULL  -1.248e+01   4.928e+00  -2.53  128.000    0.000   26.259
OBS:  56228.012  z NULL   1.120e+01   5.549e+00   2.02   24.877    0.742   25.745
OBS:  56229.012  g NULL   9.585e-01   9.817e+00   0.10   99.000    5.000   99.829
OBS:  56229.016  r NULL   2.738e+00   4.317e+00   0.63   26.406  101.594   28.303
OBS:  56229.023  i NULL   1.365e+00   7.808e+00   0.17   27.162  100.838   26.604
OBS:  56230.012  z NULL   1.157e+00   4.915e+00   0.24   27.341  100.659   25.845
OBS:  56231.012  g NULL   8.160e+00   6.916e+00   1.18   99.000    5.000   99.829
OBS:  56231.020  r NULL  -6.769e-01   2.784e+00  -0.24  128.000    0.000   28.336
OBS:  56231.027  i NULL  -9.966e-01   4.072e+00  -0.24  128.000    0.000   26.674
OBS:  56235.020  z NULL   7.498e+00   5.691e+00   1.32   25.313    1.544   26.069
OBS:  56236.027  g NULL   6.277e+00   5.173e+00   1.21   99.000    5.000   99.829
OBS:  56236.035  r NULL  -5.186e+00   5.380e+00  -0.96  128.000    0.000   28.459
OBS:  56236.039  i NULL   1.152e+00   7.619e+00   0.15   27.347  100.653   26.841
OBS:  56237.023  z NULL   3.337e+00   5.124e+00   0.65   26.192  101.808   26.136
OBS:  56238.023  g NULL   4.311e-01   3.612e+00   0.12   99.000    5.000   99.829
OBS:  56238.031  r NULL  -1.304e-01   2.785e+00  -0.05  128.000    0.000   28.548
OBS:  56238.039  i NULL   5.205e+00   4.811e+00   1.08   25.709    2.801   26.910
OBS:  56243.070  z NULL   6.898e+00   5.346e+00   1.29   25.403    1.619   26.266
OBS:  56244.047  g NULL  -6.127e+00   4.184e+00  -1.46  128.000    0.000   30.209
OBS:  56244.055  r NULL   1.417e+00   2.823e+00   0.50   27.121  100.879   28.896
OBS:  56244.070  i NULL   7.779e+00   4.410e+00   1.76   25.273    0.908   27.118
OBS:  56245.027  z NULL   1.560e+00   3.540e+00   0.44   27.017  100.983   26.301
OBS:  56246.082  g NULL  -4.586e+00   2.835e+00  -1.62  128.000    0.000   29.878
OBS:  56246.098  r NULL  -3.975e+00   2.465e+00  -1.61  128.000    0.000   28.926
OBS:  56246.109  i NULL   3.275e+00   5.435e+00   0.60   26.212  101.788   27.172
OBS:  56247.250  z NULL  -3.853e+00   6.292e+00  -0.61  128.000    0.000   26.343
OBS:  56254.199  g NULL  -1.716e+00   6.130e+00  -0.28  128.000    0.000   29.848
OBS:  56254.211  r NULL  -1.009e+00   3.375e+00  -0.30  128.000    0.000   28.534
OBS:  56254.227  i NULL  -2.880e+00   6.211e+00  -0.46  128.000    0.000   27.275
OBS:  56258.191  z NULL   4.981e-01   5.862e+00   0.08   28.257   99.743   26.591
OBS:  56261.066  g NULL   6.827e+00   6.915e+00   0.99   25.414  102.586   30.776
OBS:  56261.082  r NULL  -3.084e+00   4.055e+00  -0.76  128.000    0.000   28.262
OBS:  56261.090  i NULL   1.508e+00   8.211e+00   0.18   27.054  100.946   27.304
OBS:  56266.156  z NULL   5.245e+00   5.283e+00   0.99   25.701  102.299   26.762
OBS:  56276.152  g NULL   1.326e+00   4.036e+00   0.33   99.000    5.000   99.829
OBS:  56276.172  r NULL   1.518e+00   2.883e+00   0.53   27.046  100.954   29.827
OBS:  56277.164  i NULL   2.361e+00   3.542e+00   0.67   26.567  101.433   27.595
OBS:  56278.164  z NULL   1.018e+01   4.288e+00   2.37   24.981    0.593   26.912
OBS:  56288.035  g NULL  -9.823e+00   1.451e+01  -0.68   99.000    5.000   99.829
OBS:  56288.043  r NULL   4.272e-01   5.400e+00   0.08   28.424   99.576   29.496
OBS:  56288.051  i NULL   1.847e+00   5.980e+00   0.31   26.834  101.166   27.595
OBS:  56288.066  z NULL  -5.878e+00   6.736e+00  -0.87  128.000    0.000   26.912
OBS:  56292.109  g NULL  -4.264e+00   7.760e+00  -0.55   99.000    5.000   99.829
OBS:  56292.125  r NULL  -3.845e-01   3.867e+00  -0.10  128.000    0.000   29.496
OBS:  56296.039  i NULL  -1.983e+00   3.474e+00  -0.57  128.000    0.000   27.595
OBS:  56296.051  z NULL   4.525e-01   4.461e+00   0.10   28.361   99.639   26.912
OBS:  56305.043  g NULL  -9.383e-01   2.872e+00  -0.33   99.000    5.000   99.829
OBS:  56305.051  r NULL   3.352e-02   2.173e+00   0.02   31.187   96.813   29.496
