SURVEY: DES   
SNID:   870268   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.28083 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.28083 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.28083 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14781 
HOST_GALAXY_PHOTO-Z:   0.2651  +- 0.0360  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      36   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-018457  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.2776  
SIM_HOSTLIB_TRUEZ:  0.2800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14781  
SIM_DLMU:      40.762127  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0098   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.89  22.80  22.62  22.92  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56243.781250  days 
SIM_SALT2x0:   4.956e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.76   days 
SIM_TRESTMAX:    69.12   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56242.746  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56194.258  g NULL   4.190e+00   2.637e+00   1.59   99.000    5.000   99.053
OBS:  56194.270  r NULL  -4.827e-01   1.486e+00  -0.32   99.000    5.000   99.020
OBS:  56194.285  i NULL  -2.582e+00   2.291e+00  -1.13   99.000    5.000   98.983
OBS:  56194.305  z NULL   1.293e+00   2.384e+00   0.54   99.000    5.000   99.068
OBS:  56202.160  g NULL   9.904e-01   4.790e+00   0.21   99.000    5.000   99.053
OBS:  56202.176  r NULL  -1.177e+00   2.322e+00  -0.51   99.000    5.000   99.020
OBS:  56202.191  i NULL  -8.447e-01   4.162e+00  -0.20   99.000    5.000   98.983
OBS:  56202.215  z NULL  -1.319e-01   2.711e+00  -0.05   99.000    5.000   99.068
OBS:  56210.172  g NULL   1.015e+01   3.698e+00   2.74   24.984    0.491   26.114
OBS:  56210.188  r NULL   7.941e+00   3.220e+00   2.47   25.250    0.565   25.193
OBS:  56210.203  i NULL   1.498e+01   3.222e+00   4.65   24.561    0.262   24.857
OBS:  56210.234  z NULL   7.692e+00   3.848e+00   2.00   25.285    0.753   25.832
OBS:  56218.172  g NULL   1.146e+01   1.293e+00   8.86   24.852    0.130   24.991
OBS:  56218.191  r NULL   1.416e+01   1.003e+00  14.12   24.622    0.080   24.664
OBS:  56218.211  i NULL   1.424e+01   1.531e+00   9.30   24.616    0.124   24.431
OBS:  56219.156  z NULL   1.556e+01   1.957e+00   7.95   24.520    0.146   24.565
OBS:  56221.273  g NULL   2.714e+01   3.966e+00   6.84   23.916    0.171   24.465
OBS:  56221.281  r NULL   1.585e+01   5.597e+00   2.83   24.500    0.473   24.239
OBS:  56221.297  i NULL   1.448e+01   4.497e+00   3.22   24.598    0.405   24.101
OBS:  56221.324  z NULL   7.152e+00   1.440e+01   0.50   25.364  102.636   24.316
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56222.074  g NULL   1.453e+01   5.928e+00   2.45   24.594    0.570   24.338
OBS:  56222.090  r NULL   2.635e+01   2.679e+00   9.84   23.948    0.116   24.124
OBS:  56222.113  i NULL   2.674e+01   3.366e+00   7.95   23.932    0.146   24.005
