SURVEY: DES   
SNID:   877234   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.63610 +- 0.01610  (Helio, z_best) 
REDSHIFT_FINAL:   0.63610 +- 0.01610  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13926 
HOST_GALAXY_PHOTO-Z:   0.6361  +- 0.0161  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6481  
SIM_HOSTLIB_TRUEZ:  0.6500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13926  
SIM_DLMU:      42.942638  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0652   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.27  24.00  23.85  23.76  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56176.226562  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.471e-06   
SIM_SALT2x1:   -2.1899   
SIM_SALT2c:     0.0595   
SIM_SALT2mB:   24.0090   
SIM_MAGDIM:    1.549  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     1.22   days 
SIM_TRESTMAX:    68.50   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56177.516  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 91 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.614e+01   1.049e+01   1.54   24.480    1.138   26.441
OBS:  56178.250  r NULL   1.830e+01   7.857e+00   2.33   24.344    0.610   24.049
OBS:  56178.266  i NULL   3.174e+01   9.337e+00   3.40   23.746    0.378   23.861
OBS:  56179.211  z NULL   2.880e+01   5.360e+00   5.37   23.852    0.224   23.741
OBS:  56180.219  g NULL   4.443e+00   3.212e+00   1.38   25.881    1.393   26.684
OBS:  56180.234  r NULL   2.075e+01   2.477e+00   8.38   24.207    0.138   24.125
OBS:  56180.250  i NULL   3.174e+01   4.364e+00   7.27   23.746    0.160   23.892
OBS:  56188.191  z NULL  -1.877e+01   2.733e+01  -0.69  128.000    0.000   23.972
OBS:  56188.340  g NULL  -2.249e+01   2.558e+01  -0.88  128.000    0.000   27.472
OBS:  56188.355  r NULL   6.394e+00   4.166e+00   1.53   25.486    1.148   24.644
OBS:  56189.195  i NULL  -1.197e+01   3.096e+01  -0.39  128.000    0.000   24.198
OBS:  56194.215  g NULL  -1.158e-01   4.766e+00  -0.02  128.000    0.000   27.473
OBS:  56194.223  r NULL   5.023e+00   5.410e+00   0.93   25.748  102.252   25.171
OBS:  56194.227  z NULL   2.227e+01   6.559e+00   3.40   24.131    0.379   24.242
OBS:  56200.234  i NULL   8.447e+00   1.199e+01   0.70   25.183  102.817   24.895
OBS:  56208.160  g NULL  -4.839e-01   2.973e+00  -0.16  128.000    0.000   28.889
OBS:  56208.176  r NULL   4.795e+00   2.432e+00   1.97   25.798    0.768   26.589
OBS:  56208.191  z NULL   2.224e+01   4.958e+00   4.49   24.132    0.273   24.638
OBS:  56210.156  i NULL   1.402e+01   7.031e+00   1.99   24.633    0.755   25.624
OBS:  56216.164  g NULL  -5.893e-01   2.687e+00  -0.22  128.000    0.000   28.728
OBS:  56216.176  r NULL   3.699e+00   2.038e+00   1.81   26.080    0.869   27.159
OBS:  56216.191  z NULL   3.826e+00   4.048e+00   0.95   26.043  101.957   24.992
OBS:  56219.211  i NULL   1.756e+00   2.990e+00   0.59   26.889  101.111   26.139
OBS:  56221.148  g NULL   1.146e+01   1.591e+01   0.72   24.852  103.148   30.327
OBS:  56221.160  r NULL  -6.253e+00   6.050e+00  -1.03  128.000    0.000   27.261
OBS:  56221.176  z NULL   8.693e+00   1.540e+01   0.56   25.152  102.848   25.253
OBS:  56222.105  i NULL  -7.001e+00   9.192e+00  -0.76  128.000    0.000   26.341
OBS:  56222.312  g NULL   4.547e-01   4.100e+00   0.11   28.356   99.644   32.571
OBS:  56222.324  r NULL  -7.860e+00   1.517e+01  -0.52  128.000    0.000   27.290
OBS:  56222.340  z NULL   4.520e+01   4.087e+01   1.11   23.362    2.545   25.310
OBS:  56228.297  g NULL   8.169e+00   1.503e+01   0.54   99.000    5.000   99.047
OBS:  56228.305  r NULL   8.769e+00   5.495e+00   1.60   25.143    1.069   27.645
OBS:  56228.312  i NULL   9.078e+00   9.414e+00   0.96   25.105  102.895   26.450
OBS:  56228.320  z NULL   1.103e+01   5.804e+00   1.90   24.894    0.811   25.538
OBS:  56229.320  g NULL  -1.422e+01   1.406e+01  -1.01   99.000    5.000   99.047
OBS:  56229.332  r NULL  -2.028e+01   7.261e+00  -2.79  128.000    0.000   27.737
OBS:  56229.348  i NULL   1.558e+01   1.295e+01   1.20   24.518    1.929   26.438
OBS:  56230.070  z NULL   7.859e+00   7.135e+00   1.10   25.262    2.589   25.589
OBS:  56230.316  g NULL  -1.238e+01   1.368e+01  -0.91   99.000    5.000   99.047
OBS:  56230.328  r NULL   1.300e+00   6.673e+00   0.19   27.215  100.785   27.827
OBS:  56230.344  i NULL   6.288e+00   1.239e+01   0.51   25.504  102.496   26.431
OBS:  56231.301  g NULL   6.581e+00   1.166e+01   0.56   99.000    5.000   99.047
OBS:  56231.316  r NULL  -2.778e+00   6.018e+00  -0.46  128.000    0.000   27.908
OBS:  56231.328  i NULL   2.920e+01   1.048e+01   2.79   23.837    0.482   26.432
OBS:  56231.344  z NULL   1.228e+01   5.795e+00   2.12   24.777    0.692   25.625
OBS:  56235.297  g NULL   2.296e+01   9.646e+00   2.38   99.000    5.000   99.047
OBS:  56235.312  r NULL   2.414e+00   4.660e+00   0.52   26.543  101.457   28.178
OBS:  56235.324  i NULL  -2.072e+00   6.641e+00  -0.31  128.000    0.000   26.495
OBS:  56235.340  z NULL  -6.993e+00   6.751e+00  -1.04  128.000    0.000   25.731
OBS:  56236.312  g NULL  -1.855e+01   7.817e+00  -2.37   99.000    5.000   99.047
OBS:  56236.324  r NULL   4.801e+00   3.730e+00   1.29   25.797    1.627   28.221
OBS:  56236.340  i NULL  -5.292e+00   6.081e+00  -0.87  128.000    0.000   26.528
OBS:  56237.074  z NULL  -7.022e-01   7.011e+00  -0.10  128.000    0.000   25.775
OBS:  56237.340  g NULL  -3.260e+00   1.182e+01  -0.28   99.000    5.000   99.047
OBS:  56238.051  r NULL   5.868e-01   4.311e+00   0.14   28.079   99.921   28.274
OBS:  56238.059  i NULL   2.939e+00   5.467e+00   0.54   26.329  101.671   26.597
OBS:  56238.340  g NULL  -1.223e+01   1.062e+01  -1.15   99.000    5.000   99.047
OBS:  56243.047  z NULL   4.664e+00   8.327e+00   0.56   25.828  102.172   25.912
OBS:  56243.320  g NULL  -3.119e+00   4.200e+00  -0.74   99.000    5.000   99.047
OBS:  56243.336  r NULL   3.539e+00   3.299e+00   1.07   26.128    2.917   28.265
OBS:  56244.039  i NULL   2.415e-01   7.033e+00   0.03   29.043   98.957   26.924
OBS:  56244.309  g NULL   1.091e+00   4.123e+00   0.26   99.000    5.000   99.047
OBS:  56244.320  r NULL  -1.014e+00   3.224e+00  -0.31  128.000    0.000   28.246
OBS:  56245.047  z NULL  -2.019e+00   5.011e+00  -0.40  128.000    0.000   25.956
OBS:  56245.320  g NULL  -6.543e+00   4.230e+00  -1.55   99.000    5.000   99.047
OBS:  56246.055  r NULL   1.671e+00   2.383e+00   0.70   26.942  101.058   28.204
OBS:  56246.070  i NULL   4.035e+00   3.885e+00   1.04   25.985    3.572   27.000
OBS:  56247.223  g NULL   3.545e+00   2.980e+00   1.19   99.000    5.000   99.047
OBS:  56247.230  z NULL   8.465e+00   4.388e+00   1.93   25.181    0.793   26.004
OBS:  56248.305  r NULL  -1.738e+00   2.374e+00  -0.73  128.000    0.000   28.139
OBS:  56248.316  i NULL  -6.542e-03   4.228e+00  -0.00  128.000    0.000   27.052
OBS:  56258.152  g NULL   1.054e+01   1.264e+01   0.83   99.000    5.000   99.047
OBS:  56258.168  z NULL  -2.999e+00   5.983e+00  -0.50  128.000    0.000   26.215
OBS:  56258.273  r NULL   1.456e+01   7.782e+00   1.87   24.592    0.830   27.818
OBS:  56258.281  i NULL   1.372e+01   1.262e+01   1.09   24.657    2.742   26.958
OBS:  56261.266  g NULL  -1.014e+01   1.009e+01  -1.01   99.000    5.000   99.047
OBS:  56261.273  r NULL   5.606e+00   4.186e+00   1.34   25.628    1.490   27.855
OBS:  56261.281  i NULL   1.849e+01   7.038e+00   2.63   24.332    0.519   26.988
OBS:  56261.289  z NULL   7.202e+00   4.894e+00   1.47   25.356    1.235   26.197
OBS:  56275.152  g NULL  -1.021e+00   3.310e+00  -0.31   99.000    5.000   99.047
OBS:  56275.172  r NULL   1.237e+00   2.240e+00   0.55   27.269  100.731   27.855
OBS:  56275.191  i NULL   5.175e+00   4.493e+00   1.15   25.715    2.199   26.988
OBS:  56275.203  z NULL   6.596e+00   5.327e+00   1.24   25.452    1.788   26.197
OBS:  56283.203  g NULL   8.992e+00   6.287e+00   1.43   99.000    5.000   99.047
OBS:  56283.211  r NULL   2.626e+00   3.326e+00   0.79   26.452  101.548   27.855
OBS:  56283.215  i NULL   4.922e-01   5.817e+00   0.08   28.270   99.730   26.988
OBS:  56283.223  z NULL   6.922e+00   5.045e+00   1.37   25.399    1.416   26.197
OBS:  56288.199  g NULL   2.492e-01   1.179e+01   0.02   99.000    5.000   99.047
OBS:  56288.215  r NULL  -1.413e-01   6.181e+00  -0.02  128.000    0.000   27.855
OBS:  56289.109  i NULL   1.587e+00   7.080e+00   0.22   26.998  101.002   26.988
OBS:  56289.125  z NULL   4.788e+00   5.423e+00   0.88   25.800  102.200   26.197
END: 
