SURVEY: DES   
SNID:   877670   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  32 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.40637 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.40637 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.40637 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13364 
HOST_GALAXY_PHOTO-Z:   0.3582  +- 0.0316  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4017  
SIM_HOSTLIB_TRUEZ:  0.4000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13364  
SIM_DLMU:      41.695522  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0232   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.81  22.47  21.97  21.80  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56281.527344  days 
SIM_SALT2x0:   2.098e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.02   days 
SIM_TRESTMAX:    48.13   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56281.223  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 88 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56228.234  g NULL   1.751e+00   1.234e+01   0.14   99.000    5.000   99.041
OBS:  56228.242  r NULL  -2.588e-01   5.568e+00  -0.05   99.000    5.000   98.991
OBS:  56228.258  i NULL   1.841e+00   1.202e+01   0.15   99.000    5.000   99.087
OBS:  56228.270  z NULL  -7.798e-01   6.648e+00  -0.12   99.000    5.000   99.039
OBS:  56229.258  g NULL  -3.642e+01   1.722e+01  -2.11   99.000    5.000   99.041
OBS:  56229.270  r NULL  -3.148e+00   8.063e+00  -0.39   99.000    5.000   98.991
OBS:  56229.285  i NULL  -4.345e+00   1.506e+01  -0.29   99.000    5.000   99.087
OBS:  56229.297  z NULL   3.115e+00   8.899e+00   0.35   99.000    5.000   99.039
OBS:  56230.273  g NULL   6.393e+00   1.383e+01   0.46   99.000    5.000   99.041
OBS:  56230.277  r NULL   4.367e+00   6.405e+00   0.68   99.000    5.000   98.991
OBS:  56230.285  i NULL  -1.983e+01   1.120e+01  -1.77   99.000    5.000   99.087
OBS:  56230.293  z NULL  -8.080e-01   6.156e+00  -0.13   99.000    5.000   99.039
OBS:  56231.242  g NULL   7.640e+00   9.777e+00   0.78   99.000    5.000   99.041
OBS:  56231.258  r NULL  -7.872e+00   4.946e+00  -1.59   99.000    5.000   98.991
OBS:  56231.273  i NULL   7.987e+00   9.657e+00   0.83   99.000    5.000   99.087
OBS:  56231.277  z NULL   5.536e+00   5.305e+00   1.04   99.000    5.000   99.039
OBS:  56235.242  g NULL   4.268e+00   6.866e+00   0.62   99.000    5.000   99.041
OBS:  56235.258  r NULL   9.563e-01   3.909e+00   0.24   99.000    5.000   98.991
OBS:  56235.270  i NULL   8.492e+00   7.249e+00   1.17   99.000    5.000   99.087
OBS:  56235.277  z NULL   1.885e+00   6.980e+00   0.27   99.000    5.000   99.039
OBS:  56236.258  g NULL   1.311e-01   6.534e+00   0.02   99.000    5.000   99.041
OBS:  56236.270  r NULL  -1.006e-01   4.253e+00  -0.02   99.000    5.000   98.991
