SURVEY: DES   
SNID:   878174   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.41803 +- 0.03470  (Helio, z_best) 
REDSHIFT_FINAL:   0.41803 +- 0.03470  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17322 
HOST_GALAXY_PHOTO-Z:   0.4180  +- 0.0347  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      23   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = SDSS-014492  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.4609  
SIM_HOSTLIB_TRUEZ:  0.4600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17322  
SIM_DLMU:      42.049797  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0638   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.08  24.25  24.06  23.94  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56346.273438  days 
SIM_SALT2x0:   1.514e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.75   days 
SIM_TRESTMAX:     3.25   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56347.453  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56288.199  g NULL  -7.314e+00   1.179e+01  -0.62   99.000    5.000   99.007
OBS:  56288.215  r NULL   2.148e+00   6.180e+00   0.35   99.000    5.000   99.047
OBS:  56289.109  i NULL   9.689e+00   7.082e+00   1.37   99.000    5.000   98.968
OBS:  56289.125  z NULL   2.925e+00   5.422e+00   0.54   99.000    5.000   98.971
OBS:  56292.098  g NULL  -8.139e+00   1.165e+01  -0.70   99.000    5.000   99.007
OBS:  56292.102  r NULL  -2.617e-01   4.826e+00  -0.05   99.000    5.000   99.047
OBS:  56292.191  i NULL   1.157e+01   5.603e+00   2.06   99.000    5.000   98.968
OBS:  56292.199  z NULL   3.849e-01   5.157e+00   0.07   99.000    5.000   98.971
OBS:  56304.051  g NULL   2.711e-01   2.479e+00   0.11   99.000    5.000   99.007
OBS:  56304.055  r NULL   1.712e+00   1.657e+00   1.03   99.000    5.000   99.047
OBS:  56304.070  i NULL   3.026e+00   2.506e+00   1.21   99.000    5.000   98.968
OBS:  56304.086  z NULL  -5.973e+00   3.935e+00  -1.52   99.000    5.000   98.971
OBS:  56312.055  g NULL   2.321e+00   7.568e+00   0.31   26.586  101.414   40.191
OBS:  56312.066  r NULL   2.879e+00   2.962e+00   0.97   26.352  101.648   36.853
OBS:  56312.090  i NULL   4.575e-02   5.020e+00   0.01   30.849   97.151   36.232
OBS:  56312.113  z NULL  -5.754e+00   5.429e+00  -1.06  128.000    0.000   35.848
OBS:  56320.043  g NULL  -9.794e+00   6.171e+00  -1.59  128.000    0.000   33.695
OBS:  56320.051  r NULL  -1.599e+00   2.489e+00  -0.64  128.000    0.000   30.327
OBS:  56320.059  i NULL  -4.771e-01   3.653e+00  -0.13  128.000    0.000   29.278
OBS:  56320.070  z NULL   3.152e-01   4.394e+00   0.07   28.754   99.246   28.558
OBS:  56328.047  g NULL  -3.703e+00   3.352e+00  -1.10  128.000    0.000   30.276
OBS:  56328.055  r NULL  -5.310e+00   2.405e+00  -2.21  128.000    0.000   28.489
OBS:  56328.070  i NULL  -4.709e+00   4.046e+00  -1.16  128.000    0.000   27.377
OBS:  56328.086  z NULL   2.674e+00   6.782e+00   0.39   26.432  101.568   26.814
OBS:  56336.062  g NULL   9.168e-01   3.711e+00   0.25   27.594  100.406   26.080
OBS:  56336.082  r NULL   8.422e+00   3.015e+00   2.79   25.186    0.480   25.927
OBS:  56337.062  i NULL   5.445e+00   2.933e+00   1.86   25.660    0.840   25.448
OBS:  56337.078  z NULL   1.060e+01   3.753e+00   2.82   24.937    0.474   25.311
OBS:  56345.039  g NULL   8.308e+00   7.146e+00   1.16   25.201    2.135   25.955
OBS:  56345.055  r NULL   2.193e+01   3.805e+00   5.76   24.148    0.207   24.271
OBS:  56346.055  i NULL   2.652e+01   6.015e+00   4.41   23.941    0.279   24.074
OBS:  56348.027  z NULL   2.851e+01   5.054e+00   5.64   23.863    0.212   23.804
OBS:  56350.023  g NULL   5.531e+00   6.834e+00   0.81   25.643  102.357   26.506
OBS:  56350.027  r NULL   1.012e+01   3.952e+00   2.56   24.987    0.539   24.408
OBS:  56350.035  i NULL   2.269e+01   6.704e+00   3.38   24.111    0.381   23.960
OBS:  56351.023  z NULL   2.075e+01   6.114e+00   3.39   24.207    0.380   23.714
END: 
