SURVEY: DES   
SNID:   880098   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.61814 +- 0.01570  (Helio, z_best) 
REDSHIFT_FINAL:   0.61814 +- 0.01570  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15103 
HOST_GALAXY_PHOTO-Z:   0.6181  +- 0.0157  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6019  
SIM_HOSTLIB_TRUEZ:  0.6000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15103  
SIM_DLMU:      42.747509  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0691   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.207  mag  (host extinction at 5510 A)
SIM_RV:         2.922   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.62  23.01  22.92  22.85  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56358.636719  days 
SIM_DELTA:     -0.172  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.172  
SIM_MAGDIM:    0.303  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -34.07   days 
SIM_TRESTMAX:    -4.75   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56357.926  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 28 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56304.051  g NULL   2.759e-01   2.479e+00   0.11   99.000    5.000   99.000
OBS:  56304.055  r NULL  -8.876e-01   1.657e+00  -0.54   99.000    5.000   99.000
OBS:  56304.070  i NULL  -1.373e+00   2.506e+00  -0.55   99.000    5.000   99.000
OBS:  56304.086  z NULL   9.067e-01   3.934e+00   0.23   99.000    5.000   99.000
OBS:  56312.055  g NULL  -8.960e+00   7.569e+00  -1.18   99.000    5.000   99.000
OBS:  56312.066  r NULL   5.739e-02   2.962e+00   0.02   99.000    5.000   99.000
OBS:  56312.090  i NULL   4.514e+00   5.021e+00   0.90   99.000    5.000   99.000
OBS:  56312.113  z NULL  -5.173e+00   5.429e+00  -0.95   99.000    5.000   99.000
OBS:  56320.043  g NULL  -1.298e+00   6.168e+00  -0.21   99.000    5.000   99.000
OBS:  56320.051  r NULL   2.412e+00   2.489e+00   0.97   99.000    5.000   99.000
OBS:  56320.059  i NULL   2.465e+00   3.653e+00   0.67   99.000    5.000   99.000
OBS:  56320.070  z NULL   5.617e+00   4.395e+00   1.28   99.000    5.000   99.000
OBS:  56328.047  g NULL   6.201e+00   3.353e+00   1.85   25.519    0.844   32.974
OBS:  56328.055  r NULL  -1.197e+00   2.403e+00  -0.50  128.000    0.000   30.189
OBS:  56328.070  i NULL   4.217e+00   4.046e+00   1.04   25.937    3.471   30.204
OBS:  56328.086  z NULL  -6.519e+00   6.783e+00  -0.96  128.000    0.000   30.050
OBS:  56336.062  g NULL   2.247e+00   3.704e+00   0.61   26.621  101.379   27.128
OBS:  56336.082  r NULL   1.384e+01   3.027e+00   4.57   24.647    0.267   24.922
OBS:  56337.062  i NULL   1.094e+01   2.944e+00   3.72   24.902    0.341   24.651
OBS:  56337.078  z NULL   1.534e+01   3.760e+00   4.08   24.536    0.305   24.618
OBS:  56345.039  g NULL   2.200e+00   7.153e+00   0.31   26.644  101.356   24.947
OBS:  56345.055  r NULL   4.763e+01   3.898e+00  12.22   23.305    0.092   23.543
OBS:  56346.055  i NULL   3.712e+01   6.042e+00   6.14   23.576    0.193   23.403
OBS:  56348.027  z NULL   5.451e+01   5.132e+00  10.62   23.159    0.107   23.209
OBS:  56350.023  g NULL   1.269e+01   6.860e+00   1.85   24.741    0.845   24.375
OBS:  56350.027  r NULL   5.661e+01   4.111e+00  13.77   23.118    0.082   23.148
OBS:  56350.035  i NULL   6.886e+01   6.824e+00  10.09   22.905    0.113   23.097
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56351.023  z NULL   7.643e+01   6.269e+00  12.19   22.792    0.092   23.051
END: 
