SURVEY: DES   
SNID:   880947   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.74522 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.74522 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.74522 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14434 
HOST_GALAXY_PHOTO-Z:   0.7126  +- 0.0255  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7446  
SIM_HOSTLIB_TRUEZ:  0.7400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14434  
SIM_DLMU:      43.311138  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0231   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.014  mag  (host extinction at 5510 A)
SIM_RV:         2.149   (CCM89 extinction parameter) 
SIM_PEAKMAG:   25.58  23.74  23.42  23.49  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56227.300781  days 
SIM_DELTA:      0.364  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.636  
SIM_MAGDIM:    0.395  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -28.73   days 
SIM_TRESTMAX:    68.03   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56227.621  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -4.193e+00   4.787e+00  -0.88   99.000    5.000   99.000
OBS:  56177.188  r NULL  -8.862e-01   5.334e+00  -0.17   99.000    5.000   99.000
OBS:  56177.203  i NULL  -2.586e+00   5.436e+00  -0.48   99.000    5.000   99.000
OBS:  56177.234  z NULL   7.488e+00   4.693e+00   1.60   99.000    5.000   99.000
OBS:  56179.172  g NULL   1.113e+00   2.238e+00   0.50   99.000    5.000   99.000
OBS:  56179.312  r NULL   2.777e+00   3.030e+00   0.92   99.000    5.000   99.000
OBS:  56179.328  i NULL   1.220e+00   4.199e+00   0.29   99.000    5.000   99.000
OBS:  56179.359  z NULL   6.783e+00   3.519e+00   1.93   99.000    5.000   99.000
OBS:  56187.156  g NULL  -1.336e+00   1.702e+00  -0.79   99.000    5.000   99.000
OBS:  56187.172  r NULL   3.895e-01   1.251e+00   0.31   99.000    5.000   99.000
OBS:  56187.188  i NULL  -2.664e+00   1.897e+00  -1.40   99.000    5.000   99.000
OBS:  56187.211  z NULL   5.270e-01   2.175e+00   0.24   99.000    5.000   99.000
OBS:  56189.148  g NULL  -1.829e+01   9.766e+00  -1.87   99.000    5.000   99.000
OBS:  56189.160  r NULL   4.263e+00   3.877e+00   1.10   99.000    5.000   99.000
OBS:  56189.176  i NULL   1.312e+01   8.073e+00   1.63   99.000    5.000   99.000
OBS:  56189.203  z NULL  -7.379e-02   4.692e+00  -0.02   99.000    5.000   99.000
OBS:  56194.121  g NULL   2.299e+00   3.771e+00   0.61   26.596  101.404   34.918
OBS:  56194.129  r NULL  -2.561e+00   2.350e+00  -1.09  128.000    0.000   31.258
OBS:  56200.156  i NULL   3.870e+00   8.066e+00   0.48   26.031  101.969   27.645
OBS:  56200.180  z NULL  -7.725e+00   5.637e+00  -1.37  128.000    0.000   27.270
OBS:  56207.156  g NULL  -1.605e+00   2.281e+00  -0.70  128.000    0.000   27.938
OBS:  56207.172  r NULL   3.960e+00   1.607e+00   2.46   26.006    0.565   25.933
OBS:  56209.191  i NULL   1.267e+01   2.155e+00   5.88   24.743    0.202   25.092
OBS:  56209.215  z NULL   9.559e+00   2.209e+00   4.33   25.049    0.285   25.049
OBS:  56215.164  g NULL   3.173e+00   1.603e+00   1.98   26.246    0.764   26.304
OBS:  56215.180  r NULL   2.065e+01   1.175e+00  17.58   24.213    0.063   24.264
OBS:  56217.152  i NULL   3.251e+01   1.536e+00  21.17   23.720    0.052   23.773
OBS:  56217.191  z NULL   2.821e+01   1.896e+00  14.88   23.874    0.076   23.870
OBS:  56221.062  g NULL   4.204e+00   4.494e+00   0.94   25.941  102.059   25.418
OBS:  56221.074  r NULL   3.379e+01   3.644e+00   9.27   23.678    0.124   23.799
OBS:  56221.195  i NULL   3.530e+01   1.348e+01   2.62   23.631    0.523   23.535
OBS:  56221.227  z NULL   3.756e+01   4.077e+00   9.21   23.563    0.124   23.649
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56222.047  g NULL   3.688e+00   6.425e+00   0.57   26.083  101.917   25.367
OBS:  56222.062  r NULL   2.529e+01   3.170e+00   7.98   23.993    0.146   23.755
OBS:  56222.191  i NULL   5.197e+01   9.850e+00   5.28   23.211    0.228   23.506
OBS:  56222.211  z NULL   3.723e+01   4.888e+00   7.62   23.573    0.153   23.614
OBS:  56228.031  g NULL   3.828e+01   2.613e+01   1.46   23.543    1.245   25.605
OBS:  56228.047  r NULL   3.089e+01   1.166e+01   2.65   23.775    0.515   23.767
OBS:  56228.156  i NULL   4.083e+01   5.241e+00   7.79   23.473    0.149   23.422
OBS:  56228.188  z NULL   3.352e+01   2.915e+00  11.50   23.687    0.100   23.486
OBS:  56229.031  g NULL   1.505e+01   3.075e+01   0.49   24.556  103.444   25.635
OBS:  56229.156  r NULL   2.172e+01   3.626e+00   5.99   24.158    0.200   23.804
OBS:  56229.172  i NULL   4.017e+01   7.098e+00   5.66   23.490    0.211   23.424
OBS:  56229.199  z NULL   3.909e+01   3.019e+00  12.95   23.520    0.087   23.479
OBS:  56230.035  g NULL   1.239e+01   9.319e+00   1.33   24.767    1.514   25.714
OBS:  56230.043  r NULL   3.441e+01   3.922e+00   8.77   23.658    0.131   23.843
OBS:  56230.191  i NULL   3.268e+01   6.352e+00   5.15   23.714    0.235   23.437
OBS:  56230.215  z NULL   4.114e+01   3.024e+00  13.60   23.464    0.083   23.479
OBS:  56231.035  g NULL   6.615e+00   7.697e+00   0.86   25.449  102.551   25.813
OBS:  56231.156  r NULL   2.870e+01   2.716e+00  10.57   23.855    0.108   23.897
OBS:  56231.172  i NULL   4.876e+01   4.882e+00   9.99   23.280    0.114   23.455
OBS:  56231.191  z NULL   4.383e+01   3.130e+00  14.01   23.395    0.080   23.483
OBS:  56235.145  g NULL   4.638e+00   3.790e+00   1.22   25.834    1.844   26.498
OBS:  56235.160  r NULL   2.438e+01   1.824e+00  13.37   24.033    0.084   24.168
OBS:  56235.172  i NULL   4.287e+01   3.306e+00  12.97   23.420    0.086   23.587
OBS:  56235.195  z NULL   3.662e+01   3.018e+00  12.13   23.591    0.094   23.542
OBS:  56236.160  g NULL   1.309e+00   2.004e+00   0.65   27.208  100.792   26.667
OBS:  56236.172  r NULL   2.154e+01   1.926e+00  11.18   24.167    0.101   24.246
OBS:  56236.188  i NULL   3.709e+01   2.876e+00  12.90   23.577    0.087   23.628
OBS:  56236.207  z NULL   3.902e+01   3.275e+00  11.91   23.522    0.095   23.565
OBS:  56237.176  g NULL  -3.295e+00   3.442e+00  -0.96  128.000    0.000   26.812
OBS:  56237.188  r NULL   2.115e+01   2.297e+00   9.21   24.187    0.124   24.324
OBS:  56237.207  i NULL   3.366e+01   2.939e+00  11.45   23.682    0.099   23.674
OBS:  56237.238  z NULL   3.191e+01   3.916e+00   8.15   23.740    0.143   23.592
OBS:  56238.188  g NULL   2.127e+00   2.973e+00   0.72   26.681  101.319   26.946
OBS:  56238.199  r NULL   1.337e+01   2.047e+00   6.53   24.685    0.181   24.400
OBS:  56238.219  i NULL   3.308e+01   3.301e+00  10.02   23.701    0.114   23.723
OBS:  56238.250  z NULL   3.699e+01   4.913e+00   7.53   23.580    0.155   23.621
OBS:  56243.203  g NULL   1.946e+00   1.691e+00   1.15   26.777    2.206   27.356
OBS:  56243.211  r NULL   1.181e+01   1.252e+00   9.44   24.819    0.122   24.782
OBS:  56243.223  i NULL   2.828e+01   1.932e+00  14.64   23.871    0.076   24.012
OBS:  56243.250  z NULL   2.959e+01   2.481e+00  11.92   23.822    0.095   23.818
OBS:  56244.180  g NULL   1.479e+00   1.784e+00   0.83   27.075  100.925   27.415
OBS:  56244.188  r NULL   1.110e+01   1.396e+00   7.95   24.887    0.146   24.857
OBS:  56244.203  i NULL   2.448e+01   2.046e+00  11.96   24.028    0.095   24.082
OBS:  56244.223  z NULL   3.381e+01   2.321e+00  14.56   23.677    0.076   23.864
OBS:  56245.191  g NULL  -1.103e+00   4.787e+00  -0.23  128.000    0.000   27.492
OBS:  56245.199  r NULL   1.214e+01   1.203e+00  10.10   24.789    0.113   24.936
OBS:  56245.219  i NULL   2.083e+01   2.121e+00   9.82   24.203    0.117   24.158
OBS:  56245.246  z NULL   2.237e+01   5.936e+00   3.77   24.126    0.335   23.913
OBS:  56246.234  g NULL   3.224e-01   2.001e+00   0.16   28.729   99.271   27.592
OBS:  56246.246  r NULL   1.275e+01   3.183e+00   4.01   24.736    0.311   25.018
OBS:  56246.262  i NULL   1.349e+01   5.653e+00   2.39   24.675    0.591   24.240
OBS:  56246.285  z NULL   2.723e+01   1.278e+01   2.13   23.912    0.688   23.962
