SURVEY: DES   
SNID:   892022   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.78912 +- 0.01650  (Helio, z_best) 
REDSHIFT_FINAL:   0.78912 +- 0.01650  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10355 
HOST_GALAXY_PHOTO-Z:   0.7891  +- 0.0165  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.7933  
SIM_HOSTLIB_TRUEZ:  0.7900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10355  
SIM_DLMU:      43.480186  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0135   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   99.00  24.90  23.91  23.67  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56226.609375  days 
SIM_SALT2x0:   4.054e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -30.98   days 
SIM_TRESTMAX:    50.98   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56228.168  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 97 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL  -9.942e+01   7.810e+01  -1.27   99.000    5.000   98.996
OBS:  56172.039  r NULL   2.446e+01   1.759e+01   1.39   99.000    5.000   99.006
OBS:  56172.051  i NULL  -6.801e+00   4.995e+01  -0.14   99.000    5.000   99.015
OBS:  56176.160  z NULL   8.130e-03   3.581e+00   0.00   32.725   95.275   40.432
OBS:  56179.023  g NULL  -1.498e+00   6.376e+00  -0.23   99.000    5.000   98.996
OBS:  56179.031  r NULL   1.181e+00   4.331e+00   0.27   27.320  100.680   36.481
OBS:  56179.047  i NULL  -1.102e+01   7.143e+00  -1.54  128.000    0.000   36.502
OBS:  56179.062  z NULL   2.998e-01   8.138e+00   0.04   28.808   99.192   36.488
OBS:  56180.031  g NULL  -3.794e+00   5.671e+00  -0.67   99.000    5.000   98.996
OBS:  56180.047  r NULL   4.464e+00   4.493e+00   0.99   25.876  102.124   34.882
OBS:  56180.062  i NULL   1.036e+01   6.740e+00   1.54   24.962    1.141   34.868
OBS:  56180.078  z NULL   3.383e-01   1.016e+01   0.03   28.677   99.323   34.815
OBS:  56188.004  g NULL  -4.209e+00   5.677e+00  -0.74   99.000    5.000   98.996
OBS:  56188.016  r NULL  -1.769e+00   4.368e+00  -0.41  128.000    0.000   28.695
OBS:  56188.027  i NULL  -4.665e+00   6.462e+00  -0.72  128.000    0.000   28.544
OBS:  56188.035  z NULL   4.553e+00   6.472e+00   0.70   25.854  102.146   28.359
OBS:  56189.004  g NULL  -1.208e+01   5.651e+00  -2.14   99.000    5.000   98.996
OBS:  56189.016  r NULL  -1.449e+00   4.330e+00  -0.33  128.000    0.000   28.277
OBS:  56189.027  i NULL   2.996e+00   6.406e+00   0.47   26.309  101.691   28.078
OBS:  56189.035  z NULL   1.486e-01   6.406e+00   0.02   29.570   98.430   27.855
OBS:  56194.012  g NULL   1.422e+01   6.205e+00   2.29   99.000    5.000   98.996
OBS:  56194.016  r NULL   1.218e+00   3.585e+00   0.34   27.286  100.714   27.217
OBS:  56194.023  i NULL   1.312e+01   6.153e+00   2.13   24.705    0.686   26.567
OBS:  56194.031  z NULL  -1.955e+01   1.509e+01  -1.30  128.000    0.000   26.094
OBS:  56198.992  g NULL  -1.421e+00   1.868e+01  -0.08   99.000    5.000   98.996
OBS:  56199.000  r NULL   2.668e+00   9.049e+00   0.29   26.435  101.565   26.286
OBS:  56199.008  i NULL   3.660e+00   1.181e+01   0.31   26.091  101.909   25.397
OBS:  56199.016  z NULL   1.495e+01   7.701e+00   1.94   24.564    0.786   24.897
OBS:  56199.039  g NULL   2.564e+00   3.349e+01   0.08   99.000    5.000   98.996
OBS:  56208.215  g NULL  -7.655e-01   2.656e+00  -0.29   99.000    5.000   98.996
OBS:  56208.223  r NULL   1.661e+01   1.810e+00   9.18   24.449    0.125   24.604
OBS:  56208.238  i NULL   2.754e+01   3.015e+00   9.13   23.900    0.126   24.024
OBS:  56209.160  z NULL   2.730e+01   3.289e+00   8.30   23.910    0.140   23.820
OBS:  56216.215  g NULL  -5.732e+00   2.468e+00  -2.32   99.000    5.000   98.996
OBS:  56216.223  r NULL   1.625e+01   1.927e+00   8.43   24.473    0.138   24.335
OBS:  56216.230  i NULL   2.992e+01   3.087e+00   9.69   23.810    0.119   23.698
OBS:  56218.152  z NULL   3.916e+01   2.781e+00  14.08   23.518    0.079   23.636
OBS:  56221.004  g NULL  -6.734e+00   5.227e+00  -1.29   99.000    5.000   98.996
OBS:  56221.016  r NULL   1.704e+01   3.602e+00   4.73   24.421    0.258   24.495
OBS:  56221.027  i NULL   2.525e+01   5.503e+00   4.59   23.994    0.268   23.718
OBS:  56221.035  z NULL   2.701e+01   5.432e+00   4.97   23.921    0.245   23.633
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56222.016  g NULL  -1.916e+00   6.242e+00  -0.31   99.000    5.000   98.996
OBS:  56222.027  r NULL   1.353e+01   3.637e+00   3.72   24.672    0.340   24.555
OBS:  56222.035  i NULL   3.293e+01   4.974e+00   6.62   23.706    0.178   23.742
OBS:  56228.012  z NULL   3.415e+01   5.587e+00   6.11   23.667    0.194   23.682
OBS:  56229.012  g NULL   1.516e+01   9.821e+00   1.54   99.000    5.000   98.996
OBS:  56229.016  r NULL   1.373e+01   4.331e+00   3.17   24.655    0.411   25.122
OBS:  56229.023  i NULL   2.560e+01   7.833e+00   3.27   23.979    0.396   24.026
OBS:  56230.012  z NULL   3.297e+01   4.959e+00   6.65   23.705    0.177   23.719
OBS:  56231.012  g NULL   1.231e+00   6.914e+00   0.18   99.000    5.000   98.996
OBS:  56231.020  r NULL   5.053e+00   2.792e+00   1.81   25.741    0.874   25.322
OBS:  56231.027  i NULL   2.617e+01   4.112e+00   6.36   23.956    0.185   24.141
OBS:  56235.020  z NULL   3.298e+01   5.727e+00   5.76   23.704    0.207   23.899
OBS:  56236.027  g NULL   5.274e+00   5.172e+00   1.02   99.000    5.000   98.996
OBS:  56236.035  r NULL   6.715e-02   5.382e+00   0.01   30.432   97.568   25.851
OBS:  56236.039  i NULL   1.701e+01   7.632e+00   2.23   24.423    0.647   24.483
OBS:  56237.023  z NULL   3.047e+01   5.159e+00   5.91   23.790    0.201   23.991
OBS:  56238.023  g NULL   1.038e+00   3.612e+00   0.29   99.000    5.000   98.996
OBS:  56238.031  r NULL   5.866e+00   2.791e+00   2.10   25.579    0.701   26.070
OBS:  56238.039  i NULL   1.240e+01   4.821e+00   2.57   24.766    0.535   24.638
OBS:  56243.070  z NULL   2.008e+01   5.360e+00   3.75   24.243    0.337   24.267
OBS:  56244.047  g NULL  -4.297e+00   4.183e+00  -1.03   99.000    5.000   98.996
OBS:  56244.055  r NULL   1.364e+00   2.825e+00   0.48   27.163  100.837   26.704
OBS:  56244.070  i NULL   1.232e+01   4.417e+00   2.79   24.773    0.482   25.126
OBS:  56245.027  z NULL   1.441e+01   3.554e+00   4.06   24.603    0.308   24.354
OBS:  56246.082  g NULL  -3.354e-01   2.833e+00  -0.12   99.000    5.000   98.996
OBS:  56246.098  r NULL   2.132e+00   2.465e+00   0.86   26.678  101.322   26.898
OBS:  56246.109  i NULL   4.771e+00   5.439e+00   0.88   25.803  102.197   25.279
OBS:  56247.250  z NULL   1.243e+01   6.299e+00   1.97   24.764    0.768   24.453
OBS:  56254.199  g NULL  -1.188e+00   6.130e+00  -0.19   99.000    5.000   98.996
OBS:  56254.211  r NULL   1.520e+00   3.375e+00   0.45   27.046  100.954   27.626
OBS:  56254.227  i NULL   8.827e-02   6.212e+00   0.01   30.136   97.864   25.790
OBS:  56258.191  z NULL   6.406e+00   5.865e+00   1.09   25.483    2.686   24.949
OBS:  56261.066  g NULL   1.107e+01   6.916e+00   1.60   99.000    5.000   98.996
OBS:  56261.082  r NULL   4.453e+00   4.056e+00   1.10   25.878    2.622   28.016
OBS:  56261.090  i NULL   8.729e+00   8.214e+00   1.06   25.148    3.071   26.029
OBS:  56266.156  z NULL   9.919e+00   5.286e+00   1.88   25.009    0.826   25.327
OBS:  56276.152  g NULL   4.171e+00   4.037e+00   1.03   99.000    5.000   98.996
OBS:  56276.172  r NULL   9.351e-01   2.884e+00   0.32   27.573  100.427   28.039
OBS:  56277.164  i NULL  -2.178e+00   3.543e+00  -0.61  128.000    0.000   26.368
OBS:  56278.164  z NULL   4.097e+00   4.286e+00   0.96   25.969  102.031   25.593
OBS:  56288.035  g NULL   2.515e+01   1.451e+01   1.73   99.000    5.000   98.996
OBS:  56288.043  r NULL   1.202e+00   5.400e+00   0.22   27.300  100.700   27.830
OBS:  56288.051  i NULL   1.104e+01   5.984e+00   1.84   24.893    0.847   26.411
OBS:  56288.066  z NULL   6.801e+00   6.736e+00   1.01   25.418    5.038   25.753
OBS:  56292.109  g NULL  -4.837e+00   7.760e+00  -0.62   99.000    5.000   98.996
OBS:  56292.125  r NULL   2.126e-01   3.867e+00   0.05   29.181   98.819   27.766
OBS:  56296.039  i NULL   3.940e+00   3.476e+00   1.13   26.011    2.320   26.404
OBS:  56296.051  z NULL   4.432e+00   4.462e+00   0.99   25.884  102.116   25.856
OBS:  56305.043  g NULL   2.756e+00   2.872e+00   0.96   99.000    5.000   98.996
OBS:  56305.051  r NULL   4.672e+00   2.175e+00   2.15   25.826    0.680   27.631
OBS:  56305.055  i NULL   2.788e+00   3.048e+00   0.91   26.387  101.613   26.414
OBS:  56305.070  z NULL  -3.835e-01   3.663e+00  -0.10  128.000    0.000   25.919
OBS:  56317.035  g NULL  -1.209e+01   1.479e+01  -0.82   99.000    5.000   98.996
OBS:  56317.043  r NULL  -6.855e+00   6.186e+00  -1.11  128.000    0.000   27.606
OBS:  56317.051  i NULL   1.193e+01   6.916e+00   1.73   24.808    0.940   26.458
OBS:  56318.035  z NULL   2.031e+01   1.346e+01   1.51   24.231    1.179   26.017
END: 
