SURVEY: DES   
SNID:   894514   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.95131 +- 0.04000  (Helio, z_best) 
REDSHIFT_FINAL:   0.95131 +- 0.04000  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16676 
HOST_GALAXY_PHOTO-Z:   0.9513  +- 0.0400  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9595  
SIM_HOSTLIB_TRUEZ:  0.9600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16676  
SIM_DLMU:      43.989323  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0113   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.050  mag  (host extinction at 5510 A)
SIM_RV:         1.560   (CCM89 extinction parameter) 
SIM_PEAKMAG:   44.39  25.28  24.18  24.14  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56332.824219  days 
SIM_DELTA:      0.626  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.374  
SIM_MAGDIM:    0.502  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.06   days 
SIM_TRESTMAX:     9.27   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56334.480  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.242  g NULL  -4.089e+00   8.081e+00  -0.51   99.000    5.000   99.000
OBS:  56258.258  r NULL   1.560e+00   4.418e+00   0.35   99.000    5.000   99.000
OBS:  56259.160  i NULL   1.204e+00   4.540e+00   0.27   99.000    5.000   99.000
OBS:  56259.180  z NULL  -1.596e+00   3.059e+00  -0.52   99.000    5.000   99.000
OBS:  56261.215  g NULL  -8.224e+00   3.961e+00  -2.08   99.000    5.000   99.000
OBS:  56261.230  r NULL  -2.803e+00   1.854e+00  -1.51   99.000    5.000   99.000
OBS:  56267.156  i NULL   1.258e+00   2.211e+00   0.57   99.000    5.000   99.000
OBS:  56267.180  z NULL   4.075e-02   3.049e+00   0.01   99.000    5.000   99.000
OBS:  56274.160  g NULL   1.117e+00   2.033e+00   0.55   99.000    5.000   99.000
OBS:  56274.176  r NULL   5.967e-01   1.444e+00   0.41   99.000    5.000   99.000
OBS:  56275.223  i NULL  -3.768e+00   3.008e+00  -1.25   99.000    5.000   99.000
OBS:  56276.191  z NULL  -1.098e+00   3.402e+00  -0.32   99.000    5.000   99.000
OBS:  56282.160  g NULL  -2.567e+00   3.403e+00  -0.75   99.000    5.000   99.000
OBS:  56282.184  r NULL   1.366e+00   2.178e+00   0.63   99.000    5.000   99.000
OBS:  56287.160  i NULL  -4.937e+00   4.986e+00  -0.99   99.000    5.000   99.000
OBS:  56287.191  z NULL  -7.286e+00   3.896e+00  -1.87   99.000    5.000   99.000
OBS:  56289.035  g NULL  -1.517e+01   1.190e+01  -1.28   99.000    5.000   99.000
OBS:  56289.043  r NULL  -2.981e+00   4.183e+00  -0.71   99.000    5.000   99.000
OBS:  56289.152  i NULL  -2.144e+00   4.327e+00  -0.50   99.000    5.000   99.000
OBS:  56289.176  z NULL   1.920e+00   4.464e+00   0.43   99.000    5.000   99.000
OBS:  56297.039  g NULL   1.572e+00   1.580e+00   0.99   27.009  100.991   50.071
OBS:  56297.047  r NULL  -1.615e-01   1.219e+00  -0.13  128.000    0.000   31.314
OBS:  56297.062  i NULL   1.120e+00   1.862e+00   0.60   27.377  100.623   31.422
OBS:  56297.090  z NULL   1.459e+00   2.119e+00   0.69   27.090  100.910   31.574
OBS:  56305.094  g NULL   4.657e-01   1.644e+00   0.28   28.330   99.670   46.975
